ip1,ip2,output
24.37,6.17,140.80
25.89,5.20,122.72
26.69,4.64,114.18
26.82,4.41,110.21
26.39,4.39,103.41
25.17,4.62,122.71
22.21,6.36,113.04
17.75,12.35,91.37
16.47,13.46,73.39
15.56,11.67,89.89
14.70,13.16,76.33
13.94,11.89,79.61
13.22,13.24,75.36
12.52,12.58,74.33
11.83,14.53,78.09
11.65,13.42,78.89
11.46,15.00,79.68
10.66,14.38,89.89
9.73,16.91,92.73
9.10,15.91,90.65
9.45,16.76,77.26
13.95,11.60,47.67
17.85,8.07,81.79
23.04,5.32,84.83
26.21,3.93,123.22
27.63,3.57,115.99
28.36,3.41,122.97
28.38,3.45,121.24
27.66,3.62,116.17
26.06,3.99,131.25
22.74,7.35,115.66
18.51,17.48,91.67
17.15,11.19,112.41
16.11,9.81,70.58
15.24,11.10,70.13
14.46,9.99,73.28
13.76,10.93,68.84
13.07,10.00,67.24
12.43,11.12,65.43
11.82,10.70,66.32
11.22,11.86,64.21
10.67,11.90,66.19
10.22,13.50,73.30
9.78,12.89,74.58
10.29,13.33,73.80
14.91,12.76,44.36
18.50,7.36,85.93
23.85,4.29,146.94
27.21,3.68,132.55
28.64,3.79,120.03
29.30,3.92,127.53
29.22,4.12,104.50
28.53,4.35,109.15
27.07,4.74,108.94
23.93,8.60,115.66
19.79,11.71,90.77
18.51,13.01,69.96
17.58,10.06,69.59
16.72,12.35,74.05
15.93,11.47,65.97
15.19,12.54,61.96
14.55,11.45,61.20
13.94,12.24,63.61
13.36,12.20,61.47
12.80,12.49,61.01
12.31,12.77,71.10
11.88,13.14,71.82
11.53,13.50,57.41
12.04,13.35,58.06
16.36,10.30,49.91
20.38,7.83,86.41
25.46,5.73,94.64
28.49,5.69,159.85
30.02,6.24,119.45
30.71,6.77,120.07
30.64,7.41,117.89
29.95,8.21,111.83
28.56,9.37,119.77
25.99,11.45,120.64
21.78,15.76,97.57
20.40,17.03,81.94
19.46,18.32,83.75
18.53,20.20,62.23
17.66,22.54,61.35
16.87,24.96,64.82
16.17,27.22,59.69
15.53,29.16,58.76
14.87,30.85,60.58
14.24,32.31,65.59
13.66,33.65,81.29
13.11,35.13,81.48
12.58,36.66,83.17
13.34,35.04,78.75
16.50,28.43,43.91
20.20,22.20,88.55
25.69,14.56,94.64
28.08,12.70,132.04
29.43,12.32,128.80
30.17,12.18,117.12
30.21,12.33,118.29
29.50,12.93,93.67
27.92,14.27,91.89
25.36,16.87,85.79
21.47,22.53,76.29
20.20,24.03,68.43
19.17,27.42,68.19
18.13,32.64,68.61
16.91,40.92,67.04
15.54,51.67,66.03
14.32,61.86,1.21
13.39,69.13,60.87
12.64,74.13,61.47
12.03,77.79,62.38
11.49,80.82,78.39
11.00,83.60,78.57
10.56,86.17,78.83
11.08,83.14,77.05
14.66,65.56,41.00
19.31,45.57,49.32
24.71,23.03,65.92
27.06,16.81,20.06
28.40,13.74,74.16
28.99,11.89,73.39
28.83,11.12,62.85
28.03,11.19,69.66
26.56,12.21,58.48
24.29,14.31,60.15
20.38,19.00,52.93
18.99,20.91,63.46
18.06,22.59,69.53
17.23,24.11,68.01
16.49,25.48,67.48
15.76,26.85,61.78
15.07,28.05,59.04
14.39,28.94,60.68
13.68,29.27,60.07
12.88,29.14,76.18
12.06,29.09,79.26
11.35,29.08,77.85
10.80,29.14,77.23
11.31,27.43,76.51
15.26,20.80,62.98
19.48,15.71,94.99
24.88,11.90,104.84
27.28,11.16,133.39
28.60,10.34,131.57
29.21,9.72,143.60
29.16,9.42,132.62
28.41,9.57,116.82
26.94,10.24,155.38
24.49,11.76,135.50
20.60,15.67,100.79
19.26,16.53,73.75
18.77,16.02,91.75
18.33,16.25,66.08
17.73,15.82,98.18
16.83,16.17,58.80
15.65,15.84,59.69
14.73,15.61,59.55
14.07,15.02,76.51
13.41,14.79,62.84
12.80,14.94,78.46
12.30,15.34,80.43
11.86,16.09,71.58
12.48,18.27,77.85
16.77,11.73,52.17
20.53,8.81,99.95
25.32,7.37,91.75
27.53,7.30,139.19
28.84,7.27,136.62
29.56,7.41,154.20
29.64,7.77,132.48
29.06,8.43,113.83
27.59,9.55,120.94
25.00,12.24,118.84
21.03,18.45,92.71
19.77,17.60,84.19
18.90,17.11,86.47
18.17,17.84,73.10
17.55,19.02,69.60
16.97,20.33,69.44
16.44,21.52,59.23
15.98,22.40,59.83
15.56,22.76,59.04
15.13,22.51,58.84
14.69,21.73,78.03
14.19,20.81,78.39
13.76,19.95,72.52
14.70,18.17,78.04
17.62,15.00,42.27
20.28,12.80,102.58
24.57,14.71,110.77
26.05,17.54,142.56
26.67,19.79,151.85
27.09,21.33,156.73
27.52,21.96,137.21
27.91,22.13,123.32
26.68,24.37,121.24
24.95,27.32,120.03
22.23,32.30,110.06
21.25,34.31,85.99
20.52,35.83,100.74
19.85,37.13,73.10
19.32,38.09,69.60
18.72,39.23,69.44
17.94,40.76,59.23
17.24,41.88,59.83
16.61,42.56,59.04
16.01,42.71,58.84
15.42,42.64,78.03
14.89,42.28,78.39
14.48,41.75,72.52
15.24,38.63,78.04
18.57,31.05,42.27
22.64,27.09,102.58
26.01,25.40,110.77
27.74,24.17,89.45
28.77,23.16,151.85
29.12,22.82,156.73
28.71,23.57,137.21
27.70,25.48,123.32
26.10,29.00,121.24
24.40,32.77,120.03
21.64,40.12,110.06
20.03,46.05,112.14
19.12,50.42,124.14
18.34,54.61,104.76
17.66,58.77,94.28
17.03,63.16,91.69
16.45,67.91,94.56
15.86,72.97,97.46
15.32,77.89,96.69
14.80,81.98,58.84
14.30,84.98,78.03
13.94,85.48,78.39
13.63,84.12,72.52
14.33,76.54,100.93
17.35,60.13,69.79
21.42,46.54,94.35
24.31,38.44,100.44
25.55,34.78,125.61
26.31,31.79,117.71
26.34,29.93,115.98
26.17,28.47,124.50
25.56,28.32,128.03
24.42,29.84,126.00
23.18,32.19,127.21
21.19,37.14,114.98
20.34,40.04,103.66
19.76,42.30,105.60
19.13,44.68,98.77
18.37,47.65,87.82
17.78,50.29,84.20
17.22,52.81,82.19
16.57,55.38,82.36
16.02,57.15,83.78
15.39,58.47,82.33
14.68,59.22,101.85
14.14,58.74,97.90
13.70,58.14,95.33
14.47,54.09,77.22
18.13,42.54,60.31
22.66,32.41,98.53
24.74,29.47,106.38
25.88,28.45,131.84
26.63,27.37,127.40
27.19,25.28,141.25
27.36,23.37,116.48
26.98,22.36,101.27
25.95,22.42,108.42
24.10,23.96,98.17
20.83,28.96,80.02
19.35,32.41,86.56
18.44,35.85,91.59
17.50,40.26,79.26
16.63,44.94,71.23
15.85,49.22,72.26
15.14,52.84,71.48
14.53,55.83,73.82
13.91,58.49,75.57
13.38,60.89,76.18
12.87,63.30,90.75
12.36,65.89,89.26
11.89,68.37,89.66
12.68,65.04,76.25
16.39,50.92,45.98
21.22,32.18,66.50
24.64,21.75,84.61
26.54,18.34,85.40
27.82,16.15,93.01
28.48,14.93,77.22
28.47,14.55,56.81
27.72,14.91,59.55
26.26,16.04,64.36
24.22,18.00,62.10
20.83,22.28,46.65
19.09,24.93,56.13
18.15,26.60,78.66
17.32,28.12,80.79
16.54,29.60,81.78
15.79,31.06,78.70
15.12,32.38,79.31
14.52,33.62,81.52
13.94,34.87,80.49
13.42,35.94,97.53
12.94,36.90,97.14
12.48,37.79,93.95
12.02,38.76,95.11
12.88,36.48,85.79
16.89,27.93,94.86
21.29,21.12,102.36
24.77,17.06,99.60
26.51,14.94,137.05
27.57,13.31,137.72
28.17,12.24,134.52
28.01,11.82,109.61
26.90,12.13,139.83
25.57,12.83,141.10
24.03,14.02,135.70
21.41,17.49,112.41
20.45,20.41,70.21
19.79,19.34,83.93
19.05,19.81,84.92
18.18,19.83,81.78
17.42,20.75,58.76
16.75,21.55,70.71
16.04,22.48,71.65
15.16,23.75,71.55
14.41,24.77,84.79
13.87,25.46,85.60
13.40,26.06,86.43
13.04,26.48,87.23
14.00,24.63,61.50
18.10,18.76,50.03
22.33,14.20,83.39
26.67,10.70,96.52
28.81,9.77,135.29
30.23,9.39,141.04
31.05,9.26,130.87
31.07,9.45,134.38
30.28,10.00,111.83
28.76,10.98,140.22
26.44,12.63,126.23
22.38,16.95,94.63
20.73,18.21,62.40
19.71,19.05,90.25
18.81,20.09,75.11
18.16,20.85,72.00
17.82,21.19,64.05
17.47,21.54,63.00
17.04,21.98,65.13
16.50,22.61,64.36
16.03,23.08,77.23
15.57,23.44,88.06
15.26,23.53,85.41
14.56,24.21,84.60
15.40,22.46,60.77
18.50,17.96,37.26
22.70,13.08,94.99
26.81,9.82,106.53
28.71,9.20,136.46
30.04,8.77,152.70
30.69,8.58,158.13
30.64,8.72,136.36
29.91,9.18,158.92
28.48,10.05,140.22
26.32,11.49,131.38
22.46,15.15,112.64
20.86,16.44,87.85
19.94,17.31,71.73
19.10,18.53,75.11
18.33,20.18,67.53
17.56,22.26,69.17
16.79,24.42,66.92
16.02,26.53,68.94
15.33,28.48,70.04
14.66,30.41,76.98
14.05,32.17,88.06
13.53,33.60,87.86
13.07,34.73,86.02
14.05,32.44,74.65
18.18,24.61,48.02
22.72,17.38,97.34
26.99,11.46,100.54
28.91,10.15,136.38
30.03,9.61,128.85
30.49,9.46,141.39
30.27,9.65,137.05
29.38,10.18,158.92
27.90,11.11,140.22
25.80,12.53,131.38
22.21,15.62,90.64
20.16,17.49,77.50
19.08,18.52,109.88
18.19,19.34,81.62
17.34,20.01,86.82
16.52,20.70,75.54
15.74,21.35,68.13
14.97,22.01,74.69
14.26,22.69,76.44
13.56,23.25,85.41
12.95,23.67,85.20
12.36,24.13,90.12
11.80,24.54,86.84
12.79,22.55,82.01
16.95,16.89,46.13
21.49,12.29,102.07
25.51,9.04,94.65
27.52,7.75,117.15
28.88,6.83,135.27
29.61,6.25,140.69
29.66,5.97,130.52
29.20,5.95,128.99
27.96,6.31,133.60
25.97,7.08,131.38
21.84,9.74,76.07
19.95,11.44,75.84
18.98,12.15,88.95
18.18,12.45,81.03
17.40,12.83,70.80
16.69,12.82,69.94
15.96,13.77,72.43
15.30,13.49,134.83
14.61,14.02,74.69
14.00,14.04,73.91
13.43,14.41,87.45
12.91,14.72,87.65
12.40,15.11,86.22
13.52,14.14,83.60
17.87,10.73,52.51
22.35,8.09,87.53
27.31,6.51,88.81
29.45,6.60,111.32
30.72,7.17,105.49
31.30,7.77,104.65
31.29,8.23,108.67
30.52,8.74,89.24
29.15,9.44,95.58
27.14,10.57,94.17
23.39,13.34,76.33
21.25,15.10,68.94
20.24,15.87,87.35
19.34,16.74,84.34
18.53,17.56,80.63
17.78,18.36,73.10
17.06,19.12,74.47
16.39,19.87,75.42
15.75,20.53,75.79
15.15,21.13,75.72
14.57,21.66,85.82
14.05,22.11,89.50
13.55,22.60,86.22
14.70,20.83,86.80
19.09,15.66,44.95
23.53,11.88,54.54
28.20,9.36,80.63
30.40,8.82,111.32
31.77,8.62,105.49
32.42,8.54,104.65
32.40,8.60,71.66
31.71,8.88,50.76
30.32,9.60,63.28
28.23,10.87,65.85
24.17,14.45,51.13
22.54,15.34,54.00
21.64,15.88,84.96
20.76,16.69,84.20
19.98,17.43,82.01
19.20,18.16,81.80
18.55,18.81,81.80
17.91,19.52,83.19
17.25,20.47,92.73
16.60,21.64,89.89
15.96,23.02,91.33
15.40,24.45,90.93
14.84,25.93,92.00
15.94,24.56,85.00
19.84,19.26,98.41
24.21,14.44,103.95
28.61,11.01,151.77
30.06,10.58,93.08
29.28,13.78,139.98
28.31,18.61,126.47
28.67,18.02,127.37
28.35,17.78,129.97
27.49,19.14,131.65
26.72,20.74,118.00
23.41,25.88,103.84
21.80,28.94,85.37
21.02,30.51,86.41
20.36,31.71,66.93
19.82,32.54,70.30
19.54,32.59,71.55
19.31,32.21,81.80
19.23,31.26,83.19
19.10,30.04,68.94
18.59,29.57,84.37
17.98,29.30,85.60
17.37,29.23,86.02
16.90,28.96,90.10
17.55,26.67,82.81
20.22,21.68,526.55
24.79,16.03,94.40
28.70,13.21,110.15
31.36,11.76,127.40
32.96,11.45,132.36
33.62,12.21,132.25
33.51,13.88,131.38
32.67,16.54,134.78
31.21,20.00,133.07
29.33,23.79,125.69
26.30,29.68,113.28
24.14,34.91,76.07
23.19,37.93,94.06
22.41,40.54,74.34
21.74,42.99,71.23
21.10,45.52,80.11
20.44,48.14,83.20
19.83,50.65,83.95
19.20,53.13,77.78
18.76,54.75,75.48
19.07,53.70,80.80
18.99,54.20,81.43
18.57,55.68,80.43
18.68,55.30,75.36
19.27,54.26,41.79
21.63,48.00,84.92
26.22,36.74,105.09
28.99,30.48,141.74
30.54,27.13,159.70
31.45,25.03,141.74
31.66,23.99,154.36
31.17,23.97,160.48
29.78,25.16,148.45
27.80,27.44,146.20
24.93,31.91,108.23
23.04,34.93,73.45
22.14,35.27,85.46
21.30,34.34,68.77
20.49,31.54,70.64
19.63,27.92,71.75
18.83,24.88,71.65
18.07,23.29,69.39
17.36,22.82,70.94
16.49,23.29,82.75
15.57,24.35,82.33
14.79,25.71,86.22
14.22,27.01,75.79
15.34,25.43,70.13
18.27,21.18,53.23
22.47,16.35,87.04
26.20,12.58,123.61
28.27,10.14,148.76
29.90,8.39,143.14
30.81,7.28,137.39
31.13,6.56,144.20
30.58,6.36,127.40
29.17,6.65,164.39
27.06,7.40,130.98
23.43,9.40,98.18
21.05,11.11,81.62
19.96,11.85,73.29
19.07,12.56,70.72
18.22,13.35,71.14
17.37,14.22,70.37
16.59,15.09,63.90
15.92,15.90,65.11
15.26,16.80,64.21
14.70,17.66,80.72
14.15,18.57,81.33
13.69,19.45,82.36
13.25,20.39,85.01
14.63,19.00,73.51
18.48,15.17,39.34
23.12,12.15,109.35
27.09,10.78,103.25
29.35,9.52,129.01
31.00,8.62,132.55
31.94,8.07,65.33
32.24,7.78,113.83
31.86,7.84,109.35
30.66,8.39,112.23
28.63,9.56,107.02
24.58,12.81,101.74
22.41,14.59,61.35
21.32,15.59,77.90
20.47,16.44,69.10
19.73,17.27,64.51
19.03,18.09,65.11
18.36,18.84,61.64
17.71,19.58,61.15
17.09,20.28,60.89
16.48,20.92,62.40
15.90,21.54,62.08
15.38,22.13,63.46
14.86,22.73,67.24
16.36,20.46,60.62
20.71,15.42,46.47
25.52,11.48,109.35
30.19,8.75,103.25
32.61,7.45,119.48
34.40,6.50,110.46
35.53,5.89,97.91
35.95,5.61,113.83
35.37,5.74,88.28
33.94,6.27,87.69
31.66,7.29,84.51
27.24,10.22,53.87
25.06,11.96,28.87
23.97,12.99,66.34
23.10,14.03,68.77
22.34,15.00,101.29
21.63,15.95,67.40
20.97,16.79,62.85
20.36,17.50,61.64
19.78,18.18,61.79
19.17,18.67,64.36
18.52,19.11,66.34
17.95,19.45,70.77
17.48,19.70,65.87
19.03,17.48,71.83
23.44,13.09,43.80
27.96,9.77,53.28
32.46,6.89,55.07
34.55,6.07,43.59
35.99,5.61,41.11
36.75,5.45,46.58
36.80,5.57,36.00
36.07,5.91,36.43
34.72,6.44,41.11
32.65,7.30,52.93
28.62,9.46,48.23
26.22,11.07,42.40
25.09,11.81,68.61
24.30,12.47,63.00
23.61,13.04,63.00
22.83,13.67,64.66
21.98,14.34,64.82
21.24,15.06,64.67
20.63,15.65,65.43
20.10,16.05,65.43
19.65,16.32,64.97
19.16,16.64,68.94
18.55,17.13,71.75
20.01,15.48,70.37
24.43,13.10,37.65
28.98,8.80,39.56
33.86,5.84,40.78
36.38,4.88,49.91
37.86,4.43,42.10
38.57,4.23,40.88
38.52,4.24,38.86
37.87,4.35,39.47
36.52,4.64,39.56
34.22,5.24,48.15
29.69,9.80,50.88
27.83,9.05,49.77
27.26,9.51,80.42
26.58,8.57,81.41
25.86,8.86,77.82
25.30,9.08,77.12
24.51,9.77,77.48
23.82,10.92,77.23
22.96,12.79,76.80
22.22,17.06,79.01
21.58,24.80,80.43
20.91,33.36,78.39
20.28,40.49,76.26
21.25,41.38,61.94
24.45,35.53,42.51
28.99,28.49,71.48
31.95,22.77,74.29
33.91,18.54,73.93
35.21,15.60,76.91
35.87,13.80,71.45
35.94,12.83,69.96
35.32,12.58,60.18
33.93,12.64,69.96
31.89,13.19,75.29
28.75,15.29,54.68
26.27,17.39,57.14
25.20,18.08,8.76
24.29,18.53,67.75
23.38,18.51,69.00
22.40,17.72,59.55
21.33,16.91,61.50
20.18,17.03,100.05
19.13,17.73,75.04
18.25,18.53,73.99
17.43,19.35,72.94
16.70,20.18,74.51
16.04,21.12,101.41
17.27,19.74,60.58
20.76,16.07,37.80
25.75,11.68,64.93
28.98,8.66,70.38
30.76,7.42,76.54
32.08,6.54,72.09
32.88,5.93,84.67
32.95,5.70,79.46
32.34,5.68,75.52
31.07,5.99,32.05
29.05,6.70,101.66
25.89,8.18,29.36
23.05,9.89,59.00
21.79,10.78,66.51
20.77,11.57,64.36
19.95,12.28,69.44
19.24,12.94,70.80
18.58,13.62,71.38
18.00,14.28,71.55
17.41,15.01,71.10
16.85,15.75,83.75
16.29,16.55,85.18
15.66,17.47,83.17
15.13,18.26,84.59
16.83,16.46,59.26
20.85,12.77,41.70
26.02,9.63,55.14
30.31,7.92,81.16
32.58,6.67,87.71
34.22,5.70,90.25
35.15,5.06,89.31
35.40,4.82,68.44
34.88,5.02,73.07
33.60,5.62,74.02
31.59,6.58,67.92
27.83,8.49,62.32
25.09,10.29,53.80
23.98,11.08,74.29
23.06,11.54,55.78
22.26,11.86,66.40
21.53,12.24,65.53
20.84,12.68,66.88
20.23,13.04,68.13
19.64,13.43,70.27
19.07,13.78,69.10
18.46,14.15,71.88
17.85,14.54,78.21
17.38,14.80,83.41
18.93,13.50,54.94
23.00,10.40,34.39
27.53,7.80,64.85
32.25,5.78,81.16
34.66,4.97,87.71
36.13,4.53,90.25
36.95,4.29,89.31
36.95,4.28,68.44
36.51,4.36,96.51
35.37,4.65,115.41
33.12,5.31,116.56
28.62,9.68,114.26
26.57,8.53,59.88
25.56,8.77,70.72
24.63,8.61,71.49
23.74,8.95,68.90
22.84,9.35,71.75
21.98,9.78,72.95
21.15,10.22,73.21
20.36,10.67,70.60
19.62,11.17,69.55
18.95,11.69,71.72
18.35,12.27,69.26
17.83,12.79,70.33
19.61,11.75,73.75
24.01,8.98,43.66
28.63,6.70,53.15
33.71,5.14,75.92
36.45,4.57,89.67
37.93,4.35,84.67
38.46,4.35,82.00
38.29,4.48,79.45
37.37,4.76,75.60
35.71,5.30,80.04
33.41,6.16,78.87
29.22,8.86,82.40
26.93,10.23,71.45
25.85,10.61,71.63
24.95,11.27,72.57
24.05,11.79,69.70
23.26,12.49,68.27
22.49,13.12,69.20
21.77,13.62,71.23
21.11,13.93,70.37
20.43,14.26,72.60
19.79,14.54,71.88
19.17,14.80,73.73
18.67,15.04,72.43
20.50,13.37,69.53
24.44,10.58,39.82
27.91,8.83,39.72
31.35,10.85,63.84
30.90,16.68,63.56
30.91,19.17,73.80
32.10,15.54,56.87
33.05,13.60,79.45
32.82,13.83,58.52
31.56,14.84,70.72
30.24,16.07,72.35
27.60,18.96,50.28
25.57,21.60,44.51
24.61,22.88,78.01
23.78,24.05,72.33
23.05,25.16,74.23
22.41,26.13,69.33
21.82,26.97,70.44
21.23,27.73,71.04
21.02,27.72,72.26
20.75,27.60,72.60
20.37,27.64,71.88
20.01,27.67,73.73
19.74,27.64,72.43
20.51,25.96,69.53
22.46,22.82,39.82
25.97,18.17,103.50
29.97,14.21,129.97
32.39,12.57,131.78
34.10,11.64,150.74
35.24,11.14,153.86
35.22,11.35,136.36
34.48,12.00,148.76
33.45,12.81,151.74
31.54,14.34,152.49
28.26,17.41,118.59
26.19,19.81,80.82
25.61,20.53,72.08
24.93,21.26,75.97
24.11,22.03,73.13
23.32,22.59,74.08
22.63,22.84,74.08
22.00,22.86,73.30
21.34,23.13,74.86
20.81,23.27,71.55
20.31,23.44,70.82
19.81,23.66,71.88
19.58,23.53,72.60
21.14,20.96,60.00
24.21,17.07,42.79
29.11,12.90,99.73
32.79,11.21,100.74
35.05,10.23,138.37
36.47,9.66,135.13
37.27,9.41,149.63
37.27,9.52,148.62
36.57,10.01,132.23
35.08,11.02,165.93
32.98,12.51,161.84
29.53,15.67,129.07
27.33,17.57,92.34
26.36,18.65,86.04
25.49,19.68,67.59
24.67,20.66,69.87
23.81,21.73,67.97
23.07,22.71,68.40
22.30,23.68,66.32
21.55,24.52,73.21
20.87,25.19,71.31
20.28,25.76,73.91
19.62,26.60,73.04
19.02,27.51,74.51
20.81,24.55,62.55
24.59,19.42,41.50
30.07,13.81,92.12
33.82,11.49,103.33
35.42,10.67,148.10
36.22,10.24,153.30
36.51,10.04,156.17
36.11,10.21,141.78
35.30,10.65,135.04
34.14,11.40,160.82
32.35,12.66,146.94
29.22,15.22,148.62
26.86,17.40,115.38
25.94,18.15,84.19
25.04,18.80,73.25
24.02,19.64,73.43
23.04,20.52,66.77
22.16,21.45,68.44
21.55,22.15,71.14
21.13,22.59,71.40
20.57,23.24,70.71
20.01,23.98,67.85
19.47,24.71,73.47
18.83,25.63,72.35
20.58,22.91,64.05
24.17,18.28,47.40
29.32,13.53,118.84
32.87,11.32,116.51
34.97,10.24,141.27
36.27,9.64,139.65
35.83,9.89,166.51
35.92,9.76,138.14
34.11,10.65,139.88
32.49,11.44,155.59
30.84,12.25,128.93
28.95,13.24,148.62
26.47,14.78,115.38
25.10,15.44,80.63
24.22,15.67,72.26
23.42,15.90,71.83
22.69,16.09,69.77
22.09,16.16,70.54
21.94,15.82,70.54
21.37,15.97,69.33
20.56,16.45,70.10
20.02,16.84,69.83
19.48,17.39,74.86
19.08,17.88,71.75
21.01,15.85,65.25
24.85,12.47,56.40
30.03,8.89,77.63
33.67,7.25,93.71
36.03,6.51,153.66
37.71,6.10,148.62
38.52,5.97,142.91
38.56,6.05,137.79
37.76,6.39,138.54
36.18,7.04,157.16
34.05,7.99,153.87
30.92,9.62,143.30
28.25,11.27,114.49
27.22,12.01,87.91
26.27,12.74,70.89
25.38,13.47,68.53
24.53,14.24,70.38
23.77,15.00,67.91
23.11,15.74,70.54
22.54,16.41,73.65
21.92,16.98,73.21
21.28,17.49,72.94
20.77,17.84,74.34
20.39,17.98,72.35
22.48,15.51,47.29
26.59,11.89,76.07
31.39,10.17,81.02
34.53,10.00,120.94
36.48,9.46,138.50
37.72,9.11,144.18
38.31,9.05,153.07
38.08,9.39,124.21
37.04,10.14,106.59
35.54,11.14,106.38
33.50,12.61,117.69
30.82,15.07,145.60
28.30,18.12,76.80
27.25,19.97,80.81
26.27,21.52,69.87
25.43,22.71,72.15
24.57,23.78,67.42
23.84,23.91,68.34
23.00,22.70,67.75
22.17,20.91,69.33
21.22,20.55,68.90
20.29,21.23,68.78
19.47,22.17,71.72
18.81,23.04,72.35
20.36,20.85,72.95
24.01,16.66,74.88
29.15,12.47,58.34
32.37,10.49,61.36
34.43,9.42,65.06
35.86,8.89,53.82
36.46,8.75,60.03
36.39,8.70,50.52
35.73,8.81,51.73
34.37,9.33,52.93
32.56,10.17,55.59
29.83,11.74,43.31
26.91,13.72,46.53
25.74,14.44,50.76
24.87,14.83,53.23
24.07,15.17,58.69
23.27,15.59,71.74
22.45,16.21,71.32
21.66,16.92,67.91
20.84,17.76,71.58
19.93,18.70,69.66
19.15,19.46,68.94
18.45,20.14,72.16
17.91,20.66,73.03
20.00,17.92,66.40
23.74,14.09,36.76
29.02,9.53,96.52
32.07,7.13,96.61
33.95,5.87,175.14
35.20,5.07,216.40
35.84,4.53,245.90
35.77,4.31,226.27
35.13,4.35,229.61
33.85,4.58,227.30
31.98,5.02,228.44
28.93,6.02,172.94
25.80,7.38,83.80
24.62,7.96,59.29
23.74,8.36,86.56
22.94,8.70,76.07
22.23,9.04,71.80
21.54,9.42,71.49
20.95,9.79,72.26
20.43,10.21,71.83
19.90,10.65,72.60
19.38,11.16,74.61
18.89,11.78,72.60
18.54,12.35,70.20
20.95,10.86,50.27
25.23,8.44,54.41
30.33,6.45,81.81
34.05,6.21,157.54
35.98,6.44,228.48
37.06,6.86,295.19
37.48,7.20,291.57
37.28,7.62,249.55
36.56,8.15,273.73
35.25,8.92,268.13
33.47,9.97,260.63
30.63,11.77,121.23
27.77,13.80,63.56
26.72,14.53,67.02
25.93,15.14,76.25
25.18,15.78,75.84
24.50,16.37,73.30
23.88,16.90,79.31
23.25,17.49,78.89
22.64,18.04,73.73
22.00,18.50,74.16
21.35,18.88,74.43
20.73,19.25,73.65
20.29,19.38,71.23
22.52,16.49,42.58
26.65,12.52,53.02
32.06,9.27,86.35
35.96,8.06,233.13
37.90,7.57,286.96
39.09,7.26,304.87
39.53,7.20,258.65
39.46,7.29,243.60
38.74,7.59,273.73
37.35,8.20,268.13
35.24,9.25,260.63
31.84,12.30,260.09
29.90,12.52,88.59
29.10,13.08,96.38
28.19,13.86,78.10
27.60,14.39,71.56
26.92,15.06,73.10
26.03,15.92,71.56
25.03,16.92,70.97
23.90,18.20,74.76
22.83,19.55,74.51
21.74,21.22,72.87
20.76,22.99,81.78
20.11,24.45,79.36
21.89,22.38,65.37
25.49,18.38,62.85
30.73,13.33,87.36
33.45,11.22,134.05
35.17,10.07,269.58
36.25,9.24,270.34
36.74,8.68,279.53
36.67,8.47,227.18
35.91,8.67,210.85
34.56,9.24,241.22
32.65,10.24,224.44
30.07,11.96,175.71
27.32,14.19,84.37
26.13,15.32,78.28
25.25,16.25,83.00
24.46,17.14,72.60
23.71,18.03,74.51
22.93,19.02,73.30
22.25,20.01,72.33
21.60,21.09,73.38
20.99,22.06,74.69
20.43,22.93,74.69
19.96,23.69,78.15
19.69,24.21,78.94
21.72,21.42,37.17
25.48,17.06,46.36
30.16,13.23,79.64
33.27,11.61,126.11
35.88,10.30,281.27
37.90,9.46,276.99
38.41,9.59,286.94
38.42,9.95,216.99
38.05,10.42,205.07
37.28,11.03,229.63
35.49,12.34,207.41
32.88,14.44,105.75
30.12,16.98,75.70
29.05,18.09,68.94
28.31,18.88,72.98
27.61,19.68,81.03
26.79,20.64,77.59
25.84,21.77,79.02
24.88,22.92,78.23
23.96,24.00,77.59
23.02,25.13,78.94
22.15,26.22,80.95
21.37,27.26,79.02
20.90,27.97,79.83
23.05,24.40,46.61
26.81,19.36,38.82
31.89,14.69,82.21
35.30,12.64,161.22
37.64,11.17,264.60
39.23,10.16,258.71
40.09,9.53,252.85
40.20,9.34,195.83
39.59,9.34,175.12
38.31,9.78,146.06
36.47,10.79,127.44
33.78,12.76,78.45
30.83,15.38,57.65
29.59,16.71,59.73
28.65,17.87,85.99
27.88,18.81,86.59
27.14,19.67,80.19
26.46,20.42,78.75
25.76,21.19,78.42
25.10,21.92,78.61
24.42,22.61,79.96
23.81,23.19,78.52
23.19,23.80,78.01
22.81,24.18,76.80
25.18,20.74,78.23
29.07,16.29,38.04
34.64,11.52,50.04
38.62,9.05,80.04
40.65,7.87,87.48
41.98,7.08,98.74
42.57,6.65,72.80
42.37,6.58,61.06
41.70,6.67,54.28
40.07,7.13,66.24
38.13,7.79,68.27
35.28,9.56,49.09
33.11,10.36,48.25
32.10,10.64,58.14
30.77,11.30,73.07
29.57,12.15,74.38
28.63,12.87,70.64
27.86,13.45,68.51
27.31,13.85,68.40
26.69,14.33,73.91
26.00,14.80,74.08
25.29,15.30,73.65
24.64,15.79,73.38
24.22,16.13,76.02
26.51,14.02,45.28
30.27,11.17,72.68
34.85,9.28,91.30
37.72,11.28,205.95
39.15,10.71,276.05
40.11,9.50,274.86
40.60,8.46,286.15
40.43,7.79,268.57
39.58,7.68,221.93
38.08,8.38,222.12
36.04,10.16,221.47
33.29,13.00,175.82
30.88,15.81,61.35
30.20,17.08,68.77
29.69,17.98,75.92
28.99,19.02,76.80
27.93,20.57,79.17
