ip1,ip2,output
9.58,30.08,77.48
8.97,30.93,79.92
8.38,32.17,77.23
7.81,32.49,81.29
7.33,33.65,80.76
7.06,32.07,85.21
9.70,31.57,57.60
13.49,22.51,43.10
17.34,18.24,88.34
22.23,14.59,86.47
24.11,13.89,78.10
24.81,13.41,84.09
24.62,13.33,74.93
23.76,13.59,73.20
22.08,14.77,78.33
18.32,24.45,55.52
15.83,28.07,46.31
14.87,25.99,77.85
13.95,25.54,73.93
13.11,26.17,78.07
12.31,25.61,80.00
11.54,25.49,78.52
10.82,26.15,78.19
10.09,28.40,79.92
9.43,27.19,79.68
8.74,29.07,91.76
8.10,28.60,90.10
7.54,29.47,90.12
7.10,31.82,87.84
6.87,29.54,20.80
9.67,27.55,55.40
13.67,22.02,91.37
17.52,16.17,114.79
22.11,11.58,137.88
23.81,10.48,141.04
24.45,9.92,158.89
24.36,9.61,137.68
23.50,9.80,163.43
21.70,11.00,155.04
17.81,23.55,118.24
15.27,27.96,116.48
14.32,20.50,85.58
13.49,22.71,95.45
12.70,22.49,75.18
12.09,20.99,73.13
11.99,23.41,66.03
11.70,24.44,68.65
11.21,25.52,67.72
10.48,24.47,78.70
9.56,23.86,64.97
8.87,22.75,64.21
8.38,23.25,63.30
7.96,23.47,66.64
7.68,24.30,71.14
10.44,30.19,39.03
14.45,19.73,88.37
18.44,12.55,167.44
23.02,9.16,140.81
24.54,8.39,156.78
25.06,8.11,163.23
24.88,8.11,133.90
24.12,8.40,141.01
22.39,9.59,152.77
18.61,25.37,142.08
16.18,33.09,122.37
15.36,24.95,90.25
14.60,27.72,89.89
13.89,19.88,80.04
13.26,21.40,80.04
12.63,24.69,70.38
12.02,23.73,64.05
11.41,25.12,65.72
10.81,27.02,70.44
10.18,30.24,73.38
9.57,28.73,81.10
8.97,35.19,82.14
8.43,35.31,85.61
8.06,42.50,90.05
10.68,32.35,39.92
14.46,26.04,100.99
18.44,21.63,128.48
22.59,15.93,153.02
24.48,13.05,163.54
25.32,12.30,162.73
25.30,12.60,128.11
24.46,13.19,152.73
22.77,14.33,162.84
19.02,23.71,144.17
16.43,23.46,144.70
15.48,22.02,91.96
14.58,22.30,92.56
13.78,21.28,82.97
13.01,21.23,85.40
12.27,22.55,78.19
11.54,22.60,77.17
10.84,21.83,78.52
10.18,20.34,76.57
9.51,21.20,67.11
8.95,22.32,67.27
8.48,21.58,64.67
8.08,19.98,70.44
7.89,20.33,69.17
10.81,24.39,38.07
14.88,17.75,139.39
18.65,11.15,172.35
23.43,8.25,162.04
25.05,8.26,155.79
25.55,8.12,170.79
25.10,8.12,135.41
23.36,8.79,157.87
21.08,13.00,157.06
18.55,21.03,136.58
17.04,19.41,136.58
16.36,24.82,85.30
15.62,23.33,83.55
14.86,25.37,73.16
13.76,24.55,70.89
12.66,26.43,67.20
11.94,24.94,66.79
11.39,24.02,71.55
10.93,18.48,66.03
10.52,21.84,69.39
10.66,21.91,70.60
10.96,22.57,69.71
10.88,24.06,71.48
10.66,22.28,72.35
12.60,22.07,35.49
15.87,15.34,101.44
20.05,10.37,152.86
24.12,9.86,152.44
25.67,10.94,145.49
25.81,12.37,148.34
25.22,13.98,141.27
24.32,15.89,161.65
22.84,19.41,171.61
20.92,25.39,160.09
19.82,25.49,114.79
19.07,25.91,106.53
18.16,26.04,102.49
17.70,25.60,73.16
17.06,25.90,70.89
16.45,25.48,67.20
16.01,30.11,66.79
15.51,32.37,71.55
14.87,41.22,66.03
14.08,52.92,69.39
13.36,65.68,70.60
12.83,74.98,69.71
12.41,80.09,71.48
12.14,81.79,72.35
12.63,80.27,35.49
13.34,80.50,101.44
14.73,81.03,152.86
17.63,74.46,152.44
19.85,59.67,145.49
20.55,53.34,139.07
21.00,49.17,136.09
