Date,Open,High,Low,Close,Adj Close,Volume,Google
10/3/2016,28.1775,28.639999,28.07,28.514999,26.742517,504117600,35
10/10/2016,28.754999,29.672501,28.68,29.407499,27.579546,834833600,34
10/17/2016,29.3325,29.5525,28.450001,29.15,27.338051,462126000,32
10/24/2016,29.275,29.59,28.327499,28.43,26.662807,840902400,39
10/31/2016,28.4125,28.557501,27.0275,27.209999,25.518639,625386000,34
11/7/2016,27.52,27.93,26.4575,27.1075,25.553043,829076000,31
11/14/2016,26.9275,27.635,26.02,27.514999,25.937166,793365600,33
11/21/2016,27.530001,28.105,27.502501,27.9475,26.344872,376529600,40
11/28/2016,27.8575,28.1175,27.2125,27.475,25.899464,622000000,34
12/5/2016,27.5,28.674999,27.0625,28.487499,26.853899,607958400,33
12/12/2016,28.3225,29.182501,28.122499,28.9925,27.329943,780062400,34
12/19/2016,28.950001,29.375,28.897499,29.129999,27.459555,453292000,37
12/26/2016,29.129999,29.504999,28.8575,28.955,27.294588,339314400,40
1/2/2017,28.950001,29.540001,28.690001,29.477501,27.78713,415382000,34
1/9/2017,29.487499,29.9825,29.485001,29.76,28.053429,555242800,32
1/16/2017,29.584999,30.125,29.555,30,28.279669,465392000,30
1/23/2017,30,30.610001,29.875,30.487499,28.739214,498157200,29
1/30/2017,30.2325,32.622501,30.155001,32.27,30.419495,999124800,29
2/6/2017,32.282501,33.235001,32.224998,33.029999,31.13592,545796800,29
2/13/2017,33.27,34.067501,33.1875,33.93,32.122974,546670000,28
2/20/2017,34.057499,34.369999,33.82,34.165001,32.345463,351635600,28
2/27/2017,34.285,35.07,34.07,34.945,33.083912,509896000,28
3/6/2017,34.842499,34.994999,34.262501,34.785,32.932449,398688800,27
3/13/2017,34.712502,35.255001,34.705002,34.997501,33.133617,486158400,27
3/20/2017,35.099998,35.700001,34.932499,35.16,33.287472,518696000,30
3/27/2017,34.8475,36.125,34.654999,35.915001,34.002254,508035600,30
4/3/2017,35.927502,36.365002,35.762501,35.834999,33.926517,421664800,29
4/10/2017,35.900002,35.970001,35.014999,35.262501,33.384506,349942800,29
4/17/2017,35.369999,35.73,35.112499,35.567501,33.673264,356994000,28
4/24/2017,35.875,36.224998,35.794998,35.912498,33.999893,364614800,26
5/1/2017,36.275002,37.244999,36.067501,37.240002,35.256695,701406800,27
5/8/2017,37.2575,39.105,37.2575,39.025002,36.946632,693882400,27
5/15/2017,39.002499,39.162498,37.427502,38.264999,36.376637,629419600,28
5/22/2017,38.5,38.724998,38.1675,38.4025,36.507347,412906000,26
5/29/2017,38.355,38.862499,38.055,38.862499,36.944649,355011600,26
6/5/2017,38.584999,38.994999,36.505001,37.244999,35.406963,636638800,33
6/12/2017,36.435001,36.875,35.549999,35.567501,33.812248,882121600,29
6/19/2017,35.915001,36.790001,35.915001,36.57,34.765282,533012000,29
6/26/2017,36.7925,37.07,35.57,36.005001,34.228168,508240800,29
7/3/2017,36.220001,36.325001,35.602501,36.044998,34.26619,316711600,29
7/10/2017,36.0275,37.3325,35.842499,37.259998,35.42123,444353600,29
7/17/2017,37.205002,37.935001,37.142502,37.567501,35.713558,424326400,29
7/24/2017,37.645,38.497501,36.825001,37.375,35.530556,423272400,30
7/31/2017,37.474998,39.9375,37.032501,39.0975,37.168053,691234000,30
8/7/2017,39.264999,40.4575,38.657501,39.369999,37.427097,605076400,31
8/14/2017,39.830002,40.627499,39.18,39.375,37.57885,538514000,30
8/21/2017,39.375,40.185001,38.7775,39.965,38.141937,450684800,30
8/28/2017,40.035,41.235001,39.982498,41.012501,39.141647,504514800,31
9/4/2017,40.9375,41.0625,39.6325,39.657501,37.848473,406640800,30
9/11/2017,40.125,40.990002,39.477501,39.970001,38.146706,884310000,65
9/18/2017,40.0275,40.125,37.639999,37.9725,36.240334,744754000,41
9/25/2017,37.497501,38.68,37.290001,38.529999,36.772396,619427200,39
10/2/2017,38.564999,38.872501,38.115002,38.825001,37.053936,375137200,35
10/9/2017,38.952499,39.5,38.775002,39.247501,37.457165,325219200,33
10/16/2017,39.474998,40.217499,38.755001,39.0625,37.280602,504205200,33
10/23/2017,39.2225,40.900002,38.817501,40.762501,38.903057,489613200,36
10/30/2017,40.9725,43.564999,40.93,43.125,41.157795,860709600,37
11/6/2017,43.092499,44.060001,42.93,43.6675,41.675541,553701600,39
11/13/2017,43.375,43.625,42.095001,42.537498,40.743027,465838800,36
11/20/2017,42.572498,43.875,42.389999,43.7425,41.897194,324037200,43
11/27/2017,43.762501,43.77,41.790001,42.762501,40.958542,680394000,39
12/4/2017,43.119999,43.154999,41.615002,42.342499,40.556255,549924400,38
12/11/2017,42.299999,43.5425,42.197498,43.4925,41.657742,556588800,36
12/18/2017,43.720001,44.299999,43.3125,43.752499,41.906776,470529600,40
12/25/2017,42.700001,42.962502,42.305,42.307499,40.522728,388655200,48
1/1/2018,42.540001,43.842499,42.314999,43.75,41.904381,404673600,39
1/8/2018,43.587502,44.34,43.25,44.272499,42.404839,440790000,35
1/15/2018,44.474998,45.025002,43.767502,44.615002,42.732891,510284800,34
1/22/2018,44.325001,44.860001,42.514999,42.877499,41.068687,766299200,32
1/29/2018,42.540001,42.540001,40.025002,40.125,38.432297,1051968400,32
2/5/2018,39.775002,40.970001,37.560001,39.102501,37.452938,1270616000,31
2/12/2018,39.625,43.705002,39.377499,43.107498,41.457317,901347600,32
2/19/2018,43.012501,43.912498,42.752499,43.875,42.19545,544825600,31
2/26/2018,44.087502,45.154999,43.112499,44.052502,42.36615,808513600,31
3/5/2018,43.802502,45,43.567501,44.994999,43.272575,559410800,29
3/12/2018,45.072498,45.875,44.404999,44.505001,42.801327,621670000,29
3/19/2018,44.330002,44.3675,41.235001,41.235001,39.656506,690682800,28
3/26/2018,42.017502,43.787498,41.297501,41.945,40.339325,634123200,32
4/2/2018,41.66,43.557499,41.1175,42.095001,40.483582,657635200,31
4/9/2018,42.470001,43.959999,42.462502,43.682499,42.010307,511486000,30
4/16/2018,43.7575,44.735001,41.357498,41.43,39.844036,676952800,28
