date,AAPL,overlap,MSFT,NVDA,V,MA,AVGO,CSCO,ACN,CRM,ADBE
2017-03-19,3.0,1.0,3.0,4.0,82.0,70.0,3.0,6.0,39.0,33.0,11.0
2017-03-20,12.0,1.0,11.0,21.0,70.0,70.0,32.0,10.0,58.0,85.0,30.0
2017-03-21,17.0,1.0,11.0,18.0,68.0,70.0,18.0,27.0,56.0,85.0,29.0
2017-03-22,15.0,1.0,9.0,20.0,73.0,68.0,14.0,17.0,42.0,86.0,27.0
2017-03-23,13.0,,12.0,13.0,67.0,68.0,18.0,20.0,69.0,81.0,10.0
2017-03-24,11.0,,8.0,14.0,69.0,69.0,24.0,15.0,86.0,69.0,0.0
2017-03-25,3.0,,3.0,2.0,74.0,68.0,0.0,13.0,53.0,32.0,8.0
2017-03-26,2.0,,1.0,3.0,80.0,65.0,0.0,7.0,33.0,41.0,8.0
2017-03-27,11.0,,10.0,14.0,70.0,68.0,14.0,25.0,63.0,92.0,14.0
2017-03-28,14.0,,9.0,24.0,72.0,72.0,14.0,17.0,53.0,81.0,10.0
2017-03-29,16.0,,8.0,10.0,68.0,71.0,5.0,20.0,63.0,93.0,14.0
2017-03-30,12.0,,13.0,13.0,65.0,69.0,19.0,14.0,54.0,81.0,0.0
2017-03-31,14.0,,5.0,11.0,67.0,69.0,10.0,12.0,55.0,59.0,14.0
2017-04-01,4.0,,3.0,2.0,79.0,67.0,27.0,0.0,39.0,36.0,4.0
2017-04-02,3.0,,2.0,4.0,76.0,69.0,5.0,3.0,61.0,36.0,8.0
2017-04-03,13.0,,9.0,12.0,65.0,69.0,5.0,11.0,60.0,77.0,3.0
2017-04-04,9.0,,10.0,26.0,68.0,70.0,14.0,25.0,74.0,78.0,7.0
2017-04-05,17.0,,13.0,24.0,69.0,69.0,9.0,34.0,60.0,84.0,14.0
2017-04-06,11.0,,12.0,21.0,68.0,70.0,0.0,40.0,75.0,82.0,3.0
2017-04-07,8.0,,9.0,15.0,66.0,67.0,29.0,9.0,75.0,76.0,3.0
2017-04-08,2.0,,3.0,6.0,71.0,70.0,0.0,10.0,33.0,28.0,0.0
2017-04-09,1.0,,2.0,4.0,75.0,69.0,0.0,10.0,37.0,25.0,0.0
2017-04-10,12.0,,12.0,15.0,65.0,69.0,9.0,20.0,63.0,77.0,7.0
2017-04-11,13.0,,5.0,16.0,68.0,68.0,0.0,18.0,35.0,82.0,3.0
2017-04-12,13.0,,9.0,22.0,67.0,70.0,19.0,14.0,60.0,74.0,18.0
2017-04-13,10.0,,4.0,15.0,64.0,68.0,15.0,18.0,51.0,70.0,8.0
2017-04-14,7.0,,6.0,9.0,70.0,69.0,5.0,10.0,30.0,47.0,12.0
2017-04-15,3.0,,2.0,2.0,71.0,65.0,11.0,0.0,50.0,29.0,0.0
2017-04-16,2.0,,5.0,2.0,75.0,64.0,11.0,3.0,38.0,25.0,0.0
2017-04-17,10.0,,11.0,12.0,68.0,69.0,5.0,20.0,38.0,62.0,14.0
2017-04-18,14.0,,9.0,12.0,69.0,68.0,14.0,11.0,27.0,87.0,7.0
2017-04-19,9.0,,12.0,18.0,68.0,66.0,14.0,31.0,45.0,82.0,7.0
2017-04-20,12.0,,10.0,16.0,70.0,69.0,19.0,17.0,40.0,86.0,7.0
2017-04-21,10.0,,10.0,10.0,67.0,68.0,10.0,6.0,42.0,58.0,11.0
2017-04-22,3.0,,5.0,6.0,79.0,69.0,11.0,3.0,37.0,32.0,0.0
2017-04-23,3.0,,2.0,1.0,87.0,67.0,16.0,7.0,12.0,26.0,8.0
2017-04-24,10.0,,14.0,17.0,69.0,69.0,9.0,28.0,50.0,82.0,7.0
2017-04-25,14.0,,16.0,13.0,68.0,68.0,32.0,17.0,50.0,76.0,21.0
2017-04-26,12.0,,19.0,12.0,67.0,68.0,5.0,31.0,68.0,88.0,16.0
2017-04-27,15.0,,27.0,13.0,69.0,67.0,18.0,23.0,47.0,68.0,14.0
2017-04-28,14.0,,19.0,19.0,68.0,70.0,34.0,12.0,58.0,72.0,11.0
2017-04-29,2.0,,5.0,2.0,100.0,68.0,16.0,7.0,38.0,34.0,0.0
2017-04-30,2.0,,2.0,2.0,86.0,69.0,0.0,3.0,34.0,29.0,0.0
2017-05-01,18.0,,9.0,14.0,72.0,74.0,15.0,15.0,54.0,48.0,14.0
2017-05-02,44.0,,13.0,17.0,66.0,68.0,9.0,36.0,42.0,87.0,14.0
2017-05-03,36.0,,15.0,10.0,66.0,68.0,23.0,20.0,69.0,79.0,10.0
2017-05-04,19.0,,9.0,12.0,67.0,65.0,5.0,40.0,61.0,81.0,7.0
2017-05-05,16.0,,13.0,11.0,68.0,67.0,5.0,27.0,66.0,70.0,11.0
2017-05-06,5.0,,5.0,1.0,74.0,67.0,5.0,13.0,27.0,30.0,4.0
2017-05-07,3.0,,5.0,1.0,77.0,67.0,5.0,3.0,49.0,29.0,4.0
2017-05-08,22.0,,9.0,14.0,71.0,68.0,18.0,14.0,37.0,70.0,10.0
2017-05-09,25.0,,7.0,41.0,65.0,68.0,9.0,36.0,44.0,74.0,0.0
2017-05-10,19.0,,13.0,51.0,70.0,69.0,9.0,11.0,57.0,83.0,7.0
2017-05-11,15.0,,20.0,55.0,67.0,68.0,19.0,20.0,51.0,86.0,21.0
2017-05-12,14.0,,13.0,31.0,71.0,69.0,0.0,21.0,63.0,59.0,14.0
2017-05-13,5.0,,5.0,11.0,73.0,70.0,11.0,13.0,34.0,26.0,4.0
2017-05-14,3.0,,1.0,2.0,77.0,69.0,0.0,0.0,43.0,28.0,0.0
2017-05-15,19.0,,10.0,31.0,66.0,70.0,20.0,45.0,42.0,84.0,3.0
2017-05-16,14.0,,21.0,28.0,65.0,70.0,15.0,27.0,43.0,82.0,3.0
2017-05-17,18.0,,17.0,35.0,65.0,68.0,30.0,52.0,69.0,82.0,8.0
2017-05-18,17.0,,11.0,29.0,66.0,68.0,20.0,55.0,54.0,82.0,11.0
2017-05-19,12.0,,9.0,25.0,67.0,69.0,5.0,54.0,53.0,66.0,8.0
2017-05-20,5.0,,4.0,7.0,69.0,69.0,0.0,3.0,30.0,36.0,0.0
2017-05-21,3.0,,2.0,8.0,77.0,67.0,6.0,14.0,29.0,24.0,0.0
2017-05-22,15.0,,11.0,22.0,67.0,70.0,15.0,31.0,40.0,85.0,15.0
2017-05-23,13.0,,14.0,19.0,59.0,68.0,19.0,23.0,36.0,79.0,14.0
2017-05-24,14.0,,7.0,27.0,66.0,69.0,10.0,21.0,60.0,77.0,19.0
2017-05-25,19.0,,10.0,24.0,63.0,70.0,20.0,31.0,76.0,76.0,8.0
2017-05-26,11.0,,13.0,17.0,62.0,68.0,22.0,20.0,52.0,65.0,4.0
2017-05-27,3.0,,5.0,8.0,72.0,68.0,12.0,0.0,38.0,30.0,9.0
2017-05-28,3.0,,5.0,5.0,66.0,68.0,0.0,7.0,30.0,22.0,0.0
2017-05-29,5.0,,6.0,5.0,64.0,68.0,0.0,0.0,35.0,69.0,8.0
