date,information technology,overlap,technology,information,computers,communication,MSCI,exchange-traded funds,artificial intelligence,information literacy,media communication
2017-03-19,47.0,1.0,63.0,60.0,55.0,63.0,12.0,0.0,27.0,10.0,48.0
2017-03-20,66.0,1.0,94.0,89.0,73.0,93.0,25.0,0.0,41.0,24.0,58.0
2017-03-21,62.0,1.0,96.0,91.0,69.0,92.0,23.0,0.0,44.0,4.0,52.0
2017-03-22,60.0,1.0,100.0,86.0,76.0,94.0,22.0,13.0,41.0,13.0,74.0
2017-03-23,78.0,,93.0,85.0,73.0,91.0,27.0,0.0,47.0,14.0,65.0
2017-03-24,46.0,,87.0,82.0,70.0,83.0,26.0,0.0,44.0,19.0,37.0
2017-03-25,36.0,,63.0,56.0,68.0,58.0,8.0,0.0,33.0,16.0,38.0
2017-03-26,55.0,,64.0,61.0,62.0,65.0,13.0,57.0,31.0,5.0,53.0
2017-03-27,71.0,,92.0,85.0,74.0,87.0,14.0,0.0,44.0,27.0,68.0
2017-03-28,62.0,,98.0,91.0,80.0,93.0,29.0,0.0,39.0,18.0,46.0
2017-03-29,60.0,,95.0,88.0,66.0,85.0,21.0,0.0,53.0,13.0,53.0
2017-03-30,59.0,,100.0,85.0,70.0,93.0,19.0,0.0,51.0,28.0,81.0
2017-03-31,53.0,,86.0,81.0,72.0,76.0,15.0,0.0,48.0,10.0,38.0
2017-04-01,41.0,,54.0,53.0,57.0,55.0,11.0,0.0,22.0,16.0,33.0
2017-04-02,48.0,,61.0,59.0,59.0,65.0,11.0,0.0,45.0,10.0,29.0
2017-04-03,62.0,,95.0,83.0,64.0,84.0,20.0,0.0,43.0,14.0,43.0
2017-04-04,71.0,,98.0,87.0,73.0,97.0,23.0,0.0,44.0,9.0,60.0
2017-04-05,60.0,,95.0,85.0,71.0,87.0,22.0,100.0,50.0,18.0,57.0
2017-04-06,69.0,,94.0,84.0,70.0,90.0,18.0,0.0,45.0,5.0,65.0
2017-04-07,60.0,,84.0,76.0,72.0,76.0,19.0,0.0,39.0,9.0,49.0
2017-04-08,47.0,,56.0,56.0,54.0,55.0,8.0,0.0,38.0,0.0,37.0
2017-04-09,48.0,,60.0,54.0,55.0,60.0,8.0,0.0,40.0,21.0,25.0
2017-04-10,48.0,,92.0,84.0,69.0,86.0,20.0,0.0,40.0,32.0,47.0
2017-04-11,65.0,,97.0,84.0,65.0,87.0,16.0,0.0,44.0,14.0,61.0
2017-04-12,60.0,,89.0,77.0,66.0,83.0,16.0,0.0,44.0,0.0,40.0
2017-04-13,52.0,,81.0,79.0,73.0,71.0,17.0,0.0,39.0,15.0,26.0
2017-04-14,40.0,,63.0,63.0,60.0,63.0,12.0,0.0,41.0,15.0,32.0
2017-04-15,34.0,,51.0,53.0,57.0,43.0,10.0,0.0,44.0,5.0,17.0
2017-04-16,42.0,,53.0,55.0,55.0,57.0,16.0,60.0,30.0,0.0,34.0
2017-04-17,74.0,,82.0,75.0,70.0,82.0,17.0,0.0,49.0,5.0,45.0
2017-04-18,55.0,,91.0,82.0,64.0,80.0,15.0,0.0,39.0,18.0,52.0
2017-04-19,70.0,,93.0,78.0,58.0,89.0,22.0,0.0,39.0,31.0,49.0
2017-04-20,63.0,,88.0,85.0,58.0,87.0,13.0,0.0,54.0,23.0,44.0
2017-04-21,56.0,,84.0,79.0,57.0,73.0,14.0,0.0,48.0,19.0,34.0
2017-04-22,51.0,,56.0,57.0,53.0,54.0,10.0,0.0,39.0,10.0,29.0
2017-04-23,50.0,,56.0,58.0,58.0,61.0,7.0,57.0,34.0,36.0,52.0
2017-04-24,75.0,,88.0,80.0,63.0,91.0,17.0,0.0,40.0,9.0,64.0
2017-04-25,68.0,,96.0,88.0,70.0,87.0,22.0,0.0,48.0,18.0,64.0
2017-04-26,57.0,,92.0,84.0,70.0,92.0,15.0,0.0,44.0,13.0,42.0
2017-04-27,54.0,,93.0,85.0,71.0,93.0,18.0,0.0,43.0,5.0,40.0
2017-04-28,41.0,,86.0,72.0,69.0,69.0,16.0,0.0,39.0,5.0,12.0
2017-04-29,39.0,,56.0,52.0,67.0,51.0,9.0,0.0,35.0,5.0,45.0
2017-04-30,54.0,,58.0,61.0,65.0,59.0,7.0,0.0,33.0,5.0,42.0
2017-05-01,62.0,,85.0,83.0,75.0,79.0,28.0,0.0,52.0,10.0,61.0
2017-05-02,68.0,,98.0,85.0,68.0,86.0,13.0,0.0,34.0,0.0,56.0
2017-05-03,54.0,,92.0,84.0,80.0,94.0,18.0,0.0,47.0,14.0,36.0
2017-05-04,71.0,,97.0,87.0,69.0,87.0,15.0,0.0,45.0,14.0,44.0
2017-05-05,51.0,,85.0,75.0,71.0,86.0,32.0,0.0,54.0,14.0,45.0
2017-05-06,35.0,,57.0,52.0,48.0,53.0,9.0,0.0,33.0,0.0,21.0
2017-05-07,40.0,,57.0,57.0,59.0,62.0,12.0,0.0,42.0,10.0,33.0
2017-05-08,72.0,,98.0,85.0,73.0,91.0,31.0,50.0,45.0,0.0,43.0
2017-05-09,68.0,,94.0,86.0,72.0,85.0,26.0,0.0,39.0,18.0,39.0
2017-05-10,54.0,,86.0,82.0,70.0,85.0,18.0,50.0,39.0,5.0,46.0
2017-05-11,49.0,,92.0,82.0,73.0,79.0,20.0,0.0,41.0,18.0,69.0
2017-05-12,47.0,,80.0,72.0,71.0,78.0,25.0,0.0,45.0,24.0,41.0
2017-05-13,45.0,,62.0,52.0,69.0,49.0,11.0,0.0,33.0,11.0,34.0
