Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,86.779999,86.860001,86.500000,86.750000,75.831161,7350000
2017-01-31,86.629997,87.660004,86.529999,87.599998,76.574211,9712400
2017-02-01,87.029999,87.589996,86.750000,87.330002,76.338181,8291000
2017-02-02,87.610001,88.349998,87.250000,87.760002,76.714050,8997200
2017-02-03,88.120003,88.169998,87.389999,87.410004,76.408104,7161900
2017-02-06,87.500000,87.790001,87.129997,87.400002,76.399376,7483000
2017-02-07,87.639999,88.279999,87.480003,88.010002,76.932594,6646100
2017-02-08,88.070000,88.339996,87.809998,88.330002,77.212303,6815800
2017-02-09,88.330002,88.779999,88.029999,88.669998,77.509514,9914100
2017-02-10,88.559998,88.730003,87.970001,87.970001,76.897636,11057600
2017-02-13,88.040001,88.360001,87.639999,88.309998,77.194824,6905100
2017-02-14,88.000000,88.220001,87.230003,87.860001,76.801483,20123400
2017-02-15,89.809998,91.150002,89.809998,91.120003,79.651138,25847700
2017-02-16,90.919998,91.120003,90.540001,90.790001,79.362671,12408500
2017-02-17,90.610001,91.360001,90.449997,91.089996,79.624916,12152400
2017-02-21,90.580002,91.800003,90.580002,91.669998,80.131927,9018700
2017-02-22,91.449997,91.800003,91.250000,91.440002,79.930870,6749900
2017-02-23,91.610001,91.800003,90.910004,91.129997,79.659874,7611600
2017-02-24,90.970001,91.339996,90.669998,91.050003,79.589958,6643400
2017-02-27,90.529999,90.910004,90.059998,90.889999,79.450081,11840300
2017-02-28,90.900002,91.790001,90.650002,91.070000,79.607452,10535600
2017-03-01,91.050003,91.889999,90.709999,91.660004,80.123184,8792200
2017-03-02,91.400002,91.589996,90.879997,90.910004,79.467590,7031200
2017-03-03,90.910004,90.910004,89.889999,90.500000,79.109169,8334900
2017-03-06,89.889999,90.510002,89.589996,90.370003,78.995552,9533800
2017-03-07,90.139999,90.489998,90.059998,90.290001,78.925591,5363000
2017-03-08,90.019997,90.349998,89.760002,90.139999,78.794510,5503700
2017-03-09,90.139999,90.489998,90.099998,90.339996,78.969315,5587400
2017-03-10,90.800003,91.160004,90.650002,91.070000,79.607452,6797800
2017-03-13,91.059998,91.489998,90.849998,91.309998,79.817245,7397500
2017-03-14,91.260002,91.589996,90.820000,91.000000,79.546234,6686400
2017-03-15,91.000000,91.779999,90.730003,91.400002,79.895927,7855300
2017-03-16,91.440002,91.720001,91.099998,91.440002,79.930870,6601200
2017-03-17,91.449997,92.000000,90.919998,91.000000,79.546234,37010100
2017-03-20,90.959999,91.410004,90.940002,91.220001,79.738556,7772900
2017-03-21,91.300003,91.750000,91.029999,91.190002,79.712341,8211000
2017-03-22,91.309998,91.800003,90.750000,90.989998,79.537514,7798000
2017-03-23,90.910004,91.459999,90.599998,90.769997,79.345192,6831400
2017-03-24,90.769997,90.919998,90.209999,90.570000,79.170364,9252000
2017-03-27,90.449997,90.720001,90.180000,90.489998,79.100433,10072000
2017-03-28,90.169998,91.059998,90.129997,90.760002,79.336449,11855800
2017-03-29,90.559998,90.870003,90.389999,90.599998,79.196594,4252800
2017-03-30,90.500000,90.570000,90.099998,90.199997,78.846939,3691900
2017-03-31,90.029999,90.339996,89.839996,89.849998,78.540993,6942400
2017-04-03,89.860001,90.059998,89.449997,89.680000,78.392395,6967400
2017-04-04,89.750000,89.959999,89.419998,89.910004,78.593452,5680800
2017-04-05,90.000000,90.500000,89.760002,89.970001,78.645874,6320100
2017-04-06,89.769997,89.809998,89.309998,89.400002,78.147644,7231500
2017-04-07,89.459999,89.610001,89.180000,89.230003,77.999031,4739100
2017-04-10,89.129997,89.680000,88.750000,89.489998,78.226295,5956000
2017-04-11,89.660004,89.820000,89.290001,89.800003,78.497299,5186000
2017-04-12,89.699997,90.419998,89.559998,90.309998,78.943085,6286300
2017-04-13,90.050003,90.540001,89.790001,90.029999,78.698341,5040100
2017-04-17,90.230003,90.589996,90.129997,90.389999,79.013023,6931700
2017-04-18,90.400002,91.129997,90.339996,90.800003,79.371414,7087800
2017-04-19,90.099998,90.449997,89.500000,89.599998,78.922195,6919000
2017-04-20,89.699997,89.699997,89.309998,89.330002,78.684380,6983500
2017-04-21,89.169998,89.279999,88.610001,88.620003,78.058983,9061200
2017-04-24,89.120003,89.660004,89.010002,89.550003,78.878174,8338500
2017-04-25,89.580002,90.250000,89.470001,90.000000,79.274529,9088400
2017-04-26,89.849998,90.000000,87.610001,87.739998,77.283852,11951300
2017-04-27,87.580002,88.239998,87.230003,87.690002,77.239822,8517500
2017-04-28,87.519997,87.589996,87.150002,87.330002,76.922722,8295400
2017-05-01,87.379997,87.599998,87.080002,87.089996,76.711327,4546600
2017-05-02,87.290001,87.290001,86.019997,86.220001,75.944992,13197500
2017-05-03,86.300003,86.629997,85.900002,86.430000,76.129974,6122000
2017-05-04,86.849998,87.239998,86.300003,86.449997,76.147583,5986200
2017-05-05,86.540001,86.610001,86.129997,86.500000,76.191628,4506200
2017-05-08,86.330002,86.620003,86.239998,86.550003,76.235680,4634600
2017-05-09,86.800003,86.820000,86.220001,86.400002,76.103546,9577600
2017-05-10,86.480003,86.790001,86.389999,86.489998,76.182800,6178500
2017-05-11,86.610001,86.629997,85.879997,86.169998,75.900978,6064700
2017-05-12,86.239998,86.320000,85.919998,86.190002,75.918571,5892400
2017-05-15,86.650002,86.709999,86.250000,86.330002,76.041901,5820700
2017-05-16,86.879997,87.000000,86.190002,86.239998,75.962616,6554500
2017-05-17,86.239998,86.629997,85.930000,86.260002,75.980225,7805800
2017-05-18,86.180000,86.220001,85.519997,85.870003,75.636703,6985600
2017-05-19,86.000000,86.379997,85.669998,86.239998,75.962616,7320700
2017-05-22,86.250000,86.400002,86.029999,86.209999,75.936188,4260000
2017-05-23,86.279999,86.540001,85.980003,86.080002,75.821686,4394200
2017-05-24,86.449997,86.650002,86.209999,86.500000,76.191628,4878800
2017-05-25,86.580002,86.980003,86.550003,86.860001,76.508736,4368000
2017-05-26,86.930000,87.379997,86.820000,87.250000,76.852264,4337000
2017-05-30,87.250000,87.610001,87.099998,87.400002,76.984367,4594500
2017-05-31,87.669998,88.349998,87.449997,88.089996,77.592133,10146600
2017-06-01,88.019997,88.139999,87.370003,88.129997,77.627373,6251300
2017-06-02,88.400002,88.680000,88.010002,88.589996,78.032547,6136400
2017-06-05,88.300003,88.760002,88.000000,88.739998,78.164680,4115300
2017-06-06,88.760002,88.970001,88.449997,88.800003,78.217545,6503000
2017-06-07,88.680000,88.889999,88.400002,88.769997,78.191109,4781600
2017-06-08,88.769997,88.800003,87.360001,87.849998,77.380745,7712100
2017-06-09,87.849998,88.209999,87.550003,88.160004,77.653809,9696900
2017-06-12,88.160004,88.660004,88.089996,88.239998,77.724266,7867700
2017-06-13,88.360001,88.400002,87.769997,88.059998,77.565727,6419300
2017-06-14,88.489998,88.750000,88.059998,88.440002,77.900444,6183900
2017-06-15,88.230003,89.620003,88.230003,89.379997,78.728401,7047500
2017-06-16,89.720001,89.769997,88.809998,89.660004,78.975067,13855000
2017-06-19,89.599998,89.860001,89.199997,89.860001,79.151207,5246200
2017-06-20,89.769997,90.209999,89.610001,89.629997,78.948593,5674200
2017-06-21,89.620003,89.949997,89.290001,89.400002,78.746048,4164500
2017-06-22,89.269997,89.410004,88.900002,89.029999,78.420128,4536700
2017-06-23,89.029999,89.800003,88.900002,89.419998,78.763657,8782100
2017-06-26,89.629997,89.680000,89.269997,89.360001,78.710808,4373300
2017-06-27,89.360001,89.360001,88.610001,88.610001,78.050171,5180400
2017-06-28,89.080002,89.209999,88.260002,88.370003,77.838776,4875000
2017-06-29,88.019997,88.220001,86.930000,86.989998,76.623245,8123500
2017-06-30,87.050003,87.470001,87.000000,87.150002,76.764191,6070300
2017-07-03,87.400002,88.000000,87.180000,87.739998,77.283852,3607400
2017-07-05,87.860001,88.000000,87.489998,87.669998,77.222206,4974300
2017-07-06,87.650002,87.949997,87.360001,87.370003,76.957947,6038900
2017-07-07,87.690002,87.820000,87.279999,87.650002,77.204575,5142200
2017-07-10,87.629997,87.870003,86.889999,87.089996,76.711327,5356400
2017-07-11,87.230003,87.449997,86.309998,86.769997,76.429474,5838600
2017-07-12,87.239998,87.470001,86.830002,86.959999,76.596809,4374200
2017-07-13,86.769997,87.050003,86.500000,86.699997,76.367798,5448900
2017-07-14,86.959999,87.290001,86.730003,87.099998,76.720123,4577700
2017-07-17,87.070000,87.910004,86.739998,87.550003,77.116493,5227800
2017-07-18,87.610001,88.760002,87.459999,88.639999,78.076614,7492300
2017-07-19,87.870003,88.410004,87.599998,88.349998,78.431702,6008500
2017-07-20,88.320000,89.309998,88.309998,88.599998,78.653633,7285000
2017-07-21,88.160004,88.680000,87.809998,88.610001,78.662514,5714800
2017-07-24,88.550003,88.599998,87.970001,88.180000,78.280800,6202000
2017-07-25,88.669998,89.199997,88.540001,89.139999,79.132996,6766700
2017-07-26,89.000000,89.419998,88.870003,89.300003,79.275040,6987000
2017-07-27,90.290001,90.750000,89.000000,90.680000,80.500122,11089200
2017-07-28,90.559998,91.000000,89.959999,90.209999,80.082901,6137500
2017-07-31,90.209999,91.070000,90.209999,90.820000,80.624420,7835700
2017-08-01,91.029999,91.730003,90.720001,91.099998,80.872971,8662100
2017-08-02,90.970001,91.300003,90.529999,91.040001,80.819717,7167700
2017-08-03,90.860001,91.750000,90.820000,90.860001,80.659927,6413200
2017-08-04,90.690002,91.080002,90.529999,90.669998,80.491257,5824400
2017-08-07,90.669998,91.559998,90.519997,91.440002,81.174828,5011300
2017-08-08,91.400002,91.940002,91.230003,91.580002,81.299095,5623400
2017-08-09,91.519997,91.940002,91.519997,91.919998,81.600922,5572800
2017-08-10,91.860001,92.000000,91.690002,91.739998,81.441139,6338200
2017-08-11,91.940002,92.080002,91.290001,91.339996,81.086044,7094200
2017-08-14,91.540001,91.949997,91.250000,91.650002,81.361229,5398400
2017-08-15,91.910004,92.360001,91.879997,92.199997,81.849495,5293400
2017-08-16,92.290001,92.949997,92.190002,92.440002,82.062546,7965500
2017-08-17,92.400002,92.669998,92.070000,92.070000,81.734077,5711400
2017-08-18,91.980003,92.779999,91.849998,92.470001,82.089203,6815000
2017-08-21,92.379997,92.959999,92.360001,92.860001,82.435402,4334300
