date,Apple,,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
2/23/2017,21,,21,15,33,14,9,23,14,17,22,14,34,48,0,0,2,79,17,18,0,2
2/24/2017,21,,21,15,34,15,9,23,19,15,12,13,37,40,0,0,3,62,13,20,1,1
2/25/2017,23,,23,6,40,16,9,26,18,5,6,13,34,54,0,0,3,28,10,20,1,0
2/26/2017,23,,23,3,39,16,11,26,18,0,2,14,41,46,0,0,2,53,10,12,0,0
2/27/2017,22,,22,16,35,15,9,23,18,14,15,13,34,44,1,0,2,58,5,20,0,0
2/28/2017,21,,21,17,34,13,9,23,17,12,15,14,42,47,0,0,3,72,9,23,2,1
3/1/2017,21,,21,19,31,14,9,23,17,23,25,14,39,41,0,0,2,64,16,24,0,0
3/2/2017,21,,21,19,33,15,9,23,15,23,20,13,35,48,0,0,2,63,24,23,1,0
3/3/2017,21,,21,16,35,13,9,24,22,23,19,13,34,48,0,0,2,64,11,25,1,1
3/4/2017,22,,22,5,41,16,9,26,21,0,4,14,37,46,0,0,2,34,8,26,1,0
3/5/2017,23,,23,2,41,16,10,26,22,0,3,13,43,48,0,0,3,47,5,36,1,1
3/6/2017,22,,22,14,33,14,10,23,18,12,16,12,38,52,0,0,2,64,19,20,0,0
3/7/2017,21,,21,15,33,13,9,23,15,26,19,18,40,50,0,0,2,75,13,27,1,2
3/8/2017,21,,21,13,33,13,9,22,16,18,15,16,33,45,0,0,2,68,15,13,1,0
3/9/2017,20,,20,13,35,12,8,22,15,15,17,11,33,45,0,0,2,69,12,21,0,2
3/10/2017,21,,21,14,36,14,9,23,16,18,17,15,34,48,0,0,2,54,14,24,0,0
3/11/2017,22,,22,4,40,15,9,26,20,2,4,14,38,57,0,0,2,33,6,13,1,0
3/12/2017,22,,22,2,37,16,9,27,16,1,1,14,37,43,1,0,2,40,11,28,0,0
3/13/2017,21,,21,11,36,13,9,22,16,14,15,11,33,45,1,0,2,66,10,22,1,0
3/14/2017,21,,21,11,36,12,8,23,13,16,13,12,40,52,1,0,2,65,11,6,0,2
3/15/2017,20,,20,12,36,13,9,23,17,18,18,14,37,49,0,0,2,65,19,20,0,0
3/16/2017,21,,21,13,31,13,9,22,14,24,19,13,35,44,0,0,2,55,18,18,2,0
3/17/2017,20,,20,13,34,13,9,22,17,27,21,15,35,47,0,0,2,52,12,28,0,0
