Date, Open, High, Low, Close
12/31/19, 509.90, 511.53, 508.77, 511.39
12/30/19, 511.76, 509.90, 509.90, 509.90
12/27/19, 512.60, 511.89, 511.89, 511.89
12/26/19, 509.66, 512.59, 512.59, 512.59
12/24/19, 509.28, 509.96, 508.75, 509.79
12/23/19, 510.18, 509.28, 509.28, 509.28
12/20/19, 509.89, 510.17, 510.17, 510.17
12/19/19, 509.68, 509.88, 509.88, 509.88
12/18/19, 512.16, 509.73, 509.73, 509.73
12/17/19, 509.65, 512.16, 512.16, 512.16
12/16/19, 507.66, 509.67, 509.67, 509.67
12/13/19, 509.97, 507.63, 507.63, 507.63
12/12/19, 499.98, 510.03, 510.03, 510.03
12/11/19, 501.02, 500.03, 500.03, 500.03
12/10/19, 501.08, 501.06, 501.06, 501.06
12/09/19, 502.53, 501.07, 501.07, 501.07
12/06/19, 495.93, 502.58, 502.58, 502.58
12/05/19, 493.74, 495.88, 495.88, 495.88
12/04/19, 489.23, 494.04, 494.04, 494.04
12/03/19, 495.75, 489.21, 489.21, 489.21
12/02/19, 498.91, 495.74, 495.74, 495.74
11/29/19, 499.92, 498.96, 498.96, 498.96
11/27/19, 498.15, 500.37, 497.93, 500.03
11/26/19, 498.73, 498.15, 498.15, 498.15
11/25/19, 495.44, 498.74, 498.74, 498.74
11/22/19, 491.79, 495.51, 495.51, 495.51
11/21/19, 492.26, 491.78, 491.78, 491.78
11/20/19, 494.70, 492.26, 492.26, 492.26
11/19/19, 493.90, 494.73, 494.73, 494.73
11/18/19, 493.22, 493.95, 493.95, 493.95
11/15/19, 490.99, 493.22, 493.22, 493.22
11/14/19, 490.54, 490.99, 490.99, 490.99
11/13/19, 493.33, 490.55, 490.55, 490.55
11/12/19, 493.19, 493.38, 493.38, 493.38
11/11/19, 494.49, 493.20, 493.20, 493.20
11/08/19, 494.36, 494.49, 494.49, 494.49
11/07/19, 490.73, 494.41, 494.41, 494.41
11/06/19, 489.11, 491.13, 491.13, 491.13
11/05/19, 487.06, 489.12, 489.12, 489.12
11/04/19, 482.75, 487.06, 487.06, 487.06
11/01/19, 475.82, 482.76, 482.76, 482.76
10/31/19, 478.56, 475.99, 475.99, 475.99
10/30/19, 479.22, 478.62, 478.62, 478.62
10/29/19, 477.94, 479.31, 479.31, 479.31
10/28/19, 475.60, 477.97, 477.97, 477.97
10/25/19, 473.23, 475.59, 475.59, 475.59
10/24/19, 473.46, 473.26, 473.26, 473.26
10/23/19, 471.74, 473.45, 473.45, 473.45
10/22/19, 473.16, 471.76, 471.76, 471.76
10/21/19, 466.49, 473.09, 473.09, 473.09
10/18/19, 465.34, 466.45, 466.45, 466.45
10/17/19, 464.84, 465.37, 465.37, 465.37
10/16/19, 465.91, 464.84, 464.84, 464.84
10/15/19, 459.85, 465.98, 465.98, 465.98
10/14/19, 459.30, 459.86, 459.86, 459.86
10/11/19, 453.54, 459.31, 459.31, 459.31
10/10/19, 448.86, 453.50, 453.50, 453.50
10/09/19, 444.47, 448.90, 448.90, 448.90
10/08/19, 453.63, 444.47, 444.47, 444.47
10/07/19, 455.63, 453.65, 453.65, 453.65
10/04/19, 447.02, 455.67, 455.67, 455.67
10/03/19, 445.81, 447.03, 447.03, 447.03
10/02/19, 455.83, 446.30, 446.30, 446.30
10/01/19, 465.56, 455.86, 455.86, 455.86
09/30/19, 465.99, 465.54, 465.54, 465.54
09/27/19, 464.86, 466.03, 466.03, 466.03
09/26/19, 466.73, 464.93, 464.93, 464.93
09/25/19, 463.36, 466.75, 466.75, 466.75
09/24/19, 467.77, 463.36, 463.36, 463.36
09/23/19, 466.95, 467.76, 467.76, 467.76
09/20/19, 469.99, 466.96, 466.96, 466.96
09/19/19, 471.83, 469.98, 469.98, 469.98
09/18/19, 469.84, 471.88, 471.88, 471.88
09/17/19, 469.36, 469.84, 469.84, 469.84
09/16/19, 471.62, 469.39, 469.39, 469.39
09/13/19, 467.72, 471.68, 471.68, 471.68
09/12/19, 465.53, 467.76, 467.76, 467.76
09/11/19, 462.84, 465.60, 465.60, 465.60
09/10/19, 461.02, 462.85, 462.85, 462.85
09/09/19, 453.96, 460.99, 460.99, 460.99
09/06/19, 453.95, 454.01, 454.01, 454.01
09/05/19, 445.26, 453.94, 453.94, 453.94
09/04/19, 440.65, 445.49, 445.49, 445.49
09/03/19, 445.64, 440.72, 440.72, 440.72
08/30/19, 443.89, 447.91, 443.89, 445.65
08/29/19, 437.32, 443.89, 443.89, 443.89
08/28/19, 433.47, 437.42, 437.42, 437.42
08/27/19, 436.52, 433.46, 433.46, 433.46
08/26/19, 431.85, 436.50, 436.50, 436.50
08/23/19, 443.07, 431.84, 431.84, 431.84
08/22/19, 440.33, 443.07, 443.07, 443.07
08/21/19, 438.31, 440.32, 440.32, 440.32
08/20/19, 444.47, 438.32, 438.32, 438.32
08/19/19, 440.17, 444.53, 444.53, 444.53
08/16/19, 432.17, 440.19, 440.19, 440.19
08/15/19, 430.82, 432.16, 432.16, 432.16
08/14/19, 446.58, 430.82, 430.82, 430.82
08/13/19, 441.43, 446.72, 446.72, 446.72
08/12/19, 449.28, 441.29, 441.29, 441.49
08/09/19, 451.28, 449.93, 449.93, 449.93
08/08/19, 443.58, 451.27, 451.27, 451.27
08/07/19, 449.29, 443.89, 443.89, 443.89
08/06/19, 442.70, 449.34, 449.34, 449.34
08/05/19, 457.51, 442.67, 442.67, 442.67
08/02/19, 458.30, 457.56, 457.56, 457.56
08/01/19, 469.45, 458.55, 458.55, 458.55
07/31/19, 471.47, 469.45, 469.45, 469.45
07/30/19, 472.21, 471.49, 471.49, 471.49
07/29/19, 476.11, 472.36, 472.36, 472.36
07/26/19, 471.38, 476.09, 476.09, 476.09
07/25/19, 474.26, 471.42, 471.42, 471.42
07/24/19, 469.92, 474.23, 474.23, 474.23
07/23/19, 464.84, 469.93, 469.93, 469.93
07/22/19, 463.66, 464.65, 464.65, 464.65
07/19/19, 465.94, 463.68, 463.68, 463.68
07/18/19, 462.07, 465.94, 465.94, 465.94
07/17/19, 466.26, 462.15, 462.15, 462.15
07/16/19, 467.49, 466.27, 466.27, 466.27
07/15/19, 469.97, 467.48, 467.48, 467.48
07/12/19, 467.10, 469.97, 469.97, 469.97
07/11/19, 464.44, 467.11, 467.11, 467.11
07/10/19, 466.47, 464.34, 464.34, 464.34
07/09/19, 464.80, 466.49, 466.49, 466.49
07/08/19, 467.81, 464.87, 464.87, 464.87
07/05/19, 466.05, 467.83, 467.83, 467.83
07/03/19, 463.29, 466.13, 462.75, 466.05
07/02/19, 464.03, 463.29, 463.29, 463.29
07/01/19, 458.93, 464.14, 464.14, 464.14
06/28/19, 452.55, 458.92, 458.92, 458.92
06/27/19, 448.53, 452.56, 452.56, 452.57
06/26/19, 449.19, 448.44, 448.44, 448.44
06/25/19, 450.77, 449.17, 449.17, 449.17
06/24/19, 452.29, 450.77, 450.77, 450.77
06/21/19, 453.50, 452.28, 452.28, 452.28
06/20/19, 451.24, 453.50, 453.50, 453.50
06/19/19, 452.21, 451.26, 451.26, 451.26
06/18/19, 446.31, 452.20, 452.20, 452.20
06/17/19, 450.55, 446.34, 446.34, 446.34
06/14/19, 449.38, 450.55, 450.55, 450.55
06/13/19, 448.24, 449.39, 449.39, 449.39
06/12/19, 452.65, 448.34, 448.34, 448.34
06/11/19, 452.62, 452.63, 452.63, 452.63
06/10/19, 448.65, 452.62, 452.62, 452.62
06/07/19, 449.42, 448.64, 448.64, 448.64
06/06/19, 447.64, 449.52, 449.52, 449.52
06/05/19, 445.29, 447.87, 447.87, 447.87
06/04/19, 433.63, 445.34, 445.34, 445.34
06/03/19, 430.64, 433.60, 433.60, 433.60
05/31/19, 436.99, 430.65, 430.65, 430.65
05/30/19, 439.03, 437.11, 437.11, 437.11
05/29/19, 439.49, 439.07, 439.07, 439.07
05/28/19, 444.39, 439.55, 439.55, 439.55
05/24/19, 444.42, 444.42, 444.42, 444.42
05/23/19, 447.62, 441.03, 441.03, 441.03
05/22/19, 449.93, 447.70, 447.70, 447.70
05/21/19, 446.10, 449.95, 449.95, 449.95
05/20/19, 445.51, 446.13, 446.13, 446.13
05/17/19, 448.12, 445.52, 445.52, 445.52
05/16/19, 443.37, 448.19, 448.19, 448.19
05/15/19, 445.45, 443.33, 443.33, 443.33
05/14/19, 441.90, 445.47, 445.47, 445.47
05/13/19, 454.91, 441.95, 441.95, 441.95
05/10/19, 452.65, 455.03, 455.03, 455.03
05/09/19, 452.95, 452.67, 452.67, 452.67
05/08/19, 454.59, 453.30, 453.30, 453.30
05/07/19, 462.41, 454.60, 454.60, 454.60
05/06/19, 465.43, 462.42, 462.42, 462.42
05/03/19, 461.54, 465.52, 465.52, 465.52
05/02/19, 461.01, 461.70, 461.70, 461.70
05/01/19, 464.94, 460.97, 460.97, 460.97
04/30/19, 464.22, 464.95, 464.95, 464.95
04/29/19, 460.01, 464.22, 464.22, 464.22
04/26/19, 455.62, 459.96, 459.96, 459.96
04/25/19, 454.48, 455.67, 455.67, 455.67
04/24/19, 455.12, 454.49, 454.49, 454.49
04/23/19, 452.49, 455.13, 455.13, 455.13
04/22/19, 453.65, 452.49, 452.49, 452.49
04/18/19, 454.73, 453.66, 453.66, 453.66
04/17/19, 453.95, 454.76, 454.76, 454.76
04/16/19, 447.80, 453.93, 453.93, 453.93
04/15/19, 450.57, 447.81, 447.81, 447.81
04/12/19, 442.12, 450.63, 450.63, 450.63
04/11/19, 439.87, 442.11, 442.11, 442.11
04/10/19, 438.17, 439.65, 439.65, 439.65
04/09/19, 441.99, 438.18, 438.18, 438.18
04/08/19, 441.36, 442.06, 442.06, 442.06
04/05/19, 441.03, 441.40, 441.40, 441.40
04/04/19, 438.47, 441.01, 441.01, 441.01
04/03/19, 437.51, 438.87, 438.87, 438.87
04/02/19, 437.53, 437.48, 437.48, 437.48
04/01/19, 427.20, 437.53, 437.53, 437.53
03/29/19, 425.83, 427.19, 427.19, 427.19
03/28/19, 422.42, 425.83, 425.83, 425.83
03/27/19, 424.19, 422.33, 422.33, 422.33
03/26/19, 419.43, 424.19, 424.19, 424.19
03/25/19, 421.10, 419.44, 419.44, 419.44
03/22/19, 433.02, 421.09, 421.09, 421.09
03/21/19, 434.31, 433.09, 433.09, 433.09
03/20/19, 443.65, 434.40, 434.40, 434.40
03/19/19, 447.07, 443.66, 443.66, 443.66
03/18/19, 442.54, 447.08, 447.08, 447.08
03/15/19, 439.71, 442.54, 442.54, 442.54
03/14/19, 437.83, 439.74, 439.74, 439.74
03/13/19, 434.80, 437.94, 437.94, 437.94
03/12/19, 434.00, 434.77, 434.77, 434.77
03/11/19, 429.76, 433.99, 433.99, 433.99
03/08/19, 429.67, 429.74, 429.74, 429.74
03/07/19, 434.27, 429.74, 429.74, 429.74
03/06/19, 437.47, 434.36, 434.36, 434.36
03/05/19, 438.85, 437.48, 437.48, 437.48
03/04/19, 441.61, 438.91, 438.91, 438.91
03/01/19, 439.25, 441.64, 441.64, 441.64
02/28/19, 440.27, 439.26, 439.26, 439.26
02/27/19, 438.83, 440.49, 440.49, 440.49
02/26/19, 439.97, 438.93, 438.93, 438.93
02/25/19, 438.14, 439.97, 439.97, 439.97
02/22/19, 439.15, 438.13, 438.13, 438.13
02/21/19, 441.13, 439.16, 439.16, 439.16
02/20/19, 438.52, 441.13, 441.13, 441.13
02/19/19, 437.65, 438.59, 438.59, 438.59
02/15/19, 429.11, 437.75, 437.75, 437.75
02/14/19, 434.11, 429.09, 429.09, 429.09
02/13/19, 433.20, 434.12, 434.12, 434.12
02/12/19, 426.57, 433.26, 433.26, 433.26
02/11/19, 425.54, 426.60, 426.60, 426.60
02/08/19, 427.85, 425.53, 425.53, 425.53
02/07/19, 431.91, 427.88, 427.88, 427.88
02/06/19, 433.10, 431.92, 431.92, 431.92
02/05/19, 433.73, 433.10, 433.10, 433.10
02/04/19, 432.04, 433.72, 433.72, 433.72
02/01/19, 429.52, 432.10, 432.10, 432.10
01/31/19, 430.76, 429.90, 429.90, 429.90
01/30/19, 429.09, 431.06, 431.06, 431.06
01/29/19, 430.44, 429.20, 429.20, 429.20
01/28/19, 431.61, 430.48, 430.48, 430.48
01/25/19, 427.94, 431.63, 431.63, 431.63
01/24/19, 427.08, 427.97, 427.97, 427.97
01/23/19, 426.95, 427.10, 427.10, 427.10
01/22/19, 431.62, 426.95, 426.95, 426.95
01/18/19, 424.40, 431.64, 431.64, 431.64
01/17/19, 422.00, 424.38, 424.38, 424.38
01/16/19, 412.97, 422.09, 422.09, 422.09
01/15/19, 409.68, 412.99, 412.99, 412.99
01/14/19, 406.71, 409.68, 409.68, 409.68
01/11/19, 406.04, 406.73, 406.73, 406.73
01/10/19, 405.29, 406.03, 406.03, 406.03
01/09/19, 403.46, 405.55, 405.55, 405.55
01/08/19, 403.48, 403.47, 403.47, 403.47
01/07/19, 402.54, 403.47, 403.47, 403.47
01/04/19, 389.78, 402.54, 402.54, 402.54
01/03/19, 398.38, 389.74, 389.74, 389.74
01/02/19, 395.85, 398.82, 398.82, 398.82
12/31/18, 392.05, 395.90, 395.90, 395.90
12/28/18, 391.89, 392.06, 392.06, 392.06
12/27/18, 387.61, 392.00, 392.00, 392.00
12/26/18, 370.52, 387.71, 387.71, 387.71
12/24/18, 379.39, 370.49, 370.49, 370.49
12/21/18, 386.97, 379.40, 379.40, 379.40
12/20/18, 389.96, 386.97, 386.97, 386.97
12/19/18, 394.90, 390.00, 390.00, 390.00
12/18/18, 396.80, 394.90, 394.90, 394.90
12/17/18, 400.70, 396.81, 396.81, 396.81
12/14/18, 404.82, 400.72, 400.72, 400.72
12/13/18, 407.18, 404.86, 404.86, 404.86
12/12/18, 405.50, 407.26, 407.26, 407.26
12/11/18, 409.58, 405.46, 405.46, 405.46
12/10/18, 415.41, 409.63, 409.63, 409.63
12/07/18, 423.17, 415.43, 415.43, 415.43
12/06/18, 429.14, 423.23, 423.23, 423.23
12/04/18, 449.18, 429.42, 429.42, 429.42
12/03/18, 447.09, 449.20, 449.20, 449.20
11/30/18, 444.12, 447.08, 447.08, 447.08
11/29/18, 447.72, 444.15, 444.15, 444.15
11/28/18, 439.83, 447.82, 447.82, 447.82
11/27/18, 439.48, 439.83, 439.83, 439.83
11/26/18, 430.50, 439.53, 439.53, 439.53
11/23/18, 434.38, 430.50, 430.50, 430.50
11/21/18, 434.21, 434.47, 434.47, 434.47
11/20/18, 443.39, 434.19, 434.19, 434.19
11/19/18, 443.62, 443.46, 443.46, 443.46
11/16/18, 443.14, 443.61, 443.61, 443.61
11/15/18, 436.85, 443.17, 443.17, 443.17
11/14/18, 443.01, 436.87, 436.87, 436.87
11/13/18, 440.36, 442.96, 442.96, 442.96
11/12/18, 449.32, 440.36, 440.36, 440.36
11/09/18, 453.67, 449.32, 449.32, 449.32
11/08/18, 451.88, 453.69, 453.69, 453.69
11/07/18, 446.27, 452.25, 452.25, 452.25
11/06/18, 444.05, 446.26, 446.26, 446.26
11/05/18, 437.86, 444.04, 444.04, 444.04
11/02/18, 437.67, 437.89, 437.89, 437.89
11/01/18, 435.87, 437.83, 437.83, 437.83
10/31/18, 429.71, 435.85, 435.85, 435.85
10/30/18, 422.87, 429.71, 429.71, 429.71
10/29/18, 419.41, 422.94, 422.94, 422.94
10/26/18, 424.95, 419.35, 419.35, 419.35
10/25/18, 418.34, 425.10, 425.10, 425.10
10/24/18, 429.81, 418.25, 418.25, 418.25
10/23/18, 433.31, 429.82, 429.82, 429.82
10/22/18, 442.55, 433.41, 433.41, 433.41
10/19/18, 440.98, 442.52, 442.52, 442.52
10/18/18, 448.06, 440.99, 440.99, 440.99
