date,finance,overlap,stock,report,company,oracle,share,annual report,financial statement,cloud computing,investment
2018-04-09,73.0,,44.0,54.0,82.0,75.0,70.0,70.0,53.0,35.0,81.0
2018-04-10,71.0,,50.0,52.0,82.0,79.0,68.0,77.0,64.0,19.0,82.0
2018-04-11,69.0,,46.0,55.0,85.0,82.0,73.0,84.0,52.0,22.0,79.0
2018-04-12,72.0,,45.0,51.0,79.0,77.0,70.0,77.0,59.0,27.0,78.0
2018-04-13,64.0,,45.0,51.0,76.0,73.0,70.0,65.0,44.0,20.0,72.0
2018-04-14,37.0,,23.0,44.0,62.0,27.0,28.0,26.0,34.0,19.0,54.0
2018-04-15,34.0,,19.0,42.0,60.0,24.0,26.0,32.0,62.0,24.0,55.0
2018-04-16,70.0,,43.0,56.0,82.0,80.0,67.0,74.0,43.0,31.0,80.0
2018-04-17,69.0,,48.0,53.0,84.0,85.0,68.0,91.0,56.0,33.0,84.0
2018-04-18,73.0,,48.0,56.0,81.0,86.0,71.0,72.0,52.0,32.0,87.0
2018-04-19,67.0,,46.0,51.0,82.0,87.0,73.0,79.0,81.0,31.0,86.0
2018-04-20,61.0,,45.0,47.0,76.0,69.0,71.0,59.0,43.0,28.0,69.0
2018-04-21,39.0,,22.0,36.0,58.0,26.0,29.0,42.0,23.0,25.0,54.0
2018-04-22,37.0,,19.0,38.0,58.0,26.0,26.0,43.0,48.0,27.0,61.0
2018-04-23,69.0,,41.0,50.0,84.0,76.0,70.0,83.0,67.0,24.0,85.0
2018-04-24,70.0,,48.0,51.0,86.0,78.0,73.0,78.0,50.0,32.0,87.0
2018-04-25,70.0,,47.0,49.0,84.0,75.0,71.0,87.0,74.0,22.0,86.0
2018-04-26,70.0,,49.0,49.0,79.0,76.0,71.0,76.0,52.0,29.0,76.0
2018-04-27,68.0,,49.0,50.0,76.0,76.0,73.0,75.0,56.0,21.0,76.0
2018-04-28,36.0,,21.0,41.0,61.0,26.0,30.0,33.0,49.0,13.0,51.0
2018-04-29,34.0,,19.0,38.0,58.0,25.0,26.0,37.0,35.0,31.0,57.0
2018-04-30,69.0,,44.0,49.0,84.0,58.0,75.0,75.0,53.0,22.0,85.0
2018-05-01,69.0,,45.0,50.0,76.0,53.0,53.0,65.0,45.0,20.0,74.0
2018-05-02,70.0,,47.0,52.0,80.0,71.0,72.0,72.0,52.0,27.0,81.0
2018-05-03,71.0,1.0,47.0,52.0,82.0,73.0,71.0,77.0,63.0,29.0,83.0
2018-05-04,68.0,1.0,44.0,47.0,74.0,63.0,69.0,69.0,54.0,26.0,70.0
2018-05-05,40.0,1.0,22.0,36.0,59.0,29.0,31.0,30.0,36.0,27.0,49.0
2018-05-06,31.0,1.0,18.0,36.0,56.0,25.0,26.0,29.0,30.0,21.0,51.0
2018-05-07,63.0,1.0,43.0,51.0,80.0,71.0,64.0,71.0,65.0,29.0,77.0
2018-05-08,68.0,1.0,46.0,52.0,81.0,78.0,75.0,70.0,53.0,34.0,84.0
2018-05-09,72.0,1.0,46.0,49.0,84.0,82.0,74.0,72.0,62.0,26.0,79.0
2018-05-10,65.0,1.0,49.0,48.0,82.0,78.0,74.0,61.0,66.0,26.0,77.0
2018-05-11,67.0,1.0,47.0,46.0,76.0,70.0,74.0,60.0,47.0,26.0,70.0
2018-05-12,38.0,1.0,21.0,36.0,58.0,26.0,31.0,29.0,40.0,20.0,52.0
2018-05-13,35.0,1.0,18.0,35.0,56.0,25.0,28.0,35.0,24.0,19.0,56.0
2018-05-14,74.0,1.0,42.0,48.0,81.0,77.0,75.0,79.0,56.0,23.0,83.0
2018-05-15,69.0,1.0,43.0,49.0,79.0,77.0,74.0,71.0,51.0,27.0,81.0
2018-05-16,69.0,1.0,43.0,47.0,81.0,82.0,72.0,69.0,56.0,35.0,79.0
2018-05-17,67.0,1.0,45.0,48.0,79.0,81.0,74.0,63.0,58.0,29.0,80.0
2018-05-18,64.0,1.0,43.0,46.0,79.0,74.0,72.0,55.0,42.0,19.0,73.0
2018-05-19,38.0,1.0,19.0,34.0,58.0,27.0,30.0,31.0,29.0,14.0,48.0
2018-05-20,37.0,1.0,18.0,35.0,57.0,27.0,27.0,30.0,39.0,20.0,55.0
2018-05-21,68.0,1.0,39.0,47.0,79.0,70.0,74.0,60.0,58.0,23.0,77.0
2018-05-22,71.0,1.0,44.0,46.0,82.0,81.0,73.0,61.0,61.0,22.0,83.0
2018-05-23,69.0,1.0,43.0,49.0,82.0,85.0,73.0,70.0,48.0,30.0,83.0
2018-05-24,70.0,1.0,45.0,46.0,81.0,79.0,73.0,68.0,46.0,33.0,74.0
2018-05-25,66.0,1.0,40.0,44.0,74.0,71.0,73.0,57.0,42.0,18.0,69.0
2018-05-26,37.0,1.0,18.0,34.0,57.0,27.0,30.0,26.0,32.0,18.0,46.0
2018-05-27,32.0,1.0,16.0,36.0,58.0,26.0,26.0,33.0,35.0,29.0,57.0
2018-05-28,49.0,1.0,24.0,40.0,67.0,62.0,63.0,52.0,34.0,27.0,67.0
2018-05-29,68.0,1.0,40.0,47.0,81.0,78.0,75.0,59.0,61.0,27.0,77.0
2018-05-30,68.0,1.0,44.0,47.0,85.0,86.0,75.0,67.0,59.0,25.0,82.0
2018-05-31,68.0,1.0,43.0,47.0,83.0,80.0,76.0,73.0,46.0,21.0,75.0
2018-06-01,64.0,1.0,43.0,48.0,78.0,73.0,74.0,56.0,42.0,27.0,71.0
2018-06-02,42.0,1.0,21.0,37.0,62.0,26.0,32.0,24.0,25.0,14.0,48.0
2018-06-03,36.0,1.0,19.0,35.0,61.0,28.0,28.0,29.0,28.0,24.0,58.0
2018-06-04,66.0,1.0,41.0,46.0,82.0,76.0,69.0,63.0,61.0,27.0,74.0
2018-06-05,66.0,1.0,43.0,49.0,84.0,77.0,68.0,60.0,39.0,34.0,79.0
2018-06-06,67.0,1.0,47.0,49.0,84.0,80.0,72.0,67.0,50.0,20.0,76.0
2018-06-07,68.0,1.0,46.0,48.0,84.0,79.0,72.0,66.0,59.0,21.0,78.0
2018-06-08,64.0,1.0,43.0,47.0,76.0,73.0,70.0,60.0,39.0,22.0,65.0
2018-06-09,41.0,1.0,21.0,36.0,62.0,28.0,30.0,24.0,27.0,12.0,50.0
2018-06-10,35.0,1.0,17.0,36.0,59.0,23.0,25.0,24.0,34.0,22.0,55.0
2018-06-11,66.0,1.0,41.0,48.0,83.0,72.0,68.0,63.0,48.0,21.0,77.0
2018-06-12,66.0,1.0,45.0,46.0,83.0,78.0,73.0,71.0,40.0,27.0,78.0
2018-06-13,69.0,1.0,46.0,48.0,85.0,75.0,76.0,59.0,33.0,23.0,76.0
2018-06-14,67.0,1.0,44.0,50.0,78.0,73.0,72.0,55.0,55.0,20.0,72.0
2018-06-15,59.0,1.0,43.0,45.0,72.0,63.0,65.0,42.0,35.0,20.0,62.0
2018-06-16,34.0,1.0,20.0,36.0,57.0,20.0,30.0,22.0,30.0,14.0,48.0
2018-06-17,30.0,1.0,17.0,34.0,53.0,21.0,25.0,22.0,23.0,19.0,45.0
2018-06-18,63.0,1.0,41.0,46.0,77.0,66.0,65.0,61.0,34.0,20.0,75.0
2018-06-19,67.0,1.0,46.0,48.0,82.0,76.0,66.0,61.0,56.0,28.0,73.0
2018-06-20,66.0,1.0,49.0,47.0,83.0,78.0,71.0,61.0,50.0,16.0,74.0
2018-06-21,63.0,1.0,47.0,46.0,80.0,72.0,64.0,58.0,48.0,17.0,70.0
2018-06-22,60.0,1.0,44.0,45.0,77.0,64.0,65.0,45.0,35.0,19.0,66.0
2018-06-23,35.0,1.0,20.0,36.0,58.0,27.0,29.0,24.0,36.0,17.0,39.0
2018-06-24,33.0,1.0,17.0,35.0,60.0,22.0,26.0,25.0,34.0,21.0,51.0
2018-06-25,66.0,1.0,42.0,46.0,80.0,74.0,64.0,59.0,54.0,19.0,75.0
2018-06-26,66.0,1.0,45.0,47.0,79.0,79.0,64.0,57.0,48.0,25.0,70.0
2018-06-27,62.0,1.0,42.0,48.0,77.0,73.0,65.0,74.0,61.0,23.0,78.0
2018-06-28,66.0,1.0,44.0,48.0,79.0,76.0,66.0,65.0,47.0,24.0,68.0
2018-06-29,64.0,1.0,43.0,48.0,79.0,68.0,69.0,55.0,38.0,20.0,63.0
2018-06-30,41.0,1.0,20.0,35.0,62.0,26.0,29.0,22.0,21.0,21.0,49.0
2018-07-01,33.0,1.0,16.0,35.0,61.0,24.0,26.0,25.0,31.0,25.0,50.0
2018-07-02,62.0,1.0,34.0,46.0,77.0,65.0,63.0,55.0,45.0,33.0,64.0
2018-07-03,64.0,1.0,39.0,47.0,77.0,71.0,64.0,63.0,51.0,23.0,76.0
2018-07-04,57.0,1.0,25.0,42.0,69.0,72.0,65.0,57.0,34.0,29.0,63.0
2018-07-05,66.0,1.0,38.0,47.0,77.0,72.0,68.0,68.0,37.0,27.0,71.0
2018-07-06,63.0,1.0,39.0,43.0,74.0,61.0,65.0,49.0,30.0,22.0,62.0
2018-07-07,38.0,1.0,19.0,35.0,61.0,26.0,29.0,26.0,15.0,10.0,41.0
2018-07-08,34.0,1.0,18.0,35.0,60.0,23.0,27.0,20.0,44.0,20.0,48.0
2018-07-09,72.0,1.0,41.0,48.0,82.0,69.0,71.0,64.0,37.0,29.0,75.0
2018-07-10,64.0,1.0,42.0,47.0,81.0,74.0,70.0,61.0,38.0,25.0,71.0
2018-07-11,65.0,1.0,41.0,49.0,83.0,71.0,69.0,71.0,44.0,22.0,75.0
2018-07-12,65.0,1.0,43.0,51.0,84.0,81.0,71.0,60.0,41.0,24.0,77.0
2018-07-13,64.0,1.0,43.0,46.0,80.0,67.0,72.0,56.0,53.0,19.0,68.0
2018-07-14,36.0,1.0,20.0,36.0,66.0,21.0,30.0,31.0,27.0,13.0,48.0
2018-07-15,31.0,1.0,17.0,33.0,60.0,26.0,26.0,24.0,24.0,20.0,52.0
2018-07-16,66.0,1.0,42.0,49.0,85.0,67.0,68.0,62.0,55.0,16.0,75.0
2018-07-17,67.0,1.0,46.0,51.0,87.0,76.0,70.0,69.0,56.0,24.0,79.0
2018-07-18,66.0,1.0,44.0,48.0,87.0,79.0,71.0,66.0,55.0,35.0,81.0
2018-07-19,66.0,1.0,44.0,47.0,88.0,80.0,69.0,65.0,41.0,23.0,78.0
2018-07-20,63.0,1.0,42.0,46.0,81.0,70.0,69.0,60.0,38.0,23.0,66.0
2018-07-21,40.0,1.0,20.0,37.0,67.0,26.0,31.0,26.0,26.0,17.0,50.0
2018-07-22,34.0,1.0,18.0,36.0,64.0,25.0,29.0,30.0,36.0,23.0,55.0
2018-07-23,69.0,1.0,41.0,48.0,85.0,73.0,69.0,68.0,63.0,31.0,83.0
2018-07-24,71.0,1.0,45.0,48.0,87.0,79.0,73.0,63.0,48.0,26.0,82.0
2018-07-25,69.0,1.0,50.0,49.0,85.0,77.0,71.0,73.0,50.0,23.0,80.0
2018-07-26,75.0,1.0,74.0,49.0,84.0,78.0,78.0,69.0,36.0,26.0,74.0
2018-07-27,68.0,1.0,64.0,46.0,77.0,63.0,77.0,52.0,48.0,27.0,66.0
2018-07-28,40.0,1.0,27.0,36.0,63.0,26.0,33.0,32.0,30.0,18.0,46.0
2018-07-29,35.0,1.0,22.0,35.0,61.0,23.0,29.0,26.0,48.0,20.0,56.0
2018-07-30,72.0,1.0,48.0,48.0,82.0,73.0,76.0,64.0,44.0,25.0,74.0
2018-07-31,71.0,1.0,53.0,49.0,85.0,77.0,80.0,74.0,58.0,19.0,81.0
2018-08-01,69.0,1.0,55.0,48.0,87.0,75.0,77.0,68.0,51.0,25.0,79.0
2018-08-02,71.0,1.0,53.0,45.0,88.0,73.0,84.0,64.0,51.0,27.0,81.0
2018-08-03,66.0,1.0,51.0,46.0,87.0,69.0,78.0,50.0,41.0,31.0,78.0
2018-08-04,40.0,1.0,23.0,36.0,69.0,26.0,32.0,28.0,29.0,24.0,54.0
2018-08-05,37.0,1.0,21.0,36.0,68.0,27.0,31.0,32.0,27.0,28.0,64.0
2018-08-06,67.0,1.0,44.0,46.0,87.0,68.0,84.0,63.0,42.0,29.0,84.0
2018-08-07,71.0,1.0,52.0,50.0,89.0,79.0,80.0,75.0,50.0,33.0,82.0
2018-08-08,66.0,1.0,51.0,48.0,86.0,76.0,78.0,63.0,57.0,20.0,79.0
2018-08-09,64.0,1.0,49.0,46.0,83.0,77.0,80.0,50.0,66.0,25.0,76.0
2018-08-10,64.0,1.0,44.0,46.0,78.0,68.0,76.0,58.0,51.0,22.0,64.0
2018-08-11,40.0,1.0,23.0,37.0,66.0,30.0,34.0,25.0,25.0,20.0,52.0
2018-08-12,34.0,,19.0,38.0,65.0,22.0,30.0,34.0,40.0,23.0,55.0
2018-08-13,67.0,,43.0,47.0,85.0,69.0,75.0,58.0,65.0,26.0,76.0
2018-08-14,70.0,,45.0,47.0,87.0,73.0,76.0,60.0,45.0,28.0,78.0
2018-08-15,62.0,,48.0,49.0,82.0,59.0,48.0,59.0,46.0,29.0,84.0
2018-08-16,68.0,,50.0,49.0,84.0,70.0,73.0,63.0,44.0,24.0,85.0
2018-08-17,66.0,,46.0,45.0,81.0,64.0,79.0,57.0,26.0,27.0,72.0
2018-08-18,41.0,,23.0,38.0,63.0,26.0,33.0,26.0,25.0,14.0,48.0
2018-08-19,34.0,,19.0,39.0,60.0,23.0,30.0,29.0,34.0,21.0,57.0
2018-08-20,67.0,,45.0,51.0,84.0,66.0,74.0,59.0,39.0,25.0,71.0
2018-08-21,69.0,,50.0,49.0,80.0,71.0,72.0,68.0,58.0,28.0,80.0
2018-08-22,72.0,,48.0,50.0,82.0,69.0,54.0,50.0,47.0,25.0,82.0
2018-08-23,70.0,,47.0,48.0,80.0,74.0,75.0,64.0,60.0,31.0,84.0
2018-08-24,65.0,,48.0,45.0,79.0,70.0,77.0,57.0,54.0,27.0,65.0
2018-08-25,40.0,,23.0,35.0,64.0,26.0,31.0,21.0,17.0,19.0,50.0
2018-08-26,34.0,,20.0,37.0,60.0,19.0,29.0,30.0,18.0,17.0,58.0
2018-08-27,64.0,,50.0,48.0,79.0,69.0,69.0,64.0,47.0,26.0,75.0
2018-08-28,73.0,,51.0,46.0,85.0,74.0,76.0,76.0,80.0,29.0,83.0
2018-08-29,74.0,,51.0,47.0,87.0,79.0,77.0,77.0,65.0,25.0,77.0
2018-08-30,73.0,,50.0,46.0,84.0,77.0,75.0,57.0,65.0,24.0,75.0
2018-08-31,64.0,,47.0,45.0,78.0,60.0,71.0,51.0,51.0,18.0,68.0
2018-09-01,39.0,,23.0,35.0,64.0,22.0,32.0,18.0,23.0,25.0,49.0
2018-09-02,38.0,,19.0,36.0,62.0,24.0,29.0,32.0,27.0,27.0,55.0
2018-09-03,56.0,,23.0,41.0,73.0,60.0,74.0,55.0,59.0,27.0,75.0
2018-09-04,76.0,,61.0,47.0,84.0,78.0,76.0,60.0,80.0,24.0,86.0
2018-09-05,73.0,,76.0,48.0,86.0,78.0,78.0,56.0,63.0,38.0,80.0
2018-09-06,71.0,,66.0,50.0,87.0,78.0,75.0,65.0,65.0,28.0,80.0
2018-09-07,68.0,,60.0,48.0,86.0,73.0,76.0,50.0,72.0,32.0,75.0
2018-09-08,38.0,,29.0,35.0,66.0,28.0,33.0,27.0,32.0,21.0,50.0
2018-09-09,36.0,,23.0,35.0,63.0,29.0,28.0,28.0,58.0,27.0,57.0
2018-09-10,71.0,,49.0,51.0,85.0,72.0,74.0,52.0,72.0,34.0,84.0
2018-09-11,72.0,,51.0,51.0,88.0,75.0,72.0,68.0,70.0,37.0,80.0
2018-09-12,71.0,,54.0,52.0,87.0,82.0,74.0,72.0,69.0,27.0,81.0
2018-09-13,70.0,,53.0,48.0,83.0,69.0,54.0,57.0,54.0,33.0,82.0
2018-09-14,71.0,,51.0,46.0,82.0,69.0,68.0,58.0,55.0,14.0,73.0
2018-09-15,42.0,,26.0,37.0,66.0,30.0,31.0,28.0,44.0,25.0,55.0
2018-09-16,37.0,,20.0,38.0,63.0,29.0,30.0,32.0,42.0,33.0,54.0
2018-09-17,72.0,,48.0,50.0,86.0,70.0,72.0,69.0,74.0,31.0,81.0
2018-09-18,76.0,,54.0,48.0,87.0,82.0,73.0,67.0,60.0,38.0,77.0
2018-09-19,69.0,,56.0,48.0,89.0,86.0,72.0,72.0,60.0,24.0,85.0
2018-09-20,71.0,,57.0,49.0,91.0,86.0,57.0,66.0,65.0,32.0,85.0
2018-09-21,71.0,,53.0,48.0,83.0,68.0,76.0,54.0,59.0,28.0,77.0
2018-09-22,42.0,,25.0,40.0,66.0,29.0,35.0,27.0,29.0,27.0,48.0
2018-09-23,36.0,,21.0,37.0,64.0,26.0,30.0,27.0,55.0,16.0,61.0
2018-09-24,73.0,,48.0,51.0,86.0,66.0,75.0,61.0,62.0,31.0,83.0
2018-09-25,73.0,,52.0,47.0,85.0,75.0,78.0,65.0,62.0,37.0,91.0
2018-09-26,77.0,,51.0,52.0,87.0,78.0,77.0,69.0,74.0,37.0,81.0
2018-09-27,71.0,,49.0,51.0,85.0,76.0,78.0,59.0,69.0,40.0,82.0
2018-09-28,70.0,,53.0,50.0,80.0,71.0,79.0,62.0,62.0,33.0,72.0
2018-09-29,41.0,,25.0,35.0,66.0,29.0,34.0,33.0,37.0,20.0,53.0
2018-09-30,36.0,,21.0,38.0,63.0,25.0,32.0,36.0,46.0,16.0,59.0
2018-10-01,74.0,,52.0,48.0,83.0,67.0,75.0,66.0,49.0,26.0,76.0
2018-10-02,67.0,,71.0,54.0,85.0,69.0,52.0,55.0,65.0,37.0,84.0
2018-10-03,74.0,,54.0,53.0,89.0,77.0,83.0,63.0,60.0,33.0,84.0
2018-10-04,71.0,,52.0,55.0,87.0,75.0,79.0,74.0,59.0,34.0,84.0
2018-10-05,69.0,,51.0,50.0,100.0,65.0,80.0,44.0,50.0,30.0,69.0
2018-10-06,42.0,,23.0,39.0,66.0,29.0,33.0,30.0,34.0,19.0,52.0
2018-10-07,33.0,,19.0,37.0,63.0,23.0,28.0,35.0,43.0,19.0,53.0
2018-10-08,70.0,,45.0,52.0,82.0,68.0,77.0,70.0,67.0,24.0,84.0
2018-10-09,74.0,,51.0,53.0,85.0,82.0,100.0,63.0,58.0,25.0,87.0
2018-10-10,88.0,,63.0,54.0,87.0,78.0,81.0,66.0,67.0,38.0,81.0
2018-10-11,81.0,,72.0,54.0,88.0,82.0,88.0,61.0,84.0,33.0,89.0
2018-10-12,73.0,,63.0,52.0,83.0,70.0,80.0,63.0,40.0,19.0,72.0
2018-10-13,41.0,,26.0,38.0,67.0,29.0,34.0,35.0,34.0,31.0,56.0
2018-10-14,39.0,,22.0,40.0,63.0,25.0,30.0,27.0,45.0,21.0,60.0
2018-10-15,72.0,,51.0,51.0,89.0,74.0,80.0,72.0,54.0,36.0,80.0
2018-10-16,69.0,,57.0,51.0,94.0,83.0,79.0,72.0,75.0,40.0,95.0
2018-10-17,70.0,,57.0,50.0,88.0,74.0,77.0,63.0,57.0,24.0,81.0
2018-10-18,65.0,,52.0,47.0,81.0,72.0,52.0,61.0,53.0,26.0,82.0
2018-10-19,64.0,1.0,51.0,44.0,74.0,62.0,69.0,55.0,47.0,21.0,71.0
2018-10-20,40.0,1.0,22.0,33.0,62.0,24.0,32.0,23.0,52.0,21.0,49.0
2018-10-21,36.0,1.0,20.0,37.0,62.0,27.0,29.0,36.0,43.0,21.0,55.0
2018-10-22,69.0,1.0,48.0,51.0,85.0,72.0,71.0,67.0,70.0,34.0,89.0
2018-10-23,73.0,1.0,55.0,51.0,82.0,82.0,72.0,60.0,63.0,32.0,90.0
2018-10-24,78.0,1.0,59.0,50.0,84.0,77.0,73.0,74.0,71.0,27.0,87.0
2018-10-25,75.0,1.0,66.0,52.0,84.0,80.0,81.0,58.0,57.0,29.0,83.0
2018-10-26,71.0,1.0,59.0,47.0,80.0,67.0,77.0,61.0,50.0,27.0,77.0
2018-10-27,39.0,1.0,24.0,35.0,63.0,29.0,35.0,26.0,48.0,24.0,49.0
2018-10-28,32.0,1.0,20.0,36.0,60.0,26.0,29.0,33.0,53.0,24.0,58.0
2018-10-29,71.0,1.0,53.0,49.0,86.0,72.0,90.0,73.0,66.0,35.0,79.0
2018-10-30,71.0,1.0,59.0,51.0,86.0,74.0,82.0,64.0,62.0,38.0,88.0
2018-10-31,71.0,1.0,57.0,51.0,83.0,75.0,83.0,67.0,45.0,29.0,75.0
2018-11-01,72.0,1.0,59.0,50.0,82.0,68.0,81.0,59.0,60.0,22.0,84.0
2018-11-02,69.0,1.0,55.0,48.0,80.0,62.0,84.0,60.0,67.0,29.0,78.0
2018-11-03,40.0,1.0,24.0,36.0,66.0,25.0,34.0,26.0,40.0,20.0,49.0
2018-11-04,35.0,1.0,21.0,37.0,60.0,23.0,30.0,33.0,41.0,19.0,58.0
2018-11-05,69.0,1.0,50.0,49.0,83.0,64.0,78.0,59.0,55.0,30.0,80.0
2018-11-06,63.0,1.0,51.0,49.0,83.0,68.0,66.0,64.0,51.0,23.0,76.0
2018-11-07,63.0,1.0,54.0,51.0,77.0,64.0,56.0,58.0,42.0,21.0,74.0
2018-11-08,63.0,1.0,55.0,47.0,79.0,70.0,54.0,50.0,62.0,32.0,84.0
2018-11-09,63.0,1.0,51.0,47.0,78.0,67.0,68.0,59.0,53.0,26.0,72.0
2018-11-10,38.0,1.0,24.0,35.0,63.0,24.0,32.0,27.0,20.0,18.0,54.0
2018-11-11,33.0,1.0,20.0,36.0,62.0,24.0,28.0,26.0,32.0,25.0,54.0
2018-11-12,66.0,1.0,47.0,48.0,81.0,67.0,70.0,67.0,54.0,32.0,73.0
2018-11-13,67.0,1.0,52.0,50.0,87.0,76.0,76.0,63.0,66.0,32.0,87.0
2018-11-14,69.0,1.0,51.0,51.0,88.0,76.0,75.0,68.0,71.0,34.0,87.0
2018-11-15,69.0,1.0,53.0,52.0,86.0,75.0,79.0,65.0,65.0,33.0,82.0
2018-11-16,64.0,1.0,48.0,49.0,81.0,73.0,73.0,57.0,60.0,32.0,76.0
2018-11-17,39.0,1.0,24.0,37.0,65.0,28.0,32.0,30.0,36.0,29.0,52.0
2018-11-18,36.0,1.0,20.0,37.0,65.0,28.0,29.0,27.0,36.0,23.0,58.0
2018-11-19,69.0,1.0,48.0,49.0,86.0,72.0,75.0,61.0,58.0,34.0,81.0
2018-11-20,66.0,1.0,54.0,48.0,82.0,71.0,74.0,51.0,57.0,35.0,77.0
2018-11-21,63.0,1.0,51.0,47.0,81.0,73.0,72.0,58.0,50.0,28.0,75.0
2018-11-22,47.0,1.0,31.0,41.0,69.0,67.0,68.0,52.0,52.0,38.0,59.0
2018-11-23,50.0,1.0,36.0,44.0,72.0,55.0,50.0,40.0,22.0,19.0,59.0
2018-11-24,36.0,1.0,21.0,38.0,65.0,24.0,29.0,28.0,41.0,32.0,45.0
2018-11-25,33.0,1.0,19.0,37.0,63.0,24.0,27.0,28.0,34.0,30.0,53.0
2018-11-26,65.0,1.0,45.0,51.0,86.0,67.0,70.0,62.0,60.0,33.0,81.0
2018-11-27,65.0,1.0,48.0,51.0,87.0,76.0,74.0,75.0,69.0,42.0,86.0
2018-11-28,69.0,1.0,49.0,53.0,89.0,75.0,75.0,75.0,69.0,32.0,80.0
2018-11-29,69.0,1.0,51.0,52.0,90.0,76.0,77.0,63.0,61.0,41.0,91.0
2018-11-30,65.0,1.0,47.0,48.0,83.0,67.0,71.0,63.0,55.0,27.0,70.0
2018-12-01,41.0,1.0,24.0,39.0,68.0,29.0,33.0,31.0,38.0,30.0,55.0
2018-12-02,35.0,1.0,21.0,37.0,65.0,24.0,29.0,31.0,51.0,33.0,56.0
2018-12-03,71.0,1.0,50.0,49.0,88.0,68.0,76.0,60.0,60.0,31.0,82.0
2018-12-04,70.0,1.0,56.0,49.0,89.0,75.0,73.0,64.0,79.0,38.0,88.0
2018-12-05,68.0,1.0,47.0,52.0,90.0,73.0,74.0,75.0,72.0,38.0,83.0
2018-12-06,69.0,1.0,55.0,51.0,87.0,76.0,73.0,58.0,71.0,36.0,82.0
2018-12-07,65.0,1.0,53.0,49.0,81.0,59.0,71.0,53.0,51.0,27.0,66.0
2018-12-08,37.0,1.0,24.0,35.0,65.0,25.0,31.0,22.0,35.0,19.0,47.0
2018-12-09,34.0,1.0,20.0,38.0,65.0,26.0,29.0,33.0,36.0,32.0,55.0
2018-12-10,67.0,1.0,48.0,49.0,84.0,67.0,71.0,68.0,75.0,30.0,77.0
2018-12-11,69.0,1.0,48.0,55.0,83.0,70.0,70.0,65.0,58.0,28.0,78.0
2018-12-12,66.0,1.0,50.0,50.0,86.0,74.0,75.0,61.0,53.0,36.0,77.0
2018-12-13,64.0,1.0,48.0,50.0,85.0,76.0,72.0,61.0,58.0,35.0,80.0
2018-12-14,64.0,1.0,49.0,47.0,79.0,61.0,76.0,59.0,45.0,33.0,66.0
2018-12-15,39.0,1.0,24.0,36.0,67.0,25.0,31.0,23.0,27.0,16.0,50.0
2018-12-16,31.0,1.0,19.0,38.0,61.0,26.0,28.0,20.0,41.0,19.0,53.0
2018-12-17,65.0,1.0,47.0,51.0,80.0,67.0,74.0,57.0,47.0,25.0,72.0
2018-12-18,65.0,1.0,52.0,54.0,81.0,70.0,78.0,63.0,46.0,33.0,74.0
2018-12-19,68.0,1.0,53.0,49.0,85.0,73.0,75.0,60.0,45.0,27.0,75.0
2018-12-20,67.0,1.0,55.0,46.0,78.0,69.0,74.0,61.0,50.0,31.0,71.0
2018-12-21,64.0,1.0,58.0,45.0,76.0,56.0,71.0,43.0,46.0,33.0,61.0
2018-12-22,36.0,1.0,29.0,34.0,62.0,24.0,30.0,18.0,24.0,17.0,48.0
2018-12-23,30.0,1.0,22.0,32.0,55.0,22.0,27.0,20.0,33.0,16.0,43.0
2018-12-24,50.0,1.0,49.0,34.0,62.0,36.0,65.0,31.0,23.0,17.0,49.0
2018-12-25,31.0,1.0,30.0,31.0,57.0,32.0,37.0,18.0,24.0,16.0,46.0
2018-12-26,59.0,1.0,55.0,41.0,70.0,53.0,58.0,37.0,22.0,25.0,56.0
2018-12-27,63.0,1.0,59.0,44.0,75.0,57.0,66.0,37.0,28.0,26.0,58.0
2018-12-28,66.0,1.0,53.0,44.0,77.0,46.0,68.0,38.0,29.0,31.0,62.0
2018-12-29,38.0,1.0,27.0,38.0,63.0,21.0,31.0,24.0,18.0,19.0,55.0
2018-12-30,31.0,1.0,21.0,37.0,59.0,22.0,28.0,21.0,20.0,20.0,48.0
2018-12-31,56.0,1.0,45.0,40.0,65.0,34.0,64.0,29.0,22.0,25.0,56.0
2019-01-01,37.0,1.0,26.0,36.0,60.0,25.0,53.0,25.0,27.0,19.0,45.0
2019-01-02,69.0,1.0,50.0,46.0,79.0,56.0,70.0,49.0,45.0,20.0,74.0
2019-01-03,74.0,1.0,58.0,46.0,85.0,60.0,72.0,54.0,46.0,26.0,77.0
2019-01-04,71.0,1.0,58.0,50.0,79.0,56.0,68.0,53.0,41.0,31.0,71.0
2019-01-05,41.0,1.0,27.0,38.0,64.0,24.0,32.0,20.0,27.0,25.0,54.0
2019-01-06,36.0,1.0,21.0,38.0,61.0,23.0,32.0,29.0,20.0,18.0,53.0
2019-01-07,73.0,1.0,50.0,49.0,80.0,62.0,69.0,53.0,44.0,34.0,76.0
2019-01-08,72.0,1.0,52.0,51.0,84.0,67.0,69.0,67.0,42.0,29.0,78.0
2019-01-09,74.0,1.0,54.0,51.0,83.0,69.0,74.0,72.0,45.0,29.0,80.0
2019-01-10,73.0,1.0,52.0,51.0,85.0,72.0,73.0,66.0,43.0,34.0,82.0
2019-01-11,69.0,1.0,53.0,51.0,82.0,68.0,72.0,61.0,57.0,24.0,79.0
2019-01-12,38.0,1.0,26.0,39.0,66.0,25.0,32.0,23.0,29.0,16.0,52.0
