date,financials,overlap,oracle,workday inc.,tesla,BSE stock exchange,nasdaq,iShares,share price,microsoft dynamics 365,vanguard
2018-04-04,44.0,,86.0,0.0,9.0,25.0,52.0,32.0,66.0,52.0,53.0
2018-04-05,64.0,,80.0,0.0,9.0,13.0,48.0,51.0,67.0,20.0,69.0
2018-04-06,44.0,,76.0,0.0,9.0,14.0,44.0,35.0,66.0,7.0,63.0
2018-04-07,27.0,,32.0,0.0,8.0,0.0,14.0,24.0,19.0,0.0,48.0
2018-04-08,20.0,,28.0,0.0,8.0,29.0,10.0,17.0,13.0,7.0,50.0
2018-04-09,71.0,,80.0,0.0,8.0,13.0,42.0,39.0,62.0,26.0,70.0
2018-04-10,38.0,,88.0,0.0,7.0,12.0,41.0,58.0,65.0,32.0,63.0
2018-04-11,57.0,,88.0,0.0,8.0,0.0,43.0,30.0,65.0,40.0,59.0
2018-04-12,42.0,,85.0,0.0,9.0,26.0,35.0,46.0,67.0,20.0,64.0
2018-04-13,53.0,,79.0,0.0,9.0,0.0,38.0,38.0,64.0,13.0,62.0
2018-04-14,28.0,,28.0,0.0,8.0,30.0,8.0,14.0,17.0,0.0,55.0
2018-04-15,21.0,,23.0,0.0,8.0,0.0,8.0,31.0,12.0,15.0,46.0
2018-04-16,35.0,,83.0,0.0,7.0,25.0,29.0,32.0,60.0,26.0,63.0
2018-04-17,92.0,,87.0,0.0,10.0,0.0,32.0,39.0,64.0,19.0,74.0
2018-04-18,64.0,,89.0,0.0,10.0,39.0,42.0,49.0,67.0,7.0,69.0
2018-04-19,55.0,,86.0,0.0,9.0,13.0,37.0,37.0,70.0,34.0,69.0
2018-04-20,41.0,,80.0,0.0,9.0,26.0,35.0,25.0,70.0,21.0,58.0
2018-04-21,46.0,,29.0,0.0,8.0,0.0,10.0,29.0,19.0,0.0,41.0
2018-04-22,21.0,,26.0,0.0,8.0,15.0,8.0,10.0,15.0,8.0,43.0
2018-04-23,74.0,,77.0,0.0,8.0,13.0,35.0,26.0,69.0,13.0,53.0
2018-04-24,62.0,,82.0,0.0,8.0,0.0,43.0,26.0,68.0,13.0,53.0
2018-04-25,78.0,,87.0,0.0,7.0,38.0,38.0,35.0,66.0,26.0,58.0
2018-04-26,78.0,,88.0,0.0,7.0,0.0,42.0,39.0,69.0,7.0,52.0
2018-04-27,57.0,,74.0,0.0,8.0,27.0,36.0,51.0,70.0,35.0,56.0
2018-04-28,14.0,,30.0,0.0,8.0,15.0,10.0,10.0,20.0,8.0,53.0
2018-04-29,24.0,,23.0,0.0,8.0,14.0,8.0,17.0,14.0,22.0,38.0
2018-04-30,46.0,,62.0,0.0,7.0,0.0,33.0,27.0,67.0,13.0,58.0
2018-05-01,79.0,,55.0,0.0,8.0,26.0,34.0,50.0,44.0,21.0,56.0
2018-05-02,65.0,,78.0,0.0,10.0,0.0,41.0,45.0,68.0,19.0,61.0
2018-05-03,46.0,1.0,76.0,0.0,13.0,8.0,35.0,55.0,69.0,16.0,50.0
2018-05-04,30.0,1.0,70.0,0.0,10.0,7.0,33.0,28.0,65.0,13.0,58.0
2018-05-05,22.0,1.0,29.0,0.0,8.0,0.0,12.0,23.0,19.0,8.0,47.0
2018-05-06,38.0,1.0,25.0,0.0,8.0,0.0,9.0,10.0,14.0,0.0,51.0
2018-05-07,40.0,1.0,78.0,0.0,9.0,14.0,30.0,35.0,57.0,22.0,57.0
2018-05-08,50.0,1.0,83.0,0.0,9.0,0.0,37.0,50.0,69.0,13.0,53.0
2018-05-09,61.0,1.0,85.0,0.0,9.0,22.0,36.0,52.0,68.0,22.0,56.0
2018-05-10,66.0,1.0,81.0,0.0,10.0,8.0,32.0,29.0,70.0,6.0,56.0
2018-05-11,58.0,1.0,76.0,0.0,10.0,6.0,36.0,33.0,72.0,6.0,52.0
2018-05-12,16.0,1.0,26.0,0.0,9.0,8.0,11.0,27.0,20.0,12.0,47.0
2018-05-13,19.0,1.0,27.0,0.0,9.0,0.0,8.0,16.0,14.0,7.0,40.0
2018-05-14,58.0,1.0,82.0,0.0,9.0,0.0,33.0,34.0,70.0,13.0,59.0
2018-05-15,51.0,1.0,82.0,0.0,9.0,14.0,31.0,56.0,67.0,41.0,63.0
2018-05-16,43.0,1.0,84.0,0.0,9.0,14.0,29.0,44.0,67.0,16.0,57.0
2018-05-17,35.0,1.0,86.0,0.0,9.0,8.0,36.0,37.0,70.0,32.0,55.0
2018-05-18,39.0,1.0,78.0,0.0,9.0,16.0,31.0,25.0,68.0,20.0,56.0
2018-05-19,21.0,1.0,30.0,0.0,8.0,15.0,8.0,12.0,18.0,0.0,49.0
2018-05-20,22.0,1.0,29.0,0.0,9.0,8.0,8.0,7.0,14.0,4.0,45.0
2018-05-21,48.0,1.0,79.0,0.0,9.0,0.0,30.0,37.0,70.0,23.0,65.0
2018-05-22,76.0,1.0,89.0,0.0,9.0,14.0,31.0,33.0,68.0,28.0,62.0
2018-05-23,50.0,1.0,92.0,0.0,9.0,0.0,29.0,35.0,68.0,23.0,54.0
2018-05-24,43.0,1.0,91.0,0.0,9.0,0.0,37.0,36.0,69.0,6.0,56.0
2018-05-25,44.0,1.0,75.0,0.0,9.0,23.0,27.0,45.0,68.0,21.0,52.0
2018-05-26,11.0,1.0,28.0,0.0,8.0,7.0,9.0,14.0,19.0,18.0,42.0
2018-05-27,22.0,1.0,29.0,0.0,8.0,0.0,8.0,30.0,13.0,8.0,42.0
2018-05-28,46.0,1.0,65.0,0.0,8.0,6.0,16.0,30.0,57.0,23.0,40.0
2018-05-29,51.0,1.0,88.0,0.0,7.0,28.0,25.0,30.0,66.0,13.0,58.0
2018-05-30,56.0,1.0,88.0,39.0,9.0,35.0,33.0,47.0,68.0,38.0,54.0
2018-05-31,41.0,1.0,81.0,0.0,8.0,23.0,36.0,42.0,73.0,40.0,59.0
2018-06-01,54.0,1.0,80.0,0.0,8.0,23.0,33.0,53.0,71.0,13.0,57.0
2018-06-02,31.0,1.0,27.0,0.0,8.0,9.0,11.0,18.0,21.0,4.0,48.0
2018-06-03,21.0,1.0,31.0,0.0,8.0,0.0,7.0,19.0,14.0,11.0,47.0
2018-06-04,53.0,1.0,84.0,0.0,8.0,6.0,34.0,51.0,64.0,51.0,60.0
2018-06-05,52.0,1.0,83.0,0.0,8.0,34.0,38.0,66.0,63.0,19.0,65.0
2018-06-06,51.0,1.0,83.0,0.0,10.0,0.0,39.0,35.0,67.0,16.0,66.0
2018-06-07,48.0,1.0,84.0,0.0,9.0,6.0,40.0,48.0,68.0,19.0,63.0
2018-06-08,36.0,1.0,75.0,0.0,9.0,0.0,32.0,36.0,66.0,30.0,55.0
2018-06-09,20.0,1.0,29.0,0.0,8.0,8.0,9.0,34.0,17.0,0.0,45.0
2018-06-10,26.0,1.0,25.0,0.0,8.0,16.0,7.0,14.0,13.0,4.0,46.0
2018-06-11,55.0,1.0,76.0,0.0,8.0,12.0,32.0,20.0,63.0,22.0,58.0
2018-06-12,50.0,1.0,86.0,36.0,10.0,7.0,37.0,43.0,71.0,23.0,63.0
2018-06-13,42.0,1.0,78.0,0.0,10.0,0.0,34.0,42.0,72.0,21.0,54.0
2018-06-14,81.0,1.0,80.0,0.0,9.0,12.0,31.0,21.0,66.0,28.0,55.0
2018-06-15,52.0,1.0,67.0,0.0,8.0,15.0,32.0,27.0,62.0,20.0,60.0
2018-06-16,26.0,1.0,22.0,0.0,8.0,25.0,9.0,14.0,17.0,0.0,50.0
2018-06-17,22.0,1.0,21.0,0.0,8.0,0.0,8.0,26.0,12.0,7.0,38.0
2018-06-18,46.0,1.0,75.0,0.0,8.0,0.0,30.0,33.0,62.0,19.0,58.0
2018-06-19,66.0,1.0,81.0,0.0,10.0,15.0,37.0,44.0,62.0,28.0,58.0
2018-06-20,71.0,1.0,85.0,39.0,8.0,0.0,38.0,33.0,66.0,3.0,59.0
2018-06-21,42.0,1.0,79.0,0.0,8.0,14.0,38.0,28.0,61.0,16.0,53.0
2018-06-22,41.0,1.0,73.0,0.0,8.0,36.0,29.0,34.0,60.0,13.0,51.0
2018-06-23,11.0,1.0,26.0,0.0,7.0,8.0,7.0,16.0,17.0,0.0,44.0
2018-06-24,13.0,1.0,24.0,0.0,7.0,7.0,8.0,10.0,12.0,3.0,46.0
2018-06-25,64.0,1.0,75.0,0.0,8.0,13.0,36.0,29.0,59.0,19.0,55.0
2018-06-26,58.0,1.0,80.0,0.0,8.0,0.0,36.0,44.0,59.0,16.0,56.0
2018-06-27,72.0,1.0,79.0,0.0,9.0,0.0,39.0,39.0,58.0,34.0,53.0
2018-06-28,60.0,1.0,82.0,0.0,9.0,14.0,36.0,43.0,61.0,22.0,57.0
2018-06-29,52.0,1.0,69.0,0.0,9.0,38.0,31.0,39.0,65.0,37.0,62.0
2018-06-30,37.0,1.0,28.0,89.0,9.0,0.0,9.0,24.0,17.0,3.0,45.0
2018-07-01,22.0,1.0,25.0,0.0,8.0,17.0,6.0,14.0,13.0,22.0,51.0
2018-07-02,27.0,1.0,68.0,0.0,10.0,6.0,33.0,35.0,57.0,25.0,61.0
2018-07-03,62.0,1.0,76.0,0.0,9.0,6.0,32.0,30.0,60.0,39.0,55.0
2018-07-04,30.0,1.0,74.0,0.0,8.0,7.0,15.0,33.0,61.0,36.0,42.0
2018-07-05,48.0,1.0,75.0,0.0,8.0,6.0,32.0,46.0,65.0,20.0,52.0
2018-07-06,35.0,1.0,66.0,0.0,8.0,0.0,27.0,34.0,63.0,19.0,53.0
2018-07-07,10.0,1.0,26.0,0.0,8.0,16.0,10.0,10.0,17.0,14.0,49.0
2018-07-08,23.0,1.0,25.0,0.0,8.0,32.0,6.0,26.0,13.0,4.0,50.0
2018-07-09,42.0,1.0,77.0,38.0,9.0,8.0,36.0,34.0,66.0,16.0,63.0
2018-07-10,63.0,1.0,79.0,0.0,9.0,40.0,32.0,38.0,66.0,9.0,64.0
2018-07-11,52.0,1.0,77.0,0.0,9.0,6.0,36.0,55.0,66.0,15.0,61.0
2018-07-12,52.0,1.0,81.0,0.0,8.0,14.0,31.0,41.0,64.0,13.0,57.0
2018-07-13,34.0,1.0,73.0,0.0,9.0,0.0,33.0,26.0,65.0,24.0,63.0
2018-07-14,10.0,1.0,21.0,0.0,8.0,9.0,9.0,9.0,18.0,11.0,61.0
2018-07-15,22.0,1.0,25.0,0.0,8.0,41.0,6.0,28.0,12.0,0.0,46.0
2018-07-16,62.0,1.0,73.0,0.0,9.0,14.0,32.0,60.0,63.0,22.0,57.0
2018-07-17,61.0,1.0,81.0,0.0,9.0,8.0,32.0,46.0,65.0,36.0,67.0
2018-07-18,66.0,1.0,86.0,0.0,9.0,14.0,32.0,49.0,67.0,27.0,62.0
2018-07-19,63.0,1.0,81.0,0.0,8.0,22.0,34.0,44.0,65.0,30.0,62.0
2018-07-20,49.0,1.0,73.0,0.0,8.0,0.0,31.0,31.0,64.0,14.0,56.0
2018-07-21,15.0,1.0,27.0,0.0,9.0,17.0,13.0,31.0,18.0,8.0,46.0
2018-07-22,36.0,1.0,26.0,0.0,8.0,8.0,6.0,33.0,14.0,0.0,49.0
2018-07-23,58.0,1.0,83.0,0.0,10.0,27.0,33.0,48.0,63.0,23.0,66.0
2018-07-24,76.0,1.0,87.0,0.0,9.0,0.0,36.0,66.0,68.0,36.0,72.0
2018-07-25,58.0,1.0,82.0,0.0,9.0,41.0,38.0,37.0,67.0,30.0,67.0
2018-07-26,77.0,1.0,84.0,0.0,9.0,0.0,54.0,28.0,75.0,36.0,74.0
2018-07-27,57.0,1.0,69.0,0.0,8.0,16.0,46.0,46.0,76.0,20.0,70.0
2018-07-28,22.0,1.0,29.0,0.0,7.0,0.0,16.0,17.0,21.0,4.0,59.0
2018-07-29,18.0,1.0,25.0,0.0,8.0,25.0,9.0,22.0,16.0,8.0,57.0
2018-07-30,54.0,1.0,77.0,40.0,9.0,27.0,40.0,37.0,71.0,35.0,60.0
2018-07-31,77.0,1.0,83.0,0.0,9.0,14.0,41.0,39.0,76.0,13.0,65.0
2018-08-01,54.0,1.0,79.0,0.0,12.0,21.0,42.0,37.0,73.0,13.0,74.0
2018-08-02,44.0,1.0,84.0,38.0,14.0,20.0,44.0,67.0,81.0,28.0,66.0
2018-08-03,31.0,1.0,76.0,0.0,10.0,15.0,36.0,52.0,73.0,14.0,69.0
2018-08-04,23.0,1.0,28.0,0.0,9.0,16.0,11.0,16.0,21.0,19.0,61.0
2018-08-05,19.0,1.0,28.0,0.0,8.0,0.0,9.0,21.0,16.0,7.0,51.0
2018-08-06,61.0,1.0,69.0,0.0,8.0,20.0,34.0,39.0,79.0,19.0,64.0
2018-08-07,67.0,1.0,82.0,0.0,15.0,32.0,36.0,43.0,74.0,16.0,72.0
2018-08-08,66.0,1.0,77.0,0.0,16.0,41.0,41.0,30.0,75.0,19.0,76.0
2018-08-09,53.0,1.0,84.0,0.0,12.0,14.0,37.0,34.0,74.0,25.0,66.0
2018-08-10,55.0,1.0,70.0,0.0,10.0,0.0,34.0,46.0,73.0,20.0,61.0
2018-08-11,38.0,1.0,29.0,0.0,9.0,9.0,10.0,23.0,21.0,11.0,53.0
2018-08-12,34.0,,24.0,0.0,9.0,0.0,10.0,32.0,14.0,28.0,56.0
2018-08-13,35.0,,69.0,0.0,10.0,15.0,27.0,53.0,69.0,12.0,55.0
2018-08-14,57.0,,79.0,0.0,11.0,0.0,33.0,55.0,70.0,19.0,69.0
2018-08-15,36.0,,61.0,0.0,10.0,31.0,34.0,38.0,38.0,51.0,64.0
2018-08-16,47.0,,77.0,0.0,9.0,16.0,34.0,66.0,68.0,45.0,56.0
2018-08-17,39.0,,68.0,0.0,14.0,0.0,27.0,28.0,75.0,13.0,72.0
2018-08-18,9.0,,26.0,0.0,11.0,0.0,11.0,22.0,20.0,15.0,46.0
2018-08-19,22.0,,25.0,0.0,9.0,0.0,9.0,21.0,14.0,8.0,54.0
2018-08-20,36.0,,77.0,0.0,11.0,0.0,35.0,32.0,69.0,25.0,70.0
2018-08-21,61.0,,79.0,0.0,11.0,0.0,35.0,32.0,68.0,45.0,100.0
2018-08-22,37.0,,73.0,0.0,10.0,0.0,34.0,51.0,41.0,6.0,76.0
2018-08-23,50.0,,78.0,0.0,9.0,0.0,39.0,44.0,72.0,19.0,63.0
2018-08-24,70.0,,77.0,0.0,11.0,16.0,31.0,39.0,70.0,0.0,68.0
2018-08-25,28.0,,28.0,0.0,10.0,0.0,9.0,32.0,20.0,7.0,52.0
2018-08-26,28.0,,25.0,0.0,9.0,17.0,6.0,21.0,14.0,7.0,49.0
2018-08-27,44.0,,77.0,0.0,10.0,0.0,38.0,37.0,61.0,12.0,66.0
2018-08-28,46.0,,81.0,0.0,9.0,15.0,38.0,46.0,68.0,37.0,66.0
2018-08-29,40.0,,85.0,0.0,9.0,44.0,40.0,31.0,70.0,0.0,70.0
2018-08-30,52.0,,81.0,0.0,9.0,30.0,34.0,50.0,69.0,12.0,65.0
2018-08-31,40.0,,73.0,0.0,9.0,31.0,32.0,64.0,68.0,13.0,68.0
2018-09-01,9.0,,26.0,0.0,8.0,0.0,11.0,17.0,20.0,14.0,50.0
2018-09-02,19.0,,25.0,0.0,8.0,0.0,6.0,28.0,15.0,0.0,40.0
2018-09-03,55.0,,61.0,0.0,8.0,15.0,19.0,56.0,67.0,12.0,48.0
2018-09-04,46.0,,80.0,0.0,9.0,0.0,35.0,43.0,70.0,12.0,58.0
2018-09-05,40.0,,88.0,0.0,9.0,29.0,41.0,39.0,70.0,43.0,67.0
2018-09-06,46.0,,83.0,0.0,9.0,0.0,37.0,39.0,68.0,19.0,70.0
2018-09-07,47.0,,77.0,0.0,18.0,0.0,34.0,28.0,72.0,19.0,63.0
2018-09-08,12.0,,32.0,0.0,15.0,0.0,11.0,20.0,21.0,0.0,46.0
2018-09-09,28.0,,30.0,0.0,12.0,0.0,7.0,17.0,15.0,14.0,59.0
2018-09-10,61.0,,81.0,0.0,12.0,14.0,37.0,45.0,62.0,43.0,63.0
2018-09-11,55.0,,84.0,0.0,13.0,14.0,36.0,54.0,64.0,18.0,72.0
2018-09-12,64.0,,87.0,0.0,11.0,14.0,35.0,33.0,65.0,19.0,72.0
2018-09-13,33.0,,78.0,0.0,11.0,0.0,38.0,55.0,41.0,43.0,69.0
2018-09-14,56.0,,76.0,0.0,10.0,0.0,34.0,38.0,65.0,32.0,77.0
2018-09-15,19.0,,31.0,0.0,9.0,17.0,9.0,32.0,19.0,14.0,62.0
2018-09-16,22.0,,33.0,0.0,9.0,0.0,8.0,17.0,14.0,7.0,47.0
2018-09-17,60.0,,79.0,0.0,10.0,0.0,32.0,35.0,63.0,18.0,62.0
2018-09-18,47.0,,87.0,0.0,10.0,0.0,34.0,69.0,65.0,24.0,62.0
2018-09-19,56.0,,87.0,0.0,11.0,29.0,34.0,27.0,66.0,30.0,67.0
2018-09-20,57.0,,87.0,0.0,10.0,30.0,34.0,31.0,45.0,19.0,65.0
2018-09-21,62.0,,79.0,0.0,9.0,0.0,36.0,38.0,71.0,32.0,80.0
2018-09-22,28.0,,29.0,0.0,9.0,17.0,11.0,17.0,21.0,0.0,64.0
2018-09-23,12.0,,30.0,86.0,8.0,17.0,9.0,17.0,14.0,7.0,68.0
2018-09-24,46.0,,74.0,0.0,9.0,0.0,37.0,43.0,69.0,19.0,67.0
2018-09-25,69.0,,85.0,0.0,9.0,29.0,32.0,54.0,71.0,24.0,67.0
2018-09-26,58.0,,89.0,0.0,9.0,14.0,33.0,57.0,68.0,36.0,67.0
2018-09-27,58.0,,81.0,0.0,11.0,0.0,30.0,49.0,67.0,55.0,66.0
2018-09-28,45.0,,77.0,0.0,18.0,31.0,36.0,38.0,73.0,19.0,67.0
2018-09-29,34.0,,30.0,0.0,12.0,17.0,11.0,14.0,22.0,14.0,54.0
2018-09-30,24.0,,30.0,0.0,15.0,0.0,8.0,20.0,15.0,14.0,48.0
2018-10-01,45.0,,72.0,0.0,16.0,14.0,32.0,39.0,70.0,12.0,67.0
2018-10-02,45.0,,76.0,0.0,14.0,0.0,32.0,42.0,40.0,24.0,62.0
2018-10-03,67.0,,82.0,0.0,11.0,15.0,35.0,58.0,75.0,25.0,69.0
2018-10-04,83.0,,84.0,0.0,11.0,29.0,38.0,52.0,75.0,12.0,68.0
2018-10-05,54.0,,68.0,0.0,12.0,47.0,41.0,51.0,72.0,13.0,66.0
2018-10-06,19.0,,30.0,0.0,9.0,34.0,14.0,32.0,21.0,0.0,52.0
2018-10-07,12.0,,27.0,0.0,9.0,0.0,8.0,27.0,15.0,14.0,47.0
2018-10-08,51.0,,64.0,0.0,12.0,0.0,36.0,51.0,67.0,19.0,65.0
2018-10-09,64.0,,88.0,0.0,11.0,14.0,35.0,58.0,100.0,36.0,72.0
2018-10-10,70.0,,83.0,0.0,10.0,0.0,58.0,43.0,72.0,6.0,75.0
2018-10-11,69.0,,81.0,0.0,12.0,30.0,78.0,43.0,83.0,32.0,76.0
2018-10-12,43.0,,77.0,0.0,10.0,32.0,65.0,46.0,80.0,46.0,71.0
2018-10-13,19.0,,32.0,0.0,9.0,0.0,13.0,14.0,20.0,8.0,46.0
2018-10-14,19.0,,31.0,0.0,9.0,51.0,9.0,21.0,15.0,7.0,48.0
2018-10-15,52.0,,83.0,0.0,10.0,0.0,44.0,40.0,70.0,19.0,64.0
2018-10-16,68.0,,89.0,0.0,9.0,30.0,49.0,46.0,72.0,25.0,68.0
2018-10-17,71.0,,85.0,0.0,10.0,0.0,46.0,34.0,72.0,12.0,64.0
2018-10-18,47.0,,80.0,0.0,10.0,15.0,48.0,47.0,42.0,25.0,67.0
2018-10-19,61.0,1.0,70.0,0.0,12.0,39.0,49.0,34.0,60.0,32.0,58.0
2018-10-20,28.0,1.0,28.0,0.0,10.0,8.0,14.0,13.0,17.0,16.0,55.0
2018-10-21,33.0,1.0,30.0,0.0,9.0,0.0,9.0,17.0,14.0,0.0,42.0
2018-10-22,49.0,1.0,81.0,45.0,10.0,0.0,38.0,38.0,63.0,11.0,56.0
2018-10-23,44.0,1.0,88.0,0.0,11.0,22.0,54.0,29.0,64.0,16.0,66.0
2018-10-24,64.0,1.0,88.0,0.0,14.0,7.0,60.0,37.0,64.0,26.0,61.0
2018-10-25,79.0,1.0,84.0,0.0,16.0,0.0,77.0,43.0,74.0,25.0,64.0
2018-10-26,63.0,1.0,75.0,0.0,13.0,16.0,65.0,69.0,71.0,34.0,59.0
2018-10-27,21.0,1.0,32.0,0.0,10.0,8.0,16.0,21.0,23.0,13.0,45.0
2018-10-28,30.0,1.0,27.0,0.0,9.0,0.0,12.0,29.0,14.0,20.0,34.0
2018-10-29,60.0,1.0,77.0,0.0,11.0,7.0,53.0,21.0,86.0,10.0,58.0
2018-10-30,55.0,1.0,82.0,0.0,10.0,29.0,52.0,48.0,75.0,25.0,61.0
2018-10-31,58.0,1.0,82.0,0.0,9.0,0.0,53.0,49.0,77.0,40.0,59.0
2018-11-01,59.0,1.0,75.0,0.0,10.0,47.0,46.0,62.0,75.0,34.0,68.0
2018-11-02,47.0,1.0,67.0,0.0,11.0,24.0,51.0,50.0,80.0,38.0,63.0
2018-11-03,33.0,1.0,27.0,0.0,9.0,26.0,14.0,19.0,22.0,11.0,51.0
2018-11-04,24.0,1.0,28.0,0.0,9.0,0.0,7.0,26.0,15.0,23.0,52.0
2018-11-05,46.0,1.0,68.0,37.0,10.0,7.0,43.0,53.0,70.0,61.0,62.0
2018-11-06,64.0,1.0,77.0,0.0,10.0,7.0,39.0,55.0,58.0,7.0,64.0
2018-11-07,54.0,1.0,71.0,0.0,9.0,28.0,47.0,52.0,47.0,31.0,60.0
2018-11-08,33.0,1.0,77.0,0.0,10.0,7.0,47.0,65.0,44.0,24.0,64.0
2018-11-09,27.0,1.0,69.0,0.0,10.0,8.0,42.0,35.0,61.0,47.0,62.0
2018-11-10,26.0,1.0,28.0,0.0,9.0,34.0,12.0,10.0,19.0,25.0,47.0
2018-11-11,26.0,1.0,28.0,0.0,8.0,33.0,9.0,26.0,14.0,16.0,46.0
2018-11-12,54.0,1.0,73.0,0.0,9.0,44.0,40.0,52.0,65.0,3.0,57.0
2018-11-13,61.0,1.0,83.0,0.0,9.0,8.0,46.0,57.0,69.0,21.0,68.0
2018-11-14,70.0,1.0,82.0,0.0,9.0,22.0,46.0,39.0,67.0,50.0,58.0
2018-11-15,61.0,1.0,82.0,0.0,9.0,30.0,47.0,52.0,71.0,17.0,57.0
2018-11-16,49.0,1.0,76.0,0.0,10.0,8.0,43.0,55.0,67.0,14.0,58.0
2018-11-17,14.0,1.0,33.0,0.0,9.0,8.0,14.0,4.0,19.0,5.0,41.0
2018-11-18,28.0,1.0,29.0,0.0,9.0,0.0,9.0,30.0,13.0,18.0,49.0
2018-11-19,40.0,1.0,76.0,0.0,9.0,7.0,42.0,44.0,65.0,40.0,59.0
2018-11-20,59.0,1.0,79.0,0.0,9.0,7.0,63.0,54.0,64.0,24.0,65.0
2018-11-21,49.0,1.0,81.0,0.0,9.0,38.0,46.0,38.0,65.0,31.0,58.0
2018-11-22,51.0,1.0,74.0,0.0,8.0,8.0,28.0,20.0,63.0,53.0,43.0
2018-11-23,34.0,1.0,61.0,0.0,8.0,8.0,28.0,36.0,40.0,18.0,51.0
2018-11-24,14.0,1.0,26.0,0.0,8.0,8.0,13.0,11.0,16.0,3.0,42.0
2018-11-25,29.0,1.0,27.0,0.0,8.0,0.0,10.0,18.0,12.0,7.0,42.0
2018-11-26,63.0,1.0,71.0,0.0,9.0,21.0,37.0,29.0,60.0,11.0,52.0
2018-11-27,45.0,1.0,84.0,0.0,10.0,7.0,43.0,40.0,63.0,34.0,63.0
2018-11-28,40.0,1.0,82.0,0.0,9.0,15.0,46.0,34.0,63.0,20.0,58.0
2018-11-29,70.0,1.0,83.0,0.0,9.0,0.0,42.0,59.0,68.0,44.0,64.0
2018-11-30,45.0,1.0,72.0,0.0,9.0,15.0,42.0,36.0,66.0,21.0,65.0
2018-12-01,14.0,1.0,31.0,45.0,9.0,17.0,11.0,23.0,19.0,0.0,49.0
2018-12-02,12.0,1.0,26.0,0.0,8.0,8.0,9.0,21.0,14.0,4.0,41.0
2018-12-03,35.0,1.0,76.0,0.0,10.0,14.0,43.0,39.0,66.0,23.0,60.0
2018-12-04,60.0,1.0,83.0,0.0,10.0,8.0,52.0,62.0,64.0,51.0,68.0
2018-12-05,55.0,1.0,84.0,0.0,10.0,8.0,40.0,35.0,64.0,27.0,58.0
2018-12-06,49.0,1.0,80.0,0.0,10.0,22.0,52.0,57.0,65.0,13.0,61.0
2018-12-07,59.0,1.0,65.0,0.0,10.0,8.0,42.0,32.0,62.0,37.0,57.0
2018-12-08,20.0,1.0,25.0,0.0,9.0,0.0,14.0,24.0,15.0,0.0,48.0
2018-12-09,20.0,1.0,26.0,0.0,9.0,0.0,10.0,12.0,13.0,13.0,49.0
2018-12-10,57.0,1.0,73.0,0.0,11.0,22.0,44.0,41.0,62.0,26.0,57.0
2018-12-11,54.0,1.0,75.0,38.0,10.0,8.0,39.0,41.0,59.0,24.0,55.0
2018-12-12,37.0,1.0,81.0,0.0,10.0,30.0,42.0,51.0,63.0,33.0,60.0
2018-12-13,65.0,1.0,79.0,0.0,9.0,0.0,38.0,58.0,63.0,16.0,52.0
2018-12-14,38.0,1.0,68.0,0.0,10.0,8.0,33.0,32.0,68.0,58.0,56.0
2018-12-15,19.0,1.0,26.0,0.0,9.0,17.0,12.0,12.0,18.0,5.0,46.0
2018-12-16,17.0,1.0,26.0,0.0,10.0,17.0,8.0,17.0,13.0,8.0,46.0
2018-12-17,51.0,1.0,72.0,0.0,10.0,28.0,42.0,33.0,67.0,16.0,59.0
2018-12-18,54.0,1.0,76.0,38.0,11.0,14.0,46.0,50.0,71.0,11.0,60.0
2018-12-19,56.0,1.0,78.0,0.0,10.0,23.0,46.0,31.0,66.0,41.0,69.0
2018-12-20,40.0,1.0,75.0,0.0,10.0,16.0,57.0,39.0,66.0,36.0,64.0
2018-12-21,41.0,1.0,59.0,0.0,10.0,0.0,60.0,50.0,64.0,7.0,62.0
2018-12-22,10.0,1.0,25.0,0.0,11.0,0.0,21.0,32.0,17.0,0.0,45.0
2018-12-23,12.0,1.0,24.0,0.0,10.0,9.0,12.0,11.0,13.0,9.0,41.0
2018-12-24,20.0,1.0,40.0,0.0,10.0,27.0,53.0,38.0,56.0,17.0,63.0
2018-12-25,11.0,1.0,33.0,0.0,10.0,19.0,31.0,30.0,20.0,15.0,52.0
2018-12-26,28.0,1.0,54.0,0.0,10.0,34.0,59.0,41.0,47.0,8.0,67.0
2018-12-27,30.0,1.0,55.0,0.0,11.0,0.0,64.0,56.0,59.0,12.0,65.0
2018-12-28,37.0,1.0,51.0,0.0,11.0,8.0,47.0,43.0,59.0,11.0,73.0
2018-12-29,28.0,1.0,23.0,0.0,11.0,17.0,16.0,31.0,17.0,4.0,58.0
2018-12-30,20.0,1.0,24.0,0.0,10.0,9.0,8.0,18.0,13.0,9.0,51.0
2018-12-31,30.0,1.0,35.0,0.0,10.0,0.0,31.0,35.0,55.0,4.0,60.0
2019-01-01,34.0,1.0,28.0,0.0,9.0,0.0,16.0,24.0,41.0,9.0,64.0
2019-01-02,23.0,1.0,58.0,0.0,12.0,0.0,48.0,48.0,62.0,7.0,72.0
2019-01-03,44.0,1.0,69.0,0.0,11.0,15.0,58.0,46.0,64.0,15.0,71.0
2019-01-04,45.0,1.0,63.0,0.0,11.0,8.0,56.0,41.0,61.0,39.0,71.0
2019-01-05,25.0,1.0,25.0,0.0,10.0,17.0,16.0,30.0,19.0,8.0,57.0
2019-01-06,14.0,1.0,25.0,0.0,11.0,8.0,10.0,33.0,14.0,16.0,50.0
2019-01-07,41.0,1.0,67.0,0.0,11.0,0.0,46.0,60.0,60.0,31.0,65.0
