date,healthcare,overlap,share price,private limited company,limited company,health,share,hospitals,company,Hospital,pharmaceutical company
2017-03-19,14.0,1.0,8.0,18.0,26.0,41.0,13.0,45.0,41.0,42.0,0.0
2017-03-20,56.0,1.0,47.0,20.0,50.0,54.0,53.0,51.0,58.0,59.0,7.0
2017-03-21,47.0,1.0,58.0,20.0,66.0,51.0,60.0,47.0,66.0,53.0,20.0
2017-03-22,43.0,1.0,52.0,22.0,57.0,53.0,53.0,71.0,68.0,57.0,17.0
2017-03-23,37.0,,54.0,36.0,69.0,54.0,53.0,73.0,65.0,53.0,27.0
2017-03-24,33.0,,51.0,22.0,45.0,50.0,49.0,61.0,59.0,55.0,18.0
2017-03-25,39.0,,12.0,37.0,38.0,51.0,17.0,52.0,46.0,52.0,9.0
2017-03-26,27.0,,8.0,16.0,26.0,39.0,13.0,65.0,43.0,44.0,0.0
2017-03-27,40.0,,50.0,32.0,62.0,51.0,51.0,49.0,56.0,55.0,18.0
2017-03-28,40.0,,47.0,40.0,56.0,51.0,49.0,64.0,56.0,48.0,9.0
2017-03-29,42.0,,49.0,11.0,33.0,45.0,51.0,58.0,59.0,49.0,9.0
2017-03-30,46.0,,57.0,46.0,66.0,48.0,55.0,41.0,63.0,47.0,18.0
2017-03-31,36.0,,49.0,35.0,60.0,39.0,49.0,47.0,59.0,49.0,26.0
2017-04-01,25.0,,14.0,18.0,31.0,39.0,20.0,52.0,51.0,46.0,0.0
2017-04-02,18.0,,10.0,12.0,32.0,39.0,14.0,43.0,42.0,45.0,10.0
2017-04-03,43.0,,54.0,15.0,52.0,48.0,56.0,46.0,55.0,59.0,9.0
2017-04-04,60.0,,26.0,33.0,52.0,44.0,29.0,67.0,61.0,49.0,0.0
2017-04-05,48.0,,57.0,29.0,57.0,53.0,53.0,69.0,58.0,53.0,27.0
2017-04-06,32.0,,53.0,22.0,35.0,58.0,56.0,51.0,60.0,51.0,18.0
2017-04-07,44.0,,57.0,29.0,48.0,63.0,55.0,74.0,55.0,58.0,0.0
2017-04-08,15.0,,13.0,30.0,48.0,41.0,17.0,51.0,43.0,50.0,29.0
2017-04-09,12.0,,11.0,8.0,28.0,36.0,15.0,42.0,39.0,46.0,0.0
2017-04-10,43.0,,58.0,18.0,31.0,46.0,57.0,79.0,53.0,57.0,9.0
2017-04-11,34.0,,59.0,22.0,55.0,49.0,61.0,50.0,60.0,51.0,19.0
2017-04-12,45.0,,56.0,15.0,49.0,44.0,55.0,75.0,62.0,57.0,19.0
2017-04-13,42.0,,53.0,28.0,43.0,42.0,51.0,50.0,51.0,48.0,0.0
2017-04-14,28.0,,19.0,15.0,31.0,38.0,23.0,45.0,52.0,52.0,9.0
2017-04-15,26.0,,11.0,34.0,25.0,37.0,15.0,55.0,47.0,55.0,0.0
2017-04-16,22.0,,9.0,12.0,20.0,38.0,13.0,57.0,44.0,42.0,10.0
2017-04-17,43.0,,53.0,7.0,42.0,42.0,55.0,77.0,57.0,57.0,19.0
2017-04-18,48.0,,55.0,26.0,43.0,44.0,58.0,57.0,57.0,54.0,9.0
2017-04-19,44.0,,58.0,44.0,66.0,43.0,58.0,57.0,60.0,55.0,19.0
2017-04-20,42.0,,54.0,11.0,71.0,49.0,59.0,48.0,60.0,56.0,19.0
2017-04-21,51.0,,52.0,18.0,50.0,46.0,51.0,55.0,57.0,52.0,0.0
2017-04-22,17.0,,12.0,11.0,25.0,37.0,17.0,63.0,48.0,47.0,9.0
2017-04-23,23.0,,10.0,20.0,26.0,37.0,13.0,37.0,45.0,43.0,20.0
2017-04-24,44.0,,58.0,18.0,49.0,44.0,60.0,69.0,60.0,54.0,18.0
2017-04-25,69.0,,58.0,32.0,49.0,43.0,56.0,43.0,56.0,52.0,0.0
2017-04-26,34.0,,60.0,35.0,54.0,46.0,63.0,62.0,51.0,48.0,9.0
2017-04-27,44.0,,55.0,49.0,43.0,44.0,54.0,60.0,51.0,53.0,0.0
2017-04-28,39.0,,56.0,18.0,41.0,48.0,56.0,68.0,51.0,52.0,18.0
2017-04-29,22.0,,14.0,26.0,41.0,39.0,18.0,49.0,44.0,48.0,9.0
2017-04-30,22.0,,10.0,12.0,25.0,38.0,16.0,28.0,36.0,43.0,0.0
2017-05-01,26.0,,19.0,26.0,25.0,48.0,23.0,40.0,42.0,54.0,19.0
2017-05-02,54.0,,53.0,32.0,41.0,47.0,55.0,67.0,51.0,58.0,9.0
2017-05-03,51.0,,53.0,29.0,48.0,44.0,55.0,63.0,56.0,57.0,27.0
2017-05-04,43.0,,55.0,11.0,41.0,48.0,59.0,59.0,56.0,54.0,18.0
2017-05-05,49.0,,52.0,50.0,47.0,43.0,55.0,68.0,54.0,53.0,0.0
2017-05-06,28.0,,15.0,34.0,32.0,37.0,18.0,46.0,48.0,51.0,0.0
2017-05-07,24.0,,10.0,12.0,9.0,40.0,14.0,53.0,42.0,44.0,10.0
2017-05-08,45.0,,54.0,26.0,46.0,47.0,56.0,73.0,58.0,60.0,18.0
2017-05-09,56.0,,58.0,36.0,45.0,49.0,57.0,68.0,59.0,56.0,9.0
2017-05-10,44.0,,57.0,28.0,38.0,44.0,57.0,63.0,56.0,52.0,9.0
2017-05-11,44.0,,60.0,25.0,49.0,44.0,59.0,68.0,61.0,54.0,27.0
2017-05-12,37.0,,50.0,17.0,29.0,40.0,49.0,54.0,54.0,51.0,26.0
2017-05-13,35.0,,12.0,11.0,38.0,39.0,16.0,100.0,50.0,56.0,0.0
2017-05-14,15.0,,10.0,20.0,31.0,32.0,15.0,48.0,38.0,42.0,10.0
2017-05-15,58.0,,55.0,18.0,60.0,42.0,55.0,57.0,55.0,58.0,0.0
2017-05-16,54.0,,60.0,19.0,38.0,46.0,59.0,46.0,58.0,56.0,0.0
2017-05-17,30.0,,58.0,23.0,56.0,46.0,59.0,55.0,60.0,57.0,0.0
2017-05-18,45.0,,53.0,33.0,51.0,47.0,57.0,65.0,61.0,55.0,19.0
2017-05-19,31.0,,55.0,15.0,44.0,43.0,59.0,59.0,51.0,58.0,28.0
2017-05-20,38.0,,14.0,35.0,32.0,35.0,20.0,58.0,45.0,57.0,39.0
2017-05-21,24.0,,11.0,8.0,20.0,31.0,16.0,47.0,42.0,44.0,22.0
2017-05-22,38.0,,52.0,22.0,43.0,46.0,54.0,64.0,53.0,58.0,19.0
2017-05-23,39.0,,54.0,18.0,57.0,47.0,55.0,62.0,52.0,60.0,36.0
2017-05-24,26.0,,53.0,50.0,56.0,46.0,55.0,55.0,58.0,58.0,9.0
2017-05-25,47.0,,64.0,28.0,43.0,40.0,59.0,39.0,58.0,57.0,0.0
2017-05-26,31.0,,66.0,33.0,41.0,44.0,66.0,65.0,54.0,58.0,27.0
2017-05-27,21.0,,16.0,19.0,16.0,41.0,18.0,51.0,46.0,54.0,9.0
2017-05-28,14.0,,12.0,20.0,19.0,37.0,15.0,33.0,41.0,44.0,20.0
2017-05-29,33.0,,62.0,18.0,38.0,44.0,57.0,66.0,54.0,60.0,27.0
2017-05-30,43.0,1.0,53.0,24.0,37.0,39.0,55.0,64.0,51.0,52.0,8.0
2017-05-31,32.0,1.0,53.0,28.0,40.0,46.0,52.0,44.0,51.0,54.0,37.0
2017-06-01,43.0,1.0,52.0,37.0,44.0,46.0,56.0,49.0,52.0,57.0,34.0
2017-06-02,36.0,1.0,53.0,22.0,48.0,42.0,54.0,52.0,54.0,55.0,11.0
2017-06-03,21.0,1.0,13.0,15.0,22.0,34.0,16.0,39.0,42.0,48.0,35.0
2017-06-04,14.0,1.0,8.0,8.0,22.0,31.0,14.0,44.0,35.0,40.0,0.0
2017-06-05,44.0,1.0,53.0,17.0,27.0,50.0,54.0,56.0,55.0,58.0,18.0
2017-06-06,45.0,1.0,52.0,28.0,40.0,46.0,54.0,47.0,55.0,57.0,21.0
2017-06-07,42.0,1.0,52.0,42.0,49.0,47.0,53.0,67.0,56.0,59.0,23.0
2017-06-08,40.0,1.0,47.0,28.0,45.0,40.0,51.0,75.0,51.0,50.0,37.0
2017-06-09,40.0,1.0,49.0,26.0,40.0,41.0,49.0,43.0,47.0,54.0,12.0
2017-06-10,22.0,1.0,12.0,33.0,23.0,36.0,16.0,52.0,43.0,55.0,0.0
2017-06-11,21.0,1.0,10.0,8.0,15.0,32.0,14.0,51.0,41.0,43.0,5.0
2017-06-12,34.0,1.0,48.0,16.0,46.0,39.0,46.0,57.0,54.0,54.0,4.0
2017-06-13,35.0,1.0,51.0,24.0,51.0,44.0,52.0,61.0,58.0,55.0,20.0
2017-06-14,41.0,1.0,51.0,25.0,46.0,44.0,51.0,65.0,56.0,57.0,14.0
2017-06-15,36.0,1.0,48.0,52.0,63.0,48.0,49.0,48.0,55.0,52.0,10.0
2017-06-16,38.0,1.0,47.0,27.0,40.0,44.0,50.0,59.0,55.0,53.0,21.0
2017-06-17,22.0,1.0,12.0,18.0,31.0,36.0,16.0,54.0,46.0,58.0,6.0
2017-06-18,25.0,1.0,9.0,6.0,14.0,31.0,12.0,33.0,37.0,39.0,0.0
2017-06-19,49.0,1.0,52.0,17.0,29.0,43.0,53.0,62.0,55.0,61.0,4.0
2017-06-20,43.0,1.0,57.0,30.0,40.0,46.0,55.0,68.0,58.0,59.0,22.0
2017-06-21,38.0,1.0,58.0,26.0,35.0,43.0,59.0,57.0,59.0,66.0,16.0
2017-06-22,46.0,1.0,55.0,22.0,40.0,44.0,57.0,68.0,57.0,56.0,21.0
2017-06-23,31.0,1.0,56.0,31.0,45.0,49.0,53.0,51.0,52.0,61.0,10.0
2017-06-24,23.0,1.0,12.0,16.0,22.0,34.0,17.0,48.0,41.0,58.0,21.0
2017-06-25,17.0,1.0,8.0,10.0,21.0,30.0,13.0,40.0,37.0,45.0,34.0
2017-06-26,32.0,1.0,15.0,30.0,36.0,42.0,20.0,53.0,49.0,61.0,13.0
2017-06-27,37.0,1.0,49.0,22.0,35.0,45.0,50.0,46.0,55.0,59.0,21.0
2017-06-28,41.0,1.0,50.0,39.0,48.0,47.0,50.0,50.0,58.0,57.0,48.0
2017-06-29,47.0,1.0,50.0,35.0,38.0,44.0,53.0,68.0,52.0,54.0,21.0
2017-06-30,39.0,1.0,50.0,25.0,39.0,44.0,51.0,42.0,52.0,57.0,12.0
2017-07-01,21.0,1.0,12.0,17.0,35.0,36.0,17.0,65.0,46.0,57.0,4.0
2017-07-02,15.0,1.0,9.0,14.0,16.0,34.0,13.0,65.0,42.0,46.0,27.0
2017-07-03,38.0,1.0,53.0,12.0,33.0,48.0,56.0,49.0,55.0,60.0,31.0
2017-07-04,49.0,1.0,55.0,35.0,60.0,46.0,55.0,62.0,63.0,66.0,6.0
2017-07-05,44.0,1.0,54.0,46.0,46.0,51.0,53.0,64.0,57.0,61.0,33.0
2017-07-06,41.0,1.0,53.0,20.0,42.0,43.0,56.0,60.0,58.0,62.0,45.0
2017-07-07,52.0,1.0,53.0,20.0,59.0,46.0,53.0,55.0,62.0,61.0,6.0
2017-07-08,23.0,1.0,14.0,14.0,33.0,37.0,19.0,50.0,53.0,64.0,61.0
2017-07-09,26.0,1.0,9.0,16.0,22.0,33.0,14.0,46.0,44.0,49.0,25.0
2017-07-10,38.0,1.0,64.0,36.0,45.0,49.0,63.0,52.0,60.0,65.0,35.0
2017-07-11,47.0,1.0,58.0,45.0,41.0,49.0,63.0,60.0,64.0,64.0,41.0
2017-07-12,40.0,1.0,63.0,46.0,60.0,46.0,62.0,54.0,62.0,64.0,14.0
2017-07-13,39.0,1.0,65.0,21.0,45.0,47.0,67.0,58.0,60.0,61.0,19.0
2017-07-14,41.0,1.0,65.0,29.0,48.0,46.0,64.0,50.0,58.0,63.0,29.0
2017-07-15,19.0,1.0,15.0,30.0,46.0,42.0,20.0,54.0,54.0,56.0,0.0
2017-07-16,18.0,1.0,11.0,24.0,16.0,39.0,16.0,44.0,49.0,49.0,14.0
2017-07-17,55.0,1.0,62.0,31.0,56.0,46.0,62.0,53.0,65.0,65.0,16.0
2017-07-18,49.0,1.0,64.0,23.0,41.0,46.0,62.0,61.0,63.0,62.0,18.0
2017-07-19,39.0,1.0,66.0,38.0,52.0,48.0,66.0,49.0,59.0,59.0,37.0
2017-07-20,46.0,1.0,61.0,24.0,54.0,42.0,62.0,58.0,62.0,61.0,0.0
2017-07-21,39.0,1.0,67.0,29.0,47.0,49.0,68.0,49.0,63.0,57.0,4.0
2017-07-22,28.0,1.0,15.0,26.0,37.0,40.0,21.0,42.0,56.0,58.0,21.0
2017-07-23,21.0,1.0,11.0,17.0,27.0,35.0,15.0,36.0,45.0,44.0,17.0
2017-07-24,38.0,1.0,62.0,20.0,43.0,51.0,66.0,58.0,62.0,62.0,21.0
2017-07-25,42.0,1.0,65.0,19.0,58.0,48.0,64.0,73.0,62.0,62.0,17.0
2017-07-26,43.0,1.0,62.0,29.0,37.0,45.0,64.0,75.0,62.0,57.0,29.0
2017-07-27,40.0,1.0,65.0,26.0,36.0,46.0,64.0,50.0,62.0,58.0,15.0
2017-07-28,41.0,1.0,61.0,27.0,34.0,46.0,61.0,59.0,60.0,59.0,14.0
2017-07-29,22.0,1.0,16.0,35.0,50.0,35.0,20.0,58.0,53.0,59.0,11.0
2017-07-30,21.0,1.0,12.0,16.0,23.0,35.0,16.0,45.0,50.0,51.0,7.0
2017-07-31,41.0,1.0,61.0,37.0,47.0,42.0,59.0,64.0,61.0,63.0,10.0
2017-08-01,43.0,1.0,61.0,19.0,44.0,42.0,61.0,57.0,62.0,63.0,15.0
2017-08-02,35.0,1.0,63.0,17.0,52.0,51.0,63.0,65.0,65.0,64.0,15.0
2017-08-03,40.0,1.0,57.0,24.0,47.0,45.0,60.0,68.0,70.0,62.0,10.0
2017-08-04,44.0,1.0,58.0,18.0,45.0,45.0,59.0,63.0,58.0,59.0,39.0
2017-08-05,22.0,1.0,18.0,21.0,40.0,37.0,21.0,53.0,51.0,58.0,19.0
2017-08-06,18.0,1.0,11.0,4.0,18.0,32.0,15.0,37.0,40.0,46.0,21.0
2017-08-07,47.0,1.0,59.0,27.0,45.0,40.0,58.0,54.0,54.0,59.0,22.0
2017-08-08,51.0,1.0,65.0,54.0,57.0,45.0,65.0,69.0,65.0,66.0,28.0
2017-08-09,46.0,1.0,65.0,31.0,67.0,46.0,63.0,59.0,62.0,67.0,18.0
2017-08-10,48.0,1.0,62.0,39.0,57.0,48.0,63.0,55.0,61.0,59.0,27.0
2017-08-11,39.0,1.0,64.0,22.0,55.0,43.0,66.0,45.0,61.0,62.0,6.0
2017-08-12,20.0,1.0,14.0,21.0,33.0,33.0,20.0,56.0,49.0,63.0,0.0
2017-08-13,18.0,1.0,11.0,15.0,26.0,35.0,17.0,52.0,45.0,56.0,20.0
2017-08-14,26.0,1.0,56.0,19.0,32.0,39.0,57.0,58.0,56.0,65.0,10.0
2017-08-15,13.0,1.0,16.0,15.0,28.0,34.0,20.0,38.0,41.0,52.0,5.0
2017-08-16,39.0,1.0,60.0,27.0,44.0,52.0,60.0,64.0,60.0,69.0,21.0
