date,technology,overlap,computer and information,information,science,design and technology,limited company,engineering,innovation,SEAT,investment fund
2017-03-19,59.0,1.0,17.0,60.0,64.0,34.0,30.0,57.0,54.0,28.0,27.0
2017-03-20,90.0,1.0,34.0,89.0,77.0,33.0,62.0,80.0,90.0,26.0,63.0
2017-03-21,94.0,1.0,25.0,92.0,83.0,50.0,64.0,86.0,93.0,26.0,73.0
2017-03-22,94.0,1.0,32.0,90.0,83.0,30.0,62.0,86.0,99.0,24.0,48.0
2017-03-23,88.0,,42.0,85.0,74.0,27.0,70.0,79.0,94.0,23.0,75.0
2017-03-24,84.0,,37.0,77.0,70.0,42.0,44.0,74.0,77.0,25.0,45.0
2017-03-25,56.0,,11.0,55.0,57.0,32.0,48.0,59.0,44.0,28.0,41.0
2017-03-26,60.0,,15.0,63.0,61.0,31.0,29.0,63.0,52.0,29.0,52.0
2017-03-27,90.0,,36.0,88.0,76.0,20.0,59.0,92.0,88.0,27.0,60.0
2017-03-28,97.0,,23.0,93.0,74.0,61.0,60.0,83.0,96.0,25.0,70.0
2017-03-29,90.0,,29.0,93.0,74.0,27.0,62.0,81.0,94.0,24.0,71.0
2017-03-30,91.0,,23.0,87.0,73.0,34.0,83.0,83.0,88.0,25.0,63.0
2017-03-31,79.0,,33.0,78.0,67.0,28.0,54.0,76.0,66.0,25.0,50.0
2017-04-01,48.0,,26.0,53.0,54.0,31.0,35.0,59.0,41.0,27.0,19.0
2017-04-02,55.0,,19.0,61.0,57.0,46.0,33.0,62.0,50.0,28.0,46.0
2017-04-03,91.0,,26.0,84.0,75.0,46.0,62.0,84.0,84.0,25.0,51.0
2017-04-04,92.0,,19.0,82.0,72.0,40.0,55.0,84.0,90.0,24.0,72.0
2017-04-05,90.0,,48.0,87.0,75.0,53.0,70.0,88.0,90.0,23.0,59.0
2017-04-06,92.0,,23.0,88.0,76.0,47.0,55.0,80.0,88.0,25.0,57.0
2017-04-07,79.0,,17.0,80.0,67.0,48.0,60.0,74.0,92.0,25.0,36.0
2017-04-08,55.0,,26.0,57.0,51.0,31.0,33.0,60.0,41.0,27.0,25.0
2017-04-09,54.0,,26.0,62.0,53.0,23.0,27.0,57.0,52.0,27.0,47.0
2017-04-10,90.0,,19.0,83.0,64.0,34.0,59.0,83.0,94.0,26.0,65.0
2017-04-11,91.0,,16.0,83.0,71.0,47.0,54.0,82.0,81.0,26.0,71.0
2017-04-12,84.0,,26.0,80.0,68.0,48.0,49.0,83.0,89.0,25.0,55.0
2017-04-13,82.0,,31.0,81.0,63.0,37.0,65.0,77.0,83.0,27.0,59.0
2017-04-14,59.0,,33.0,66.0,63.0,31.0,28.0,59.0,49.0,26.0,33.0
2017-04-15,50.0,,15.0,53.0,54.0,16.0,27.0,57.0,31.0,24.0,47.0
2017-04-16,50.0,,8.0,58.0,56.0,8.0,27.0,58.0,40.0,26.0,58.0
2017-04-17,80.0,,27.0,76.0,71.0,35.0,48.0,74.0,62.0,26.0,70.0
2017-04-18,84.0,,22.0,84.0,77.0,20.0,51.0,80.0,84.0,25.0,34.0
2017-04-19,90.0,,13.0,85.0,77.0,73.0,63.0,81.0,81.0,26.0,47.0
2017-04-20,84.0,,26.0,82.0,77.0,27.0,63.0,80.0,87.0,24.0,71.0
2017-04-21,78.0,,24.0,74.0,77.0,22.0,64.0,75.0,72.0,25.0,51.0
2017-04-22,51.0,,30.0,60.0,100.0,32.0,29.0,62.0,50.0,27.0,41.0
2017-04-23,54.0,,18.0,59.0,71.0,52.0,26.0,55.0,48.0,26.0,42.0
2017-04-24,89.0,,22.0,89.0,81.0,13.0,57.0,83.0,92.0,26.0,57.0
2017-04-25,93.0,,41.0,88.0,77.0,27.0,57.0,86.0,77.0,26.0,82.0
2017-04-26,87.0,,16.0,84.0,75.0,33.0,55.0,80.0,89.0,25.0,90.0
