date,technology,overlap,computer and information,information,science,design and technology,limited company,engineering,innovation,SEAT,investment fund
2017-10-14,61.0,,18.0,60.0,53.0,0.0,32.0,59.0,42.0,29.0,52.0
2017-10-15,66.0,,15.0,64.0,58.0,9.0,27.0,58.0,43.0,30.0,42.0
2017-10-16,88.0,,24.0,88.0,70.0,23.0,55.0,79.0,79.0,25.0,65.0
2017-10-17,86.0,,24.0,89.0,71.0,23.0,62.0,74.0,77.0,24.0,91.0
2017-10-18,85.0,,16.0,84.0,68.0,38.0,38.0,73.0,84.0,26.0,66.0
2017-10-19,88.0,,21.0,81.0,66.0,54.0,41.0,72.0,81.0,25.0,64.0
2017-10-20,76.0,,19.0,77.0,61.0,24.0,47.0,69.0,67.0,27.0,67.0
2017-10-21,50.0,,15.0,55.0,51.0,0.0,32.0,54.0,45.0,30.0,33.0
2017-10-22,55.0,,8.0,60.0,54.0,58.0,21.0,56.0,47.0,29.0,43.0
2017-10-23,89.0,,24.0,85.0,68.0,15.0,58.0,85.0,81.0,27.0,68.0
2017-10-24,94.0,,13.0,91.0,70.0,37.0,69.0,88.0,78.0,26.0,75.0
2017-10-25,87.0,,24.0,90.0,75.0,15.0,68.0,79.0,77.0,26.0,100.0
2017-10-26,89.0,,18.0,89.0,71.0,23.0,58.0,89.0,77.0,26.0,66.0
2017-10-27,78.0,,16.0,79.0,66.0,47.0,55.0,73.0,67.0,26.0,49.0
2017-10-28,55.0,,21.0,59.0,50.0,26.0,25.0,56.0,45.0,28.0,27.0
2017-10-29,60.0,,12.0,66.0,56.0,42.0,23.0,59.0,49.0,28.0,47.0
2017-10-30,92.0,,24.0,94.0,70.0,45.0,58.0,81.0,81.0,27.0,60.0
2017-10-31,87.0,,26.0,89.0,70.0,38.0,59.0,81.0,78.0,24.0,72.0
2017-11-01,86.0,,22.0,90.0,69.0,39.0,60.0,82.0,83.0,25.0,46.0
2017-11-02,93.0,,29.0,90.0,74.0,46.0,62.0,81.0,73.0,25.0,66.0
2017-11-03,84.0,,11.0,81.0,70.0,46.0,45.0,75.0,67.0,26.0,59.0
2017-11-04,56.0,,12.0,59.0,55.0,34.0,39.0,57.0,46.0,28.0,71.0
2017-11-05,60.0,,14.0,70.0,62.0,50.0,21.0,63.0,46.0,30.0,43.0
2017-11-06,93.0,,25.0,99.0,73.0,67.0,55.0,82.0,71.0,27.0,69.0
2017-11-07,91.0,,25.0,98.0,77.0,0.0,68.0,80.0,88.0,26.0,81.0
2017-11-08,91.0,,23.0,95.0,79.0,0.0,67.0,84.0,94.0,28.0,77.0
2017-11-09,92.0,,31.0,93.0,76.0,53.0,66.0,81.0,86.0,27.0,81.0
2017-11-10,83.0,,10.0,77.0,62.0,61.0,66.0,70.0,73.0,27.0,43.0
2017-11-11,55.0,,20.0,60.0,58.0,34.0,33.0,53.0,46.0,29.0,35.0
2017-11-12,61.0,,11.0,67.0,60.0,42.0,20.0,60.0,51.0,29.0,40.0
2017-11-13,95.0,,25.0,95.0,74.0,67.0,54.0,83.0,82.0,27.0,56.0
2017-11-14,98.0,,28.0,96.0,77.0,74.0,66.0,86.0,80.0,26.0,66.0
2017-11-15,97.0,1.0,24.0,96.0,75.0,74.0,81.0,86.0,85.0,26.0,83.0
2017-11-16,92.0,1.0,29.0,90.0,71.0,40.0,61.0,86.0,77.0,26.0,72.0
2017-11-17,84.0,1.0,26.0,86.0,66.0,35.0,66.0,84.0,66.0,25.0,56.0
2017-11-18,57.0,1.0,15.0,56.0,52.0,13.0,42.0,59.0,38.0,28.0,43.0
2017-11-19,54.0,1.0,22.0,66.0,57.0,29.0,31.0,59.0,44.0,30.0,53.0
2017-11-20,91.0,1.0,26.0,88.0,65.0,63.0,71.0,87.0,73.0,25.0,67.0
2017-11-21,88.0,1.0,16.0,89.0,65.0,60.0,70.0,93.0,75.0,26.0,74.0
2017-11-22,82.0,1.0,16.0,78.0,58.0,49.0,61.0,80.0,72.0,26.0,61.0
2017-11-23,74.0,1.0,18.0,68.0,54.0,35.0,68.0,70.0,59.0,27.0,39.0
2017-11-24,65.0,1.0,11.0,63.0,51.0,20.0,45.0,62.0,53.0,28.0,45.0
2017-11-25,57.0,1.0,9.0,55.0,50.0,13.0,32.0,57.0,36.0,29.0,40.0
2017-11-26,62.0,1.0,22.0,66.0,55.0,34.0,28.0,60.0,47.0,28.0,29.0
2017-11-27,91.0,1.0,36.0,89.0,67.0,36.0,71.0,78.0,80.0,27.0,74.0
2017-11-28,91.0,1.0,24.0,94.0,71.0,25.0,74.0,85.0,83.0,25.0,62.0
2017-11-29,90.0,1.0,31.0,94.0,71.0,26.0,64.0,83.0,76.0,24.0,77.0
2017-11-30,90.0,1.0,24.0,88.0,69.0,53.0,58.0,80.0,82.0,25.0,66.0
2017-12-01,83.0,1.0,24.0,78.0,63.0,47.0,53.0,71.0,75.0,25.0,53.0
2017-12-02,56.0,1.0,20.0,54.0,48.0,38.0,34.0,59.0,43.0,26.0,49.0
2017-12-03,63.0,1.0,10.0,65.0,52.0,38.0,28.0,57.0,45.0,26.0,42.0
2017-12-04,92.0,1.0,13.0,87.0,69.0,15.0,55.0,79.0,84.0,25.0,47.0
2017-12-05,90.0,1.0,20.0,89.0,67.0,30.0,58.0,82.0,73.0,24.0,57.0
2017-12-06,92.0,1.0,19.0,89.0,68.0,41.0,54.0,80.0,69.0,24.0,71.0
2017-12-07,85.0,1.0,16.0,89.0,67.0,45.0,65.0,78.0,76.0,25.0,67.0
2017-12-08,81.0,1.0,20.0,79.0,63.0,51.0,67.0,72.0,60.0,24.0,56.0
2017-12-09,59.0,1.0,17.0,58.0,52.0,9.0,33.0,57.0,44.0,26.0,47.0
2017-12-10,60.0,1.0,25.0,68.0,57.0,21.0,29.0,56.0,44.0,25.0,52.0
2017-12-11,87.0,1.0,19.0,87.0,67.0,18.0,59.0,75.0,68.0,25.0,69.0
2017-12-12,91.0,1.0,26.0,87.0,70.0,26.0,56.0,79.0,73.0,25.0,68.0
2017-12-13,89.0,1.0,29.0,85.0,72.0,45.0,58.0,78.0,78.0,28.0,73.0
2017-12-14,84.0,1.0,23.0,83.0,69.0,57.0,62.0,75.0,65.0,25.0,56.0
2017-12-15,76.0,1.0,11.0,70.0,62.0,24.0,58.0,73.0,55.0,24.0,62.0
2017-12-16,54.0,1.0,8.0,53.0,51.0,35.0,38.0,55.0,34.0,28.0,55.0
2017-12-17,56.0,1.0,15.0,55.0,52.0,35.0,24.0,53.0,33.0,27.0,38.0
2017-12-18,78.0,1.0,11.0,73.0,61.0,15.0,54.0,77.0,58.0,29.0,60.0
2017-12-19,81.0,1.0,16.0,74.0,64.0,35.0,68.0,75.0,66.0,24.0,62.0
2017-12-20,74.0,1.0,16.0,71.0,60.0,31.0,50.0,74.0,58.0,24.0,66.0
2017-12-21,72.0,1.0,13.0,67.0,56.0,24.0,49.0,71.0,54.0,25.0,68.0
2017-12-22,62.0,1.0,7.0,54.0,50.0,13.0,39.0,61.0,45.0,25.0,55.0
2017-12-23,43.0,1.0,8.0,43.0,43.0,18.0,35.0,48.0,29.0,24.0,47.0
2017-12-24,38.0,1.0,12.0,44.0,38.0,14.0,22.0,46.0,20.0,25.0,26.0
2017-12-25,44.0,1.0,5.0,44.0,39.0,14.0,27.0,49.0,25.0,23.0,26.0
2017-12-26,58.0,1.0,7.0,51.0,46.0,30.0,46.0,57.0,32.0,28.0,53.0
2017-12-27,63.0,1.0,10.0,59.0,50.0,16.0,48.0,61.0,36.0,28.0,51.0
2017-12-28,61.0,1.0,10.0,61.0,49.0,24.0,55.0,61.0,41.0,29.0,64.0
2017-12-29,56.0,1.0,9.0,56.0,51.0,29.0,41.0,60.0,38.0,28.0,58.0
2017-12-30,45.0,1.0,9.0,47.0,47.0,22.0,24.0,52.0,24.0,28.0,53.0
2017-12-31,40.0,1.0,8.0,47.0,42.0,4.0,18.0,41.0,24.0,24.0,45.0
2018-01-01,45.0,1.0,7.0,51.0,45.0,9.0,26.0,51.0,24.0,25.0,31.0
2018-01-02,74.0,1.0,18.0,72.0,60.0,23.0,55.0,70.0,55.0,27.0,76.0
2018-01-03,77.0,1.0,11.0,74.0,62.0,45.0,49.0,76.0,58.0,26.0,66.0
2018-01-04,78.0,1.0,17.0,77.0,61.0,30.0,64.0,74.0,63.0,26.0,64.0
2018-01-05,79.0,1.0,8.0,69.0,61.0,35.0,47.0,71.0,59.0,26.0,70.0
2018-01-06,59.0,1.0,13.0,57.0,52.0,34.0,41.0,60.0,39.0,29.0,47.0
2018-01-07,57.0,1.0,3.0,59.0,56.0,25.0,33.0,56.0,40.0,28.0,40.0
2018-01-08,93.0,1.0,26.0,86.0,70.0,37.0,62.0,82.0,71.0,27.0,59.0
2018-01-09,94.0,1.0,7.0,86.0,73.0,29.0,62.0,86.0,70.0,27.0,69.0
2018-01-10,93.0,1.0,26.0,89.0,76.0,33.0,60.0,84.0,73.0,27.0,75.0
2018-01-11,95.0,1.0,21.0,87.0,77.0,30.0,69.0,86.0,74.0,26.0,69.0
2018-01-12,82.0,1.0,24.0,80.0,72.0,26.0,60.0,74.0,60.0,27.0,83.0
2018-01-13,57.0,1.0,11.0,58.0,59.0,38.0,35.0,55.0,33.0,30.0,42.0
2018-01-14,55.0,1.0,11.0,56.0,56.0,57.0,23.0,54.0,44.0,29.0,60.0
2018-01-15,81.0,1.0,12.0,73.0,65.0,62.0,52.0,70.0,62.0,26.0,83.0
2018-01-16,89.0,1.0,14.0,85.0,73.0,40.0,69.0,86.0,68.0,26.0,71.0
2018-01-17,89.0,1.0,25.0,84.0,70.0,60.0,68.0,84.0,71.0,25.0,64.0
2018-01-18,93.0,1.0,9.0,87.0,76.0,66.0,73.0,84.0,73.0,26.0,69.0
2018-01-19,82.0,1.0,21.0,82.0,72.0,34.0,61.0,76.0,68.0,26.0,76.0
2018-01-20,59.0,1.0,16.0,56.0,57.0,21.0,46.0,60.0,45.0,29.0,68.0
2018-01-21,58.0,1.0,13.0,63.0,61.0,41.0,37.0,60.0,44.0,30.0,43.0
2018-01-22,93.0,1.0,18.0,87.0,72.0,29.0,74.0,82.0,77.0,27.0,84.0
2018-01-23,91.0,1.0,11.0,94.0,77.0,39.0,57.0,82.0,75.0,25.0,62.0
2018-01-24,93.0,1.0,27.0,93.0,72.0,72.0,64.0,84.0,82.0,26.0,72.0
2018-01-25,87.0,1.0,17.0,85.0,71.0,44.0,63.0,85.0,77.0,27.0,69.0
2018-01-26,75.0,1.0,31.0,78.0,66.0,34.0,47.0,70.0,62.0,26.0,57.0
2018-01-27,56.0,1.0,13.0,57.0,55.0,21.0,36.0,55.0,41.0,30.0,29.0
2018-01-28,57.0,1.0,19.0,66.0,62.0,12.0,30.0,56.0,42.0,30.0,52.0
2018-01-29,88.0,1.0,29.0,90.0,74.0,43.0,69.0,85.0,84.0,27.0,59.0
2018-01-30,90.0,1.0,40.0,90.0,77.0,54.0,60.0,86.0,75.0,26.0,50.0
2018-01-31,91.0,1.0,21.0,93.0,78.0,36.0,70.0,83.0,76.0,25.0,75.0
2018-02-01,86.0,1.0,27.0,95.0,76.0,33.0,56.0,83.0,81.0,26.0,69.0
2018-02-02,81.0,1.0,17.0,82.0,73.0,53.0,56.0,77.0,74.0,27.0,67.0
2018-02-03,61.0,1.0,16.0,59.0,58.0,37.0,42.0,60.0,41.0,30.0,45.0
2018-02-04,59.0,1.0,22.0,65.0,61.0,29.0,29.0,59.0,42.0,29.0,33.0
2018-02-05,89.0,1.0,11.0,86.0,75.0,40.0,64.0,82.0,73.0,26.0,52.0
2018-02-06,90.0,1.0,24.0,95.0,72.0,68.0,63.0,85.0,76.0,25.0,63.0
2018-02-07,92.0,1.0,21.0,96.0,76.0,43.0,51.0,86.0,82.0,26.0,50.0
2018-02-08,89.0,1.0,23.0,92.0,73.0,62.0,60.0,86.0,71.0,26.0,53.0
2018-02-09,76.0,1.0,17.0,83.0,67.0,37.0,48.0,77.0,69.0,26.0,51.0
2018-02-10,56.0,1.0,17.0,57.0,56.0,33.0,39.0,60.0,37.0,29.0,46.0
2018-02-11,58.0,1.0,19.0,66.0,62.0,12.0,27.0,60.0,48.0,29.0,40.0
2018-02-12,89.0,1.0,24.0,89.0,77.0,48.0,62.0,84.0,78.0,26.0,60.0
2018-02-13,89.0,1.0,26.0,89.0,71.0,44.0,72.0,81.0,82.0,26.0,43.0
2018-02-14,79.0,1.0,19.0,84.0,70.0,47.0,63.0,75.0,78.0,23.0,60.0
2018-02-15,89.0,1.0,29.0,90.0,72.0,48.0,57.0,82.0,74.0,25.0,50.0
2018-02-16,79.0,1.0,20.0,78.0,69.0,38.0,53.0,73.0,67.0,28.0,46.0
2018-02-17,55.0,1.0,14.0,56.0,58.0,21.0,42.0,60.0,39.0,30.0,24.0
2018-02-18,55.0,1.0,23.0,62.0,60.0,33.0,37.0,54.0,44.0,30.0,37.0
2018-02-19,83.0,1.0,18.0,88.0,68.0,47.0,52.0,75.0,66.0,29.0,63.0
2018-02-20,88.0,1.0,19.0,90.0,72.0,32.0,67.0,84.0,76.0,28.0,69.0
2018-02-21,93.0,1.0,17.0,93.0,72.0,61.0,66.0,82.0,80.0,25.0,44.0
2018-02-22,92.0,1.0,40.0,96.0,77.0,47.0,69.0,83.0,78.0,28.0,59.0
2018-02-23,83.0,1.0,32.0,81.0,72.0,56.0,64.0,78.0,69.0,27.0,45.0
2018-02-24,57.0,,12.0,56.0,59.0,33.0,38.0,59.0,36.0,29.0,39.0
2018-02-25,58.0,,26.0,65.0,61.0,24.0,29.0,58.0,56.0,31.0,36.0
2018-02-26,94.0,,18.0,94.0,78.0,72.0,79.0,81.0,71.0,28.0,53.0
2018-02-27,93.0,,25.0,95.0,78.0,57.0,55.0,80.0,82.0,27.0,54.0
2018-02-28,91.0,,25.0,95.0,76.0,28.0,61.0,80.0,74.0,26.0,54.0
2018-03-01,82.0,,18.0,90.0,71.0,15.0,54.0,79.0,66.0,25.0,52.0
2018-03-02,75.0,,19.0,77.0,62.0,23.0,51.0,70.0,61.0,25.0,49.0
2018-03-03,55.0,,20.0,64.0,56.0,24.0,41.0,54.0,38.0,29.0,33.0
2018-03-04,59.0,,20.0,69.0,59.0,32.0,33.0,58.0,39.0,32.0,33.0
2018-03-05,93.0,,13.0,92.0,73.0,57.0,84.0,85.0,80.0,28.0,67.0
2018-03-06,91.0,,28.0,91.0,74.0,43.0,62.0,85.0,88.0,26.0,36.0
2018-03-07,93.0,,23.0,92.0,75.0,7.0,60.0,83.0,73.0,27.0,52.0
2018-03-08,90.0,,16.0,88.0,70.0,29.0,70.0,76.0,70.0,26.0,52.0
2018-03-09,87.0,,14.0,79.0,70.0,45.0,68.0,75.0,64.0,26.0,42.0
2018-03-10,57.0,,15.0,61.0,57.0,8.0,35.0,60.0,48.0,30.0,39.0
2018-03-11,62.0,,12.0,63.0,60.0,8.0,35.0,57.0,49.0,31.0,34.0
2018-03-12,88.0,,23.0,90.0,76.0,21.0,76.0,78.0,84.0,27.0,67.0
2018-03-13,87.0,,25.0,92.0,79.0,28.0,62.0,87.0,73.0,26.0,49.0
2018-03-14,91.0,,31.0,90.0,78.0,65.0,61.0,81.0,74.0,27.0,52.0
2018-03-15,94.0,,21.0,86.0,82.0,29.0,60.0,81.0,81.0,27.0,58.0
2018-03-16,84.0,,19.0,82.0,73.0,61.0,66.0,77.0,71.0,27.0,47.0
2018-03-17,52.0,,6.0,55.0,60.0,0.0,29.0,60.0,40.0,30.0,31.0
2018-03-18,61.0,,6.0,64.0,60.0,16.0,32.0,61.0,49.0,31.0,43.0
2018-03-19,88.0,,28.0,84.0,70.0,51.0,70.0,83.0,70.0,27.0,52.0
2018-03-20,88.0,,15.0,90.0,70.0,7.0,71.0,82.0,82.0,25.0,54.0
2018-03-21,93.0,,13.0,91.0,72.0,71.0,64.0,87.0,81.0,25.0,65.0
2018-03-22,86.0,,23.0,89.0,70.0,44.0,78.0,85.0,72.0,27.0,50.0
2018-03-23,84.0,,19.0,77.0,66.0,30.0,69.0,78.0,70.0,27.0,47.0
2018-03-24,55.0,,18.0,56.0,56.0,25.0,53.0,58.0,34.0,30.0,25.0
2018-03-25,61.0,,21.0,62.0,51.0,33.0,32.0,57.0,42.0,31.0,29.0
2018-03-26,86.0,,23.0,87.0,63.0,0.0,63.0,84.0,79.0,28.0,47.0
2018-03-27,93.0,,21.0,86.0,68.0,44.0,64.0,81.0,73.0,25.0,58.0
2018-03-28,90.0,,14.0,85.0,67.0,30.0,60.0,77.0,84.0,27.0,40.0
2018-03-29,77.0,,16.0,80.0,64.0,7.0,74.0,79.0,61.0,27.0,43.0
2018-03-30,63.0,,23.0,64.0,53.0,65.0,46.0,64.0,46.0,29.0,39.0
2018-03-31,52.0,,6.0,51.0,52.0,34.0,39.0,54.0,33.0,27.0,35.0
2018-04-01,46.0,,16.0,55.0,50.0,9.0,29.0,58.0,40.0,27.0,39.0
2018-04-02,76.0,,16.0,70.0,65.0,70.0,47.0,76.0,57.0,29.0,34.0
2018-04-03,85.0,,31.0,86.0,69.0,44.0,68.0,82.0,76.0,27.0,61.0
2018-04-04,83.0,,28.0,83.0,67.0,51.0,68.0,86.0,73.0,27.0,50.0
2018-04-05,87.0,,26.0,79.0,67.0,52.0,70.0,81.0,74.0,27.0,61.0
2018-04-06,81.0,,22.0,76.0,67.0,39.0,58.0,76.0,76.0,27.0,39.0
2018-04-07,56.0,,12.0,60.0,56.0,17.0,34.0,63.0,42.0,30.0,20.0
2018-04-08,55.0,,18.0,58.0,59.0,25.0,38.0,58.0,43.0,29.0,61.0
2018-04-09,87.0,,18.0,84.0,67.0,59.0,73.0,83.0,80.0,28.0,65.0
2018-04-10,88.0,,28.0,93.0,71.0,22.0,62.0,90.0,78.0,27.0,38.0
2018-04-11,92.0,,28.0,89.0,67.0,36.0,79.0,86.0,79.0,28.0,39.0
2018-04-12,82.0,,38.0,84.0,67.0,29.0,63.0,78.0,67.0,27.0,47.0
2018-04-13,83.0,,14.0,74.0,65.0,23.0,73.0,77.0,62.0,29.0,39.0
2018-04-14,54.0,,9.0,56.0,55.0,26.0,37.0,58.0,44.0,30.0,46.0
2018-04-15,58.0,,30.0,60.0,58.0,25.0,24.0,60.0,46.0,32.0,40.0
2018-04-16,91.0,,26.0,84.0,65.0,43.0,55.0,84.0,81.0,28.0,34.0
2018-04-17,92.0,,33.0,87.0,72.0,65.0,61.0,83.0,74.0,26.0,63.0
2018-04-18,98.0,,19.0,84.0,70.0,37.0,65.0,82.0,72.0,26.0,40.0
2018-04-19,87.0,,22.0,80.0,68.0,45.0,75.0,86.0,71.0,27.0,55.0
2018-04-20,79.0,,22.0,75.0,62.0,39.0,58.0,73.0,68.0,27.0,50.0
2018-04-21,55.0,,6.0,49.0,51.0,26.0,46.0,59.0,40.0,30.0,35.0
2018-04-22,59.0,,12.0,60.0,56.0,51.0,37.0,62.0,41.0,32.0,45.0
2018-04-23,94.0,,26.0,84.0,71.0,29.0,63.0,84.0,79.0,29.0,51.0
2018-04-24,91.0,,10.0,88.0,70.0,43.0,67.0,85.0,78.0,29.0,49.0
2018-04-25,86.0,,26.0,85.0,67.0,66.0,74.0,81.0,75.0,28.0,61.0
2018-04-26,83.0,,26.0,80.0,67.0,29.0,72.0,81.0,79.0,26.0,50.0
2018-04-27,80.0,,28.0,75.0,62.0,47.0,71.0,73.0,70.0,28.0,41.0
2018-04-28,51.0,,12.0,53.0,51.0,51.0,46.0,60.0,46.0,30.0,20.0
2018-04-29,62.0,,21.0,58.0,54.0,42.0,28.0,63.0,46.0,31.0,42.0
2018-04-30,84.0,,30.0,85.0,65.0,45.0,63.0,89.0,77.0,29.0,58.0
2018-05-01,85.0,,22.0,85.0,70.0,70.0,49.0,90.0,67.0,29.0,51.0
2018-05-02,88.0,,23.0,82.0,71.0,44.0,66.0,89.0,70.0,26.0,60.0
2018-05-03,86.0,1.0,22.0,84.0,69.0,52.0,67.0,90.0,72.0,28.0,45.0
2018-05-04,80.0,1.0,24.0,72.0,62.0,27.0,57.0,86.0,59.0,28.0,41.0
2018-05-05,60.0,1.0,17.0,54.0,51.0,35.0,38.0,65.0,45.0,29.0,30.0
2018-05-06,54.0,1.0,20.0,58.0,51.0,38.0,37.0,64.0,44.0,30.0,28.0
2018-05-07,87.0,1.0,11.0,82.0,65.0,30.0,55.0,84.0,64.0,28.0,44.0
2018-05-08,91.0,1.0,26.0,84.0,73.0,52.0,82.0,87.0,76.0,28.0,52.0
2018-05-09,91.0,1.0,19.0,78.0,74.0,33.0,70.0,87.0,80.0,29.0,51.0
2018-05-10,87.0,1.0,16.0,80.0,77.0,60.0,70.0,92.0,68.0,28.0,50.0
2018-05-11,81.0,1.0,21.0,74.0,67.0,25.0,65.0,90.0,64.0,27.0,54.0
2018-05-12,53.0,1.0,11.0,54.0,57.0,15.0,33.0,65.0,35.0,29.0,17.0
2018-05-13,53.0,1.0,20.0,55.0,57.0,27.0,34.0,64.0,43.0,29.0,23.0
2018-05-14,87.0,1.0,19.0,81.0,77.0,31.0,64.0,91.0,75.0,27.0,47.0
2018-05-15,89.0,1.0,20.0,87.0,76.0,13.0,78.0,89.0,79.0,28.0,40.0
2018-05-16,88.0,1.0,22.0,81.0,79.0,44.0,66.0,96.0,70.0,27.0,65.0
2018-05-17,87.0,1.0,17.0,79.0,72.0,36.0,81.0,92.0,77.0,28.0,36.0
2018-05-18,78.0,1.0,6.0,74.0,69.0,18.0,64.0,84.0,68.0,27.0,60.0
2018-05-19,55.0,1.0,11.0,51.0,60.0,10.0,33.0,70.0,35.0,30.0,29.0
2018-05-20,59.0,1.0,14.0,54.0,61.0,34.0,28.0,70.0,40.0,32.0,36.0
2018-05-21,81.0,1.0,21.0,79.0,67.0,13.0,64.0,91.0,59.0,29.0,53.0
2018-05-22,85.0,1.0,19.0,79.0,71.0,53.0,72.0,92.0,74.0,28.0,29.0
2018-05-23,85.0,1.0,18.0,80.0,91.0,64.0,79.0,92.0,72.0,28.0,54.0
2018-05-24,86.0,1.0,10.0,78.0,70.0,52.0,67.0,93.0,71.0,28.0,52.0
2018-05-25,79.0,1.0,21.0,71.0,64.0,22.0,57.0,81.0,59.0,28.0,31.0
2018-05-26,56.0,1.0,10.0,51.0,60.0,23.0,34.0,72.0,34.0,28.0,21.0
2018-05-27,57.0,1.0,11.0,54.0,60.0,15.0,33.0,65.0,38.0,30.0,33.0
2018-05-28,72.0,1.0,6.0,68.0,60.0,31.0,62.0,82.0,64.0,30.0,36.0
2018-05-29,86.0,1.0,17.0,76.0,66.0,44.0,69.0,92.0,70.0,27.0,36.0
2018-05-30,86.0,1.0,26.0,78.0,70.0,50.0,67.0,100.0,77.0,28.0,34.0
2018-05-31,86.0,1.0,19.0,79.0,67.0,51.0,67.0,97.0,68.0,29.0,50.0
2018-06-01,77.0,1.0,14.0,70.0,64.0,28.0,56.0,94.0,57.0,27.0,53.0
2018-06-02,57.0,1.0,17.0,54.0,58.0,15.0,36.0,73.0,39.0,31.0,34.0
2018-06-03,63.0,1.0,10.0,58.0,59.0,34.0,36.0,78.0,38.0,31.0,33.0
2018-06-04,87.0,1.0,25.0,79.0,76.0,45.0,77.0,97.0,68.0,30.0,49.0
2018-06-05,91.0,1.0,31.0,82.0,75.0,60.0,77.0,98.0,71.0,28.0,58.0
2018-06-06,88.0,1.0,8.0,83.0,93.0,73.0,77.0,97.0,75.0,28.0,45.0
2018-06-07,87.0,1.0,20.0,79.0,80.0,32.0,73.0,96.0,71.0,27.0,54.0
2018-06-08,79.0,1.0,22.0,69.0,67.0,44.0,72.0,92.0,60.0,30.0,35.0
2018-06-09,59.0,1.0,26.0,51.0,60.0,47.0,34.0,80.0,34.0,31.0,19.0
2018-06-10,59.0,1.0,24.0,54.0,61.0,51.0,32.0,72.0,40.0,32.0,37.0
2018-06-11,82.0,1.0,16.0,77.0,68.0,42.0,70.0,96.0,69.0,30.0,40.0
2018-06-12,82.0,1.0,11.0,80.0,71.0,77.0,64.0,98.0,64.0,29.0,45.0
2018-06-13,83.0,1.0,10.0,83.0,71.0,28.0,76.0,98.0,76.0,29.0,44.0
2018-06-14,79.0,1.0,23.0,73.0,65.0,23.0,60.0,85.0,63.0,28.0,23.0
2018-06-15,68.0,1.0,10.0,64.0,57.0,45.0,55.0,75.0,57.0,29.0,43.0
2018-06-16,48.0,1.0,7.0,48.0,48.0,34.0,35.0,62.0,30.0,30.0,15.0
2018-06-17,51.0,1.0,4.0,52.0,51.0,38.0,34.0,57.0,41.0,29.0,29.0
2018-06-18,82.0,1.0,19.0,74.0,66.0,36.0,69.0,85.0,56.0,27.0,44.0
2018-06-19,83.0,1.0,8.0,76.0,67.0,25.0,63.0,86.0,62.0,28.0,41.0
2018-06-20,83.0,1.0,15.0,79.0,66.0,53.0,79.0,86.0,66.0,27.0,39.0
2018-06-21,78.0,1.0,7.0,73.0,62.0,20.0,64.0,82.0,63.0,26.0,40.0
2018-06-22,73.0,1.0,20.0,70.0,57.0,40.0,66.0,82.0,58.0,28.0,33.0
2018-06-23,53.0,1.0,7.0,53.0,51.0,23.0,41.0,67.0,33.0,30.0,20.0
2018-06-24,54.0,1.0,14.0,59.0,55.0,3.0,35.0,65.0,43.0,30.0,30.0
2018-06-25,83.0,1.0,19.0,72.0,63.0,47.0,77.0,86.0,71.0,28.0,36.0
2018-06-26,82.0,1.0,13.0,76.0,63.0,31.0,72.0,89.0,64.0,27.0,51.0
2018-06-27,77.0,1.0,18.0,72.0,62.0,22.0,71.0,92.0,63.0,26.0,44.0
2018-06-28,84.0,1.0,15.0,75.0,63.0,37.0,55.0,90.0,67.0,29.0,33.0
2018-06-29,74.0,1.0,15.0,73.0,59.0,43.0,77.0,84.0,55.0,29.0,39.0
2018-06-30,56.0,1.0,9.0,51.0,52.0,7.0,41.0,69.0,33.0,30.0,32.0
2018-07-01,50.0,1.0,5.0,61.0,53.0,50.0,30.0,62.0,29.0,30.0,24.0
2018-07-02,76.0,1.0,16.0,75.0,58.0,45.0,66.0,84.0,60.0,27.0,28.0
2018-07-03,78.0,1.0,15.0,75.0,59.0,26.0,64.0,86.0,57.0,27.0,38.0
2018-07-04,71.0,1.0,13.0,67.0,62.0,49.0,64.0,88.0,60.0,27.0,31.0
2018-07-05,80.0,1.0,18.0,74.0,63.0,47.0,72.0,87.0,59.0,28.0,33.0
2018-07-06,71.0,1.0,16.0,66.0,54.0,23.0,63.0,87.0,55.0,27.0,37.0
2018-07-07,53.0,1.0,15.0,51.0,51.0,29.0,40.0,68.0,31.0,30.0,24.0
2018-07-08,56.0,1.0,6.0,62.0,58.0,22.0,34.0,70.0,36.0,32.0,29.0
2018-07-09,79.0,1.0,18.0,74.0,60.0,14.0,77.0,93.0,71.0,29.0,30.0
2018-07-10,81.0,1.0,17.0,77.0,61.0,35.0,70.0,92.0,67.0,27.0,46.0
2018-07-11,81.0,1.0,21.0,76.0,63.0,37.0,74.0,92.0,63.0,28.0,36.0
2018-07-12,87.0,1.0,15.0,80.0,62.0,43.0,73.0,92.0,66.0,28.0,59.0
2018-07-13,73.0,1.0,12.0,70.0,57.0,24.0,73.0,83.0,58.0,28.0,34.0
2018-07-14,54.0,1.0,9.0,54.0,53.0,27.0,36.0,67.0,33.0,30.0,17.0
2018-07-15,56.0,1.0,11.0,62.0,53.0,19.0,32.0,63.0,32.0,31.0,13.0
2018-07-16,82.0,1.0,12.0,79.0,59.0,19.0,69.0,85.0,72.0,31.0,35.0
2018-07-17,82.0,1.0,9.0,79.0,63.0,27.0,73.0,92.0,67.0,30.0,47.0
2018-07-18,81.0,1.0,12.0,82.0,62.0,38.0,75.0,95.0,64.0,28.0,27.0
2018-07-19,84.0,1.0,17.0,79.0,62.0,43.0,68.0,92.0,60.0,30.0,46.0
