date,healthcare,overlap,health coverage,health,nhs,spire healthcare,continuing healthcare,BMI healthcare,nursing home,AXA PPP,AXA health
2017-03-19,26.0,1.0,22.0,52.0,40.0,37.0,14.0,12.0,27.0,11.0,38.0
2017-03-20,49.0,1.0,22.0,87.0,54.0,0.0,20.0,89.0,42.0,12.0,21.0
2017-03-21,49.0,1.0,34.0,89.0,54.0,24.0,18.0,22.0,47.0,15.0,22.0
2017-03-22,52.0,1.0,33.0,87.0,49.0,0.0,23.0,34.0,44.0,6.0,31.0
2017-03-23,69.0,,29.0,91.0,48.0,0.0,0.0,0.0,42.0,14.0,20.0
2017-03-24,91.0,,42.0,100.0,45.0,17.0,32.0,47.0,34.0,7.0,22.0
2017-03-25,45.0,,26.0,59.0,29.0,0.0,0.0,0.0,31.0,16.0,48.0
2017-03-26,32.0,,35.0,54.0,29.0,18.0,24.0,26.0,24.0,0.0,47.0
2017-03-27,49.0,,40.0,91.0,55.0,16.0,31.0,22.0,43.0,21.0,20.0
2017-03-28,48.0,,29.0,86.0,59.0,32.0,11.0,0.0,45.0,14.0,41.0
2017-03-29,43.0,,23.0,83.0,54.0,0.0,0.0,22.0,44.0,28.0,20.0
2017-03-30,46.0,,32.0,85.0,55.0,50.0,0.0,24.0,41.0,0.0,42.0
2017-03-31,39.0,,37.0,69.0,43.0,67.0,11.0,24.0,37.0,14.0,22.0
2017-04-01,20.0,,21.0,46.0,30.0,19.0,0.0,0.0,27.0,8.0,24.0
2017-04-02,24.0,,15.0,51.0,38.0,0.0,0.0,53.0,30.0,8.0,0.0
2017-04-03,43.0,,24.0,84.0,55.0,16.0,11.0,22.0,41.0,27.0,20.0
2017-04-04,47.0,,44.0,80.0,51.0,48.0,0.0,45.0,41.0,20.0,0.0
2017-04-05,41.0,,27.0,81.0,49.0,32.0,21.0,0.0,47.0,13.0,41.0
2017-04-06,43.0,,41.0,87.0,51.0,0.0,0.0,22.0,37.0,41.0,20.0
2017-04-07,34.0,,30.0,74.0,43.0,0.0,11.0,24.0,38.0,21.0,22.0
2017-04-08,19.0,,13.0,48.0,27.0,19.0,0.0,53.0,24.0,0.0,0.0
2017-04-09,19.0,,29.0,50.0,30.0,0.0,0.0,0.0,29.0,0.0,24.0
2017-04-10,44.0,,36.0,83.0,52.0,32.0,11.0,0.0,39.0,7.0,20.0
2017-04-11,40.0,,41.0,81.0,49.0,0.0,0.0,24.0,40.0,28.0,20.0
2017-04-12,38.0,,48.0,83.0,44.0,0.0,21.0,0.0,51.0,28.0,42.0
2017-04-13,38.0,,22.0,76.0,45.0,18.0,11.0,50.0,43.0,0.0,44.0
2017-04-14,34.0,,31.0,63.0,36.0,0.0,0.0,26.0,34.0,8.0,24.0
2017-04-15,17.0,,16.0,45.0,29.0,0.0,0.0,27.0,26.0,0.0,0.0
2017-04-16,18.0,,29.0,43.0,31.0,19.0,0.0,27.0,22.0,8.0,0.0
2017-04-17,41.0,,31.0,76.0,32.0,17.0,0.0,0.0,39.0,0.0,22.0
2017-04-18,45.0,,60.0,84.0,52.0,16.0,10.0,22.0,38.0,41.0,0.0
2017-04-19,39.0,,37.0,80.0,49.0,0.0,10.0,0.0,40.0,27.0,61.0
2017-04-20,42.0,,25.0,80.0,47.0,0.0,42.0,0.0,39.0,21.0,62.0
2017-04-21,36.0,,15.0,73.0,50.0,0.0,33.0,24.0,44.0,14.0,0.0
2017-04-22,20.0,,23.0,48.0,31.0,38.0,0.0,0.0,29.0,16.0,0.0
2017-04-23,19.0,,7.0,47.0,33.0,36.0,23.0,26.0,23.0,15.0,45.0
2017-04-24,44.0,,23.0,85.0,56.0,32.0,0.0,22.0,42.0,20.0,41.0
2017-04-25,44.0,,40.0,82.0,51.0,16.0,21.0,22.0,44.0,20.0,41.0
2017-04-26,45.0,,22.0,80.0,54.0,32.0,0.0,0.0,38.0,27.0,20.0
2017-04-27,45.0,,31.0,79.0,49.0,16.0,0.0,46.0,43.0,0.0,0.0
2017-04-28,37.0,,21.0,72.0,46.0,34.0,32.0,71.0,40.0,14.0,22.0
2017-04-29,18.0,,8.0,48.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0
2017-04-30,21.0,,13.0,49.0,31.0,19.0,0.0,27.0,24.0,0.0,0.0
2017-05-01,45.0,,23.0,82.0,39.0,34.0,11.0,48.0,41.0,8.0,66.0
2017-05-02,45.0,,31.0,86.0,53.0,48.0,11.0,0.0,43.0,20.0,0.0
2017-05-03,47.0,,15.0,84.0,52.0,16.0,0.0,45.0,41.0,21.0,41.0
2017-05-04,97.0,,68.0,99.0,52.0,48.0,0.0,0.0,47.0,21.0,82.0
2017-05-05,100.0,,81.0,93.0,45.0,68.0,11.0,0.0,34.0,43.0,22.0
2017-05-06,46.0,,31.0,54.0,37.0,0.0,0.0,0.0,27.0,16.0,0.0
2017-05-07,38.0,,31.0,54.0,33.0,18.0,0.0,0.0,25.0,0.0,47.0
2017-05-08,50.0,,22.0,83.0,55.0,0.0,21.0,22.0,40.0,7.0,0.0
2017-05-09,51.0,,31.0,85.0,51.0,16.0,0.0,22.0,37.0,26.0,20.0
2017-05-10,46.0,,27.0,82.0,48.0,49.0,11.0,0.0,40.0,41.0,42.0
2017-05-11,45.0,,40.0,81.0,48.0,16.0,0.0,22.0,39.0,14.0,42.0
2017-05-12,35.0,,21.0,73.0,100.0,51.0,11.0,48.0,53.0,14.0,64.0
2017-05-13,21.0,,23.0,47.0,65.0,38.0,0.0,27.0,33.0,8.0,24.0
2017-05-14,17.0,,18.0,44.0,47.0,19.0,0.0,53.0,26.0,8.0,0.0
2017-05-15,43.0,,12.0,85.0,71.0,34.0,22.0,72.0,45.0,29.0,22.0
2017-05-16,42.0,,35.0,80.0,57.0,0.0,22.0,0.0,48.0,29.0,22.0
2017-05-17,39.0,,7.0,79.0,52.0,18.0,11.0,0.0,42.0,0.0,0.0
2017-05-18,39.0,,41.0,74.0,50.0,18.0,22.0,0.0,34.0,22.0,22.0
2017-05-19,36.0,,31.0,67.0,44.0,36.0,11.0,26.0,41.0,16.0,47.0
2017-05-20,21.0,,14.0,45.0,35.0,61.0,0.0,0.0,23.0,9.0,26.0
2017-05-21,19.0,,22.0,47.0,35.0,20.0,0.0,56.0,24.0,0.0,75.0
2017-05-22,42.0,,22.0,80.0,52.0,35.0,11.0,25.0,43.0,30.0,0.0
2017-05-23,42.0,,28.0,79.0,51.0,34.0,11.0,0.0,46.0,21.0,22.0
2017-05-24,38.0,,60.0,79.0,45.0,0.0,0.0,0.0,43.0,22.0,23.0
2017-05-25,42.0,,27.0,75.0,46.0,36.0,0.0,25.0,39.0,23.0,23.0
2017-05-26,34.0,,36.0,62.0,44.0,0.0,24.0,53.0,40.0,63.0,94.0
2017-05-27,19.0,,15.0,43.0,28.0,21.0,0.0,29.0,24.0,9.0,26.0
2017-05-28,16.0,,17.0,42.0,32.0,41.0,40.0,0.0,25.0,0.0,26.0
2017-05-29,25.0,,18.0,54.0,34.0,0.0,0.0,0.0,24.0,15.0,23.0
2017-05-30,42.0,1.0,36.0,75.0,52.0,0.0,5.0,30.0,46.0,21.0,15.0
2017-05-31,42.0,1.0,42.0,75.0,48.0,23.0,0.0,0.0,41.0,23.0,47.0
2017-06-01,38.0,1.0,36.0,74.0,51.0,56.0,29.0,20.0,40.0,11.0,0.0
2017-06-02,34.0,1.0,44.0,67.0,47.0,7.0,0.0,8.0,38.0,18.0,8.0
2017-06-03,20.0,1.0,23.0,42.0,32.0,0.0,0.0,0.0,29.0,4.0,22.0
2017-06-04,17.0,1.0,29.0,44.0,31.0,10.0,0.0,14.0,26.0,4.0,0.0
2017-06-05,40.0,1.0,33.0,79.0,50.0,6.0,35.0,26.0,38.0,22.0,7.0
2017-06-06,41.0,1.0,28.0,76.0,52.0,6.0,17.0,37.0,44.0,32.0,21.0
2017-06-07,40.0,1.0,29.0,76.0,52.0,6.0,0.0,19.0,43.0,3.0,0.0
2017-06-08,38.0,1.0,33.0,72.0,58.0,24.0,17.0,0.0,39.0,19.0,40.0
2017-06-09,35.0,1.0,23.0,65.0,44.0,6.0,12.0,32.0,40.0,26.0,8.0
2017-06-10,20.0,1.0,18.0,43.0,36.0,10.0,0.0,0.0,29.0,4.0,0.0
2017-06-11,20.0,1.0,5.0,44.0,39.0,0.0,0.0,37.0,26.0,0.0,0.0
2017-06-12,38.0,1.0,34.0,76.0,53.0,0.0,0.0,12.0,44.0,26.0,7.0
2017-06-13,43.0,1.0,56.0,75.0,49.0,15.0,17.0,7.0,46.0,11.0,11.0
2017-06-14,39.0,1.0,56.0,74.0,47.0,0.0,11.0,31.0,44.0,22.0,18.0
2017-06-15,41.0,1.0,24.0,77.0,47.0,0.0,35.0,12.0,40.0,4.0,47.0
2017-06-16,37.0,1.0,28.0,67.0,43.0,0.0,6.0,20.0,44.0,9.0,27.0
2017-06-17,17.0,1.0,23.0,43.0,26.0,0.0,0.0,9.0,25.0,0.0,0.0
2017-06-18,17.0,1.0,23.0,44.0,33.0,0.0,0.0,22.0,24.0,5.0,9.0
2017-06-19,43.0,1.0,20.0,77.0,47.0,15.0,6.0,0.0,51.0,17.0,48.0
2017-06-20,44.0,1.0,34.0,77.0,47.0,22.0,0.0,18.0,42.0,26.0,78.0
