date,UNH,overlap,JNJ,PFE,TMO,ABT,ABBV,LLY,DHR,MRK,MDT
2017-03-19,34.0,1.0,7.0,7.0,11.0,59.0,1.0,24.0,32.0,7.0,14.0
2017-03-20,52.0,1.0,18.0,21.0,11.0,69.0,8.0,21.0,39.0,15.0,64.0
2017-03-21,54.0,1.0,20.0,16.0,19.0,83.0,6.0,48.0,45.0,15.0,72.0
2017-03-22,54.0,1.0,13.0,14.0,17.0,60.0,1.0,11.0,36.0,15.0,42.0
2017-03-23,61.0,,23.0,33.0,11.0,65.0,2.0,59.0,21.0,9.0,50.0
2017-03-24,45.0,,18.0,37.0,10.0,79.0,5.0,21.0,58.0,7.0,47.0
2017-03-25,28.0,,6.0,2.0,10.0,69.0,3.0,30.0,16.0,9.0,13.0
2017-03-26,39.0,,12.0,8.0,13.0,56.0,0.0,38.0,28.0,12.0,18.0
2017-03-27,54.0,,24.0,24.0,8.0,76.0,7.0,20.0,55.0,21.0,58.0
2017-03-28,48.0,,20.0,17.0,7.0,60.0,2.0,39.0,59.0,14.0,61.0
2017-03-29,56.0,,13.0,26.0,17.0,61.0,5.0,59.0,49.0,21.0,49.0
2017-03-30,56.0,,13.0,31.0,22.0,75.0,3.0,0.0,28.0,17.0,81.0
2017-03-31,42.0,,19.0,18.0,12.0,69.0,8.0,13.0,40.0,13.0,63.0
2017-04-01,36.0,,7.0,13.0,11.0,92.0,0.0,30.0,28.0,4.0,29.0
2017-04-02,35.0,,4.0,5.0,5.0,53.0,9.0,67.0,32.0,12.0,21.0
2017-04-03,83.0,,14.0,26.0,11.0,52.0,0.0,39.0,45.0,11.0,40.0
2017-04-04,56.0,,23.0,22.0,18.0,52.0,5.0,32.0,31.0,18.0,89.0
2017-04-05,41.0,,14.0,26.0,11.0,69.0,7.0,32.0,31.0,10.0,56.0
2017-04-06,49.0,,8.0,38.0,10.0,67.0,3.0,20.0,42.0,9.0,53.0
2017-04-07,55.0,,18.0,32.0,19.0,53.0,8.0,55.0,25.0,17.0,52.0
2017-04-08,45.0,,9.0,5.0,6.0,56.0,3.0,69.0,20.0,9.0,21.0
2017-04-09,32.0,,4.0,21.0,7.0,72.0,6.0,15.0,16.0,9.0,11.0
2017-04-10,48.0,,12.0,33.0,18.0,73.0,5.0,26.0,49.0,12.0,50.0
2017-04-11,39.0,,18.0,29.0,15.0,64.0,15.0,47.0,42.0,8.0,53.0
2017-04-12,38.0,,20.0,20.0,12.0,63.0,13.0,21.0,40.0,10.0,56.0
2017-04-13,45.0,,22.0,26.0,20.0,61.0,3.0,42.0,37.0,15.0,54.0
2017-04-14,40.0,,15.0,13.0,11.0,68.0,6.0,15.0,40.0,12.0,49.0
2017-04-15,23.0,,3.0,10.0,8.0,51.0,0.0,31.0,16.0,7.0,13.0
2017-04-16,25.0,,6.0,3.0,8.0,69.0,3.0,0.0,20.0,6.0,32.0
2017-04-17,60.0,,16.0,25.0,22.0,57.0,3.0,27.0,58.0,8.0,49.0
2017-04-18,43.0,,33.0,22.0,13.0,82.0,2.0,39.0,55.0,17.0,40.0
2017-04-19,56.0,,31.0,28.0,18.0,61.0,5.0,26.0,55.0,9.0,62.0
2017-04-20,50.0,,20.0,36.0,22.0,67.0,3.0,53.0,45.0,19.0,64.0
2017-04-21,64.0,,25.0,14.0,21.0,63.0,3.0,21.0,55.0,13.0,31.0
2017-04-22,9.0,,9.0,23.0,6.0,62.0,3.0,15.0,24.0,7.0,26.0
2017-04-23,31.0,,3.0,8.0,11.0,75.0,0.0,30.0,11.0,7.0,30.0
2017-04-24,27.0,,15.0,20.0,15.0,52.0,10.0,32.0,28.0,5.0,45.0
2017-04-25,43.0,,24.0,13.0,15.0,64.0,5.0,46.0,49.0,14.0,61.0
2017-04-26,53.0,,15.0,26.0,26.0,62.0,0.0,64.0,28.0,10.0,55.0
2017-04-27,35.0,,17.0,30.0,17.0,70.0,10.0,33.0,52.0,15.0,61.0
2017-04-28,42.0,,5.0,21.0,17.0,78.0,8.0,27.0,32.0,10.0,68.0
2017-04-29,33.0,,7.0,21.0,8.0,63.0,3.0,39.0,16.0,9.0,24.0
2017-04-30,36.0,,2.0,10.0,22.0,57.0,0.0,31.0,24.0,20.0,32.0
2017-05-01,60.0,,8.0,26.0,16.0,62.0,5.0,49.0,37.0,8.0,36.0
2017-05-02,56.0,,24.0,24.0,34.0,35.0,5.0,20.0,41.0,17.0,33.0
2017-05-03,53.0,,13.0,29.0,18.0,44.0,5.0,72.0,45.0,11.0,65.0
2017-05-04,50.0,,14.0,13.0,15.0,58.0,7.0,33.0,45.0,17.0,56.0
2017-05-05,23.0,,22.0,25.0,14.0,57.0,5.0,27.0,58.0,16.0,54.0
2017-05-06,21.0,,20.0,5.0,6.0,55.0,0.0,53.0,16.0,7.0,34.0
2017-05-07,22.0,,6.0,20.0,5.0,55.0,0.0,53.0,20.0,16.0,21.0
2017-05-08,46.0,,4.0,15.0,26.0,62.0,2.0,20.0,31.0,6.0,64.0
2017-05-09,28.0,,21.0,32.0,18.0,74.0,0.0,39.0,17.0,10.0,49.0
2017-05-10,29.0,,20.0,24.0,25.0,70.0,0.0,20.0,38.0,8.0,81.0
2017-05-11,49.0,,14.0,36.0,26.0,55.0,5.0,33.0,46.0,15.0,60.0
2017-05-12,52.0,,18.0,27.0,12.0,62.0,10.0,27.0,15.0,10.0,42.0
2017-05-13,30.0,,8.0,10.0,6.0,56.0,0.0,8.0,32.0,11.0,29.0
2017-05-14,19.0,,0.0,10.0,6.0,62.0,0.0,7.0,28.0,12.0,37.0
2017-05-15,36.0,,30.0,42.0,28.0,74.0,13.0,28.0,66.0,16.0,53.0
2017-05-16,27.0,,18.0,46.0,20.0,71.0,19.0,42.0,55.0,11.0,70.0
2017-05-17,39.0,,17.0,33.0,13.0,53.0,8.0,56.0,53.0,18.0,71.0
2017-05-18,17.0,,11.0,19.0,13.0,77.0,8.0,42.0,37.0,5.0,68.0
2017-05-19,29.0,,20.0,20.0,11.0,60.0,3.0,59.0,43.0,17.0,28.0
2017-05-20,32.0,,3.0,11.0,4.0,75.0,6.0,8.0,43.0,6.0,20.0
2017-05-21,27.0,,2.0,11.0,6.0,56.0,3.0,40.0,26.0,10.0,11.0
2017-05-22,34.0,,18.0,23.0,25.0,73.0,8.0,64.0,63.0,10.0,46.0
2017-05-23,18.0,,15.0,18.0,21.0,57.0,3.0,7.0,54.0,17.0,35.0
2017-05-24,14.0,,15.0,29.0,11.0,74.0,3.0,14.0,49.0,13.0,45.0
2017-05-25,30.0,,24.0,26.0,5.0,64.0,14.0,43.0,45.0,10.0,67.0
2017-05-26,32.0,,13.0,26.0,17.0,63.0,12.0,54.0,20.0,5.0,47.0
2017-05-27,16.0,,12.0,14.0,26.0,67.0,0.0,42.0,18.0,0.0,44.0
2017-05-28,16.0,,5.0,11.0,7.0,74.0,0.0,8.0,18.0,6.0,29.0
2017-05-29,20.0,,4.0,17.0,15.0,69.0,0.0,7.0,27.0,10.0,30.0
2017-05-30,25.0,1.0,15.0,31.0,9.0,68.0,4.0,41.0,52.0,8.0,54.0
2017-05-31,18.0,1.0,16.0,31.0,22.0,62.0,1.0,30.0,36.0,12.0,60.0
2017-06-01,36.0,1.0,14.0,30.0,15.0,64.0,9.0,3.0,59.0,12.0,46.0
